distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
"Beta(0.5,0.5)",0.5,0.125,300000,11,Target-capped feedback,0.4979111140608059,0.5012501716909935,0.0033390576301876,1.8288771848634933,2.5864229187486782,True,False,local-batched-bisection,0.0885732830065535,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,11,Regularized Efficient betting,0.4977835271813113,0.5012538903035617,0.0034703631222503,1.900796164790577,2.688131715553598,True,False,local-batched-bisection,0.415141113975551,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,300000,11,Gaffke,0.4979419228766602,0.5012754113945135,0.0033334885178532,1.825826856412691,2.582109102883861,True,False,cornish-fisher-moments,0.0003853979869745,0,0.0033334885178532,0.0033334885178532,0.0033334885178532,1.0,,
"Beta(0.5,0.5)",0.5,0.125,1000000,11,Square-root feedback,0.4986634904151963,0.5005567812585178,0.0018932908433214,1.89329084332146,2.6775175881420035,True,False,local-batched-bisection,0.2860534220089903,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,11,Squared-hinge feedback,0.4986594215375871,0.5005713029423984,0.0019118814048112,1.911881404811244,2.703808612332987,True,False,local-batched-bisection,0.2860534220089903,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,11,Target-capped feedback,0.4986632799560095,0.5004878207983509,0.0018245408423412,1.8245408423412928,2.580290404342688,True,False,local-batched-bisection,0.2860534220089903,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,11,Regularized Efficient betting,0.4986372531699242,0.5005037455434759,0.0018664923735516,1.866492373551632,2.639618828742666,True,False,local-batched-bisection,1.3209548029699365,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,1000000,11,Gaffke,0.4986630744237909,0.5004859958939006,0.0018229214701097,1.8229214701097065,2.578000266170247,True,False,cornish-fisher-moments,0.0007115949993021,0,0.0018229214701097,0.0018229214701097,0.0018229214701097,1.0,,
"Beta(0.5,0.5)",0.5,0.125,3000000,11,Square-root feedback,0.4991640166682747,0.5002546480702713,0.0010906314019966,1.889029000588208,2.671490432347936,True,False,local-batched-bisection,0.8568826184928184,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000000,11,Squared-hinge feedback,0.4991587528077861,0.5002635561418672,0.0011048033340811,1.913575507000025,2.7062044346244067,True,False,local-batched-bisection,0.8568826184928184,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000000,11,Target-capped feedback,0.4992085570262548,0.5002614505976719,0.0010528935714171,1.823665160657128,2.5790520034286195,True,False,local-batched-bisection,0.8568826184928184,31,,,,,,
"Beta(0.5,0.5)",0.5,0.125,3000000,11,Regularized Efficient betting,0.4992013495865089,0.5002612076502648,0.0010598580637558,1.8357280152367208,2.596111455976015,True,False,local-batched-bisection,4.04833962203702,31,,,,,,
