distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.1),100000,Capped original feedback,40,1.0,0.00524772375755581,0.005164487502683231,0.00535303176502194,1.659475960525376,1.6331543455954154,1.6927772764700784,1.6594759605253604,2.7657932675422936,0.049274077374138824,31.025,0.0
Bernoulli(0.1),100000,Common-clock Efficient betting,5,1.0,0.00487862272237478,0.00483233700580844,0.00491596786213016,1.5427559647355762,1.5281191359873145,1.554565534852007,1.5427559647355609,2.5712599412259607,0.1019604424014687,123.0,0.0
Bernoulli(0.1),100000,Common-clock STaR betting,5,1.0,0.005045645307090738,0.00490369786870389,0.005140260467469374,1.595573143574646,1.5506854222417608,1.625493084372507,1.595573143574646,2.6592885726244107,0.019146601017564536,123.0,0.0
Bernoulli(0.1),100000,Efficient betting,5,1.0,0.00488232012960998,0.00483898377470672,0.00491965936270018,1.5439251875656166,1.530221028867246,1.5557328898305178,1.5439251875656026,2.573208645942694,0.13805394317023456,31.0,0.0
Bernoulli(0.1),100000,Gaffke,40,1.0,0.004895921669693965,0.00487638279239439,0.00492045820662695,1.5482263722007628,1.5420476366818456,1.555985506460874,1.5482263722007499,2.580377287001271,0.000247134994424365,0.0,0.0
Bernoulli(0.1),100000,Regularized Efficient betting,40,1.0,0.004972079937536582,0.0047359309490020195,0.005201189268049499,1.5723097311043481,1.4976328640129186,1.644760462866054,1.5723097311043328,2.6205162185072473,0.13684402395301726,31.0,0.0
Bernoulli(0.1),100000,STaR betting,5,1.0,0.0050528559099381615,0.004911771281643934,0.005149054282784002,1.5978533364047218,1.5532384595799222,1.6282739329442169,1.5978533364047218,2.6630888940078696,0.03235052484087646,31.0,0.0
Bernoulli(0.1),100000,Square-root feedback,40,1.0,0.0049954797075083554,0.004861772507060371,0.00510355141021487,1.57970938808783,1.537427458789794,1.6138846612043625,1.5797093880878141,2.6328489801463832,0.029639119566854756,31.0,0.0
Bernoulli(0.1),100000,Squared-hinge feedback,40,1.0,0.00502064695225588,0.00482903453735343,0.00516135093385021,1.5876679696711382,1.5270748037654487,1.6321624754404036,1.5876679696711231,2.6461132827852305,0.029639119566854756,31.0,0.0
Bernoulli(0.1),100000,Target-capped feedback,40,1.0,0.00492872362527495,0.004900076619992331,0.00495924919280437,1.558599261335121,1.5495402828515146,1.5682522933613356,1.5585992613351083,2.597665435558535,0.029639119566854756,31.0,0.0
Bernoulli(0.1),300000,Capped original feedback,30,1.0,0.002982400955520103,0.00294145811889162,0.00304824210090354,1.6335282788633483,1.6111029636736978,1.6695909594018103,1.6335282788633223,2.722547131438914,0.14533123866422099,31.0,0.0
Bernoulli(0.1),300000,Common-clock Efficient betting,5,1.0,0.0028208699819215603,0.00281545074547682,0.00282636142081392,1.545054120887657,1.5420858828424036,1.548061905842161,1.5450541208876287,2.575090201479428,0.2956925359088927,123.0,0.0
Bernoulli(0.1),300000,Common-clock STaR betting,5,1.0,0.0028626313315412905,0.0028235880275803483,0.0028992193417422597,1.5679277541062149,1.546542855807276,1.5879678326275146,1.5679277541062149,2.6132129235103583,0.05574397491291165,123.0,0.0
Bernoulli(0.1),300000,Efficient betting,5,1.0,0.00282219241541356,0.00281740915701728,0.00282610011959326,1.5457784475420402,1.5431585490200328,1.5479187852692982,1.5457784475419973,2.576297412570067,0.4141287824138999,31.0,0.0
Bernoulli(0.1),300000,Gaffke,30,1.0,0.0028253167573263466,0.00281699651747822,0.0028342755629848903,1.5474897200850108,1.5429325370363587,1.552396660032494,1.5474897200849895,2.5791495334750185,0.00031186194197890663,0.0,0.0
Bernoulli(0.1),300000,Regularized Efficient betting,30,1.0,0.0028333883467227335,0.00271064872301394,0.00294855002496728,1.5519107116723334,1.484683451067316,1.6149873606070104,1.5519107116723099,2.5865178527872223,0.40538867659439953,31.0,0.0
Bernoulli(0.1),300000,STaR betting,5,1.0,0.0028644593459403707,0.0028282326186888306,0.0029006631377557573,1.5689289988280353,1.5490868031277798,1.5887586322725435,1.5689289988280353,2.6148816647133923,0.09578488003462553,31.0,0.0
Bernoulli(0.1),300000,Square-root feedback,30,1.0,0.0029022013118052267,0.00285707662053626,0.0029488623511528603,1.5896011248968358,1.5648853135883822,1.6151584287041814,1.589601124896807,2.6493352081613937,0.08663009683368723,31.0,0.0
Bernoulli(0.1),300000,Squared-hinge feedback,30,1.0,0.00292457694618829,0.00285939444560604,0.00298298360366561,1.601856764586929,1.5661548386634165,1.633847408395759,1.6018567645868989,2.6697612743115484,0.08663009683368723,31.0,0.0
Bernoulli(0.1),300000,Target-capped feedback,30,1.0,0.00283581839707739,0.00282486880967758,0.0028441121141092197,1.5532417050674527,1.547244369053184,1.557784360971335,1.5532417050674288,2.5887361751124214,0.08663009683368723,31.0,0.0
Bernoulli(0.1),1000000,Capped original feedback,20,1.0,0.0016304399365108149,0.0015957463893362602,0.0016741162636071001,1.630439936510863,1.595746389336314,1.6741162636071116,1.630439936510815,2.7173998941847715,0.48301305775821674,31.1,0.0
Bernoulli(0.1),1000000,Common-clock Efficient betting,5,1.0,0.00154544279562558,0.00154069144243234,0.0015487293377387,1.5454427956256316,1.5406914424323792,1.5487293377387494,1.54544279562558,2.5757379927093864,0.9639136438257992,123.0,0.0
Bernoulli(0.1),1000000,Common-clock STaR betting,5,1.0,0.0015813045854503438,0.0015467037616259476,0.0016138870693916453,1.5813045854503438,1.5467037616259476,1.6138870693916452,1.5813045854503438,2.63550764241724,0.1902869355864823,123.0,0.0
Bernoulli(0.1),1000000,Efficient betting,5,1.0,0.00154578639462868,0.0015421716192967,0.00154874932519132,1.5457863946287205,1.5421716192967367,1.548749325191362,1.54578639462868,2.576310657714534,1.3688936457736418,31.0,0.0
Bernoulli(0.1),1000000,Gaffke,20,1.0,0.001546953753004145,0.00154531580134238,0.00154850983930979,1.5469537530041926,1.5453158013423922,1.5485098393098473,1.546953753004145,2.5782562550069876,0.0005663522460963,0.0,0.0
Bernoulli(0.1),1000000,Regularized Efficient betting,20,1.0,0.00154438362782009,0.0014969387578245201,0.00159936493142951,1.5443836278201473,1.4969387578245537,1.5993649314295586,1.54438362782009,2.5739727130335788,1.3482935034990078,31.0,0.0
Bernoulli(0.1),1000000,STaR betting,5,1.0,0.0015818653796154602,0.0015471398354763243,0.0016145151342391861,1.5818653796154603,1.5471398354763244,1.6145151342391861,1.5818653796154603,2.636442299359101,0.3172781415749341,31.0,0.0
Bernoulli(0.1),1000000,Square-root feedback,20,1.0,0.001582588369824975,0.00154774285587281,0.00160830825506569,1.5825883698250298,1.547742855872897,1.6083082550657368,1.582588369824975,2.6376472830417166,0.2826769011371652,31.0,0.0
Bernoulli(0.1),1000000,Squared-hinge feedback,20,1.0,0.001593976099599705,0.00155129696179642,0.00162791834336857,1.5939760995997545,1.5512969617965018,1.6279183433686575,1.593976099599705,2.656626832666258,0.2826769011371652,31.0,0.0
