distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,normalized_width
Bernoulli(0.5),0.5,0.25,2,400,0.1,Bardenet--Maillard EBS,0.33011250499807804,2.701464991949135
Bernoulli(0.5),0.5,0.25,2,400,0.1,Shekhar--Ramdas AS-CI,0.29768214397541515,2.4360721829747956
Bernoulli(0.5),0.5,0.25,2,400,0.1,Shekhar--Ramdas rate CI,0.46507453801136284,3.805922417546493
Bernoulli(0.5),0.5,0.25,2,1200,0.3,Bridge-efficient betting,0.06344980001449574,1.0197659045850491
Bernoulli(0.5),0.5,0.25,2,1200,0.3,WSR running intersection,0.07635879535228007,1.227239423885541
Bernoulli(0.5),0.5,0.25,2,1200,0.3,Exact hypergeometric,0.0625,1.0045007079928479
Bernoulli(0.5),0.5,0.25,2,1200,0.3,Bardenet--Maillard EBS,0.1410732023381429,2.2673301060397253
Bernoulli(0.5),0.5,0.25,2,1200,0.3,Shekhar--Ramdas AS-CI,0.14934718870424168,2.4003097086424354
Bernoulli(0.5),0.5,0.25,2,1200,0.3,Shekhar--Ramdas rate CI,0.24749493324496608,3.9777413707073763
Bernoulli(0.5),0.5,0.25,2,2000,0.5,Bridge-efficient betting,0.041481681633740664,1.0183919940389614
Bernoulli(0.5),0.5,0.25,2,2000,0.5,WSR running intersection,0.049173181876540184,1.2072214233416667
Bernoulli(0.5),0.5,0.25,2,2000,0.5,Exact hypergeometric,0.041,1.0065665158963855
Bernoulli(0.5),0.5,0.25,2,2000,0.5,Bardenet--Maillard EBS,0.08955310876040928,2.198564894455006
Bernoulli(0.5),0.5,0.25,2,2000,0.5,Shekhar--Ramdas AS-CI,0.0971234600085471,2.3844200671367117
Bernoulli(0.5),0.5,0.25,2,2000,0.5,Shekhar--Ramdas rate CI,0.1632743284121183,4.008450533783125
Bernoulli(0.5),0.5,0.25,2,2800,0.7,Bridge-efficient betting,0.02719521392136809,1.0198575011531648
Bernoulli(0.5),0.5,0.25,2,2800,0.7,WSR running intersection,0.03254911210387945,1.2206359630410581
Bernoulli(0.5),0.5,0.25,2,2800,0.7,Exact hypergeometric,0.02675,1.003161373715524
Bernoulli(0.5),0.5,0.25,2,2800,0.7,Bardenet--Maillard EBS,0.06045609555171777,2.2671857892761937
Bernoulli(0.5),0.5,0.25,2,2800,0.7,Shekhar--Ramdas AS-CI,0.06255273063402189,2.34581245579374
Bernoulli(0.5),0.5,0.25,2,2800,0.7,Shekhar--Ramdas rate CI,0.10696221739649897,4.011228595855344
Bernoulli(0.5),0.5,0.25,2,3200,0.8,Bridge-efficient betting,0.02086024265736358,1.0242547206036887
Bernoulli(0.5),0.5,0.25,2,3200,0.8,WSR running intersection,0.028348986990749947,1.3919581007059088
Bernoulli(0.5),0.5,0.25,2,3200,0.8,Exact hypergeometric,0.0205,1.0065665158963855
Bernoulli(0.5),0.5,0.25,2,3200,0.8,Bardenet--Maillard EBS,0.04861842043988246,2.387203613197956
Bernoulli(0.5),0.5,0.25,2,3200,0.8,Shekhar--Ramdas AS-CI,0.04694214951469999,2.3048973602779887
Bernoulli(0.5),0.5,0.25,2,3200,0.8,Shekhar--Ramdas rate CI,0.08146820012085615,4.000154261073154
Bernoulli(0.5),0.5,0.25,2,3600,0.9,Bridge-efficient betting,0.014030701294541315,1.0333781061680016
Bernoulli(0.5),0.5,0.25,2,3600,0.9,WSR running intersection,0.020649761520325938,1.5208798908004189
Bernoulli(0.5),0.5,0.25,2,3600,0.9,Exact hypergeometric,0.0135,0.9942913144830148
Bernoulli(0.5),0.5,0.25,2,3600,0.9,Bardenet--Maillard EBS,0.03668665245388292,2.7020162883224272
