distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,21,PE-betting,Uniformly randomized,0.2444444694556296,0.7023575813509524,0.4579131118953228,1.4480484040447628,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,22,PE-betting,Deterministic,0.22505900030955672,0.7269102926366031,0.5018512923270464,1.5869931304524496,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,22,PE-betting,Uniformly randomized,0.27093361830338836,0.7186728394590318,0.44773922115564346,1.4158757366416808,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,23,PE-betting,Deterministic,0.10863059991970658,0.6814820975996554,0.5728514976799488,1.8115154937073004,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,23,PE-betting,Uniformly randomized,0.20834155613556504,0.550961862783879,0.342620306648314,1.083460541634003,False,False,False,0.3,61,1.0,10.0,0.05
"Beta(2,2)",10,24,PE-betting,Deterministic,0.12105063581839204,0.6421261611394584,0.5210755253210664,1.647785492983311,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,24,PE-betting,Uniformly randomized,0.2571936412714422,0.6105887512676418,0.3533951099961996,1.1175334615537291,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,25,PE-betting,Deterministic,0.241422810126096,0.8855911470018327,0.6441683368757367,2.037039141089961,False,False,False,0.5,61,1.0,10.0,0.05
"Beta(2,2)",10,25,PE-betting,Uniformly randomized,0.2702079643495381,0.7302191727794707,0.4600112084299326,1.454683167845036,False,False,False,0.5,61,1.0,10.0,0.05
"Beta(2,2)",10,26,PE-betting,Deterministic,0.3747379365377128,0.887146093416959,0.5124081568792462,1.6203768673872947,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,26,PE-betting,Uniformly randomized,0.418360176961869,0.8812205432914197,0.46286036632955074,1.4636929962212908,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,27,PE-betting,Deterministic,0.2296464960090816,0.7505244934000075,0.5208779973909259,1.6471608548225685,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,27,PE-betting,Uniformly randomized,0.2460415163077414,0.7241951157338917,0.4781535994261503,1.5120544455944152,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,28,PE-betting,Deterministic,0.2346879062242806,0.9241242478601635,0.6894363416358829,2.180189141263367,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,28,PE-betting,Uniformly randomized,0.24130277195945382,0.8545042187906802,0.6132014468312263,1.9391132364973154,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,29,PE-betting,Deterministic,0.24254612484946847,0.7825689879246056,0.5400228630751371,1.707702235882674,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,29,PE-betting,Uniformly randomized,0.24637342942878604,0.7137285354547203,0.4673551060259342,1.4779066111514363,False,False,False,0.0,61,1.0,10.0,0.05
"Beta(2,2)",10,30,PE-betting,Deterministic,0.1637641084380448,0.9011202822439373,0.7373561738058925,2.3317249560136064,False,False,False,0.0,61,1.0,10.0,0.05
