distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,u_plus,u_minus
"Uniform(0,1)",0.5,0.08333333333333333,1000000,15,Probit-STaR,0.499466308761477,0.5009651523059583,0.0014988435444812653,1.4988435444812653,2.5960731716381744,True,False,randomized,3.614935874938965,0.6943943641817711,0.35388324380405245
"Uniform(0,1)",0.5,0.08333333333333333,1000000,15,Gaffke,0.49948404730753154,0.5009721253995166,0.00148807809198509,1.48807809198509,2.5774268609483295,True,False,cornish-fisher,0.02820134162902832,,
"Uniform(0,1)",0.5,0.08333333333333333,10,16,STaR,0.21064177308539248,0.8318744143971211,0.6212326413117286,1.9645101033874754,3.4026313110494955,True,False,direct-two-arm,0.0002961158752441406,,
"Uniform(0,1)",0.5,0.08333333333333333,10,16,Probit-STaR,0.11660362834957011,0.9257123298364733,0.8091087014869032,2.55862637135988,4.431670872780907,True,False,randomized,0.0001418590545654297,0.7805367122304748,0.9701245636950572
"Uniform(0,1)",0.5,0.08333333333333333,10,16,Gaffke,0.24574074143803273,0.7618925600371319,0.5161518185990992,1.6322153652112132,2.827079941440412,True,False,bspline-exact,0.0002932548522949219,,
"Uniform(0,1)",0.5,0.08333333333333333,50,16,STaR,0.40455004314671406,0.6486114339053046,0.24406139075859057,1.7257746443121917,2.989129366362824,True,False,direct-two-arm,0.00016570091247558594,,
"Uniform(0,1)",0.5,0.08333333333333333,50,16,Probit-STaR,0.34877256444571014,0.6397491527166028,0.2909765882708927,2.0575151873287423,3.563720841797978,True,False,randomized,0.0002956390380859375,0.8313743935476265,0.21370835374178399
"Uniform(0,1)",0.5,0.08333333333333333,50,16,Gaffke,0.4069356194469269,0.6406868345921147,0.23375121514518782,1.6528706933975792,2.8628560193062076,True,False,bspline-exact,0.0002567768096923828,,
"Uniform(0,1)",0.5,0.08333333333333333,100,16,STaR,0.4638451085353209,0.6282359756201399,0.16439086708481898,1.6439086708481898,2.847333340912087,True,False,direct-two-arm,0.00022912025451660156,,
"Uniform(0,1)",0.5,0.08333333333333333,100,16,Probit-STaR,0.4601865226858878,0.6290368904777182,0.16885036779183038,1.6885036779183038,2.9245741589214176,True,False,randomized,0.00055694580078125,0.6683443070064561,0.14105000256631295
"Uniform(0,1)",0.5,0.08333333333333333,100,16,Gaffke,0.47109144333316855,0.6312038626989791,0.16011241936581055,1.6011241936581055,2.7732284526435893,True,False,bspline-exact,0.0005207061767578125,,
"Uniform(0,1)",0.5,0.08333333333333333,500,16,STaR,0.4735052261009882,0.5435310246121599,0.07002579851117163,1.5658244564968335,2.712087514386439,True,False,direct-two-arm,0.0008981227874755859,,
"Uniform(0,1)",0.5,0.08333333333333333,500,16,Probit-STaR,0.4611835816016332,0.5401944312573816,0.07901084965574845,1.766736307902694,3.0600770488641182,True,False,randomized,0.0021588802337646484,0.976242526620785,0.24226379429510658
"Uniform(0,1)",0.5,0.08333333333333333,500,16,Gaffke,0.47552408730268464,0.5439209457074892,0.06839685840480453,1.5294002484057077,2.6489989353471475,True,False,bspline-exact,0.004268646240234375,,
"Uniform(0,1)",0.5,0.08333333333333333,1000,16,STaR,0.47884479461288865,0.52882621842068,0.04998142380779136,1.580551399307866,2.7375953275753084,True,False,direct-two-arm,0.0016484260559082031,,
"Uniform(0,1)",0.5,0.08333333333333333,1000,16,Probit-STaR,0.4771031485132057,0.525006744124292,0.04790359561108637,1.5148447024267844,2.6237879901797476,True,False,randomized,0.004302978515625,0.7334040604104868,0.06981249868286887
"Uniform(0,1)",0.5,0.08333333333333333,1000,16,Gaffke,0.48139210612401295,0.5300398815115656,0.048647775387552605,1.5383777332494672,2.6645483952207187,True,False,bspline-exact,0.01593160629272461,,
"Uniform(0,1)",0.5,0.08333333333333333,5000,16,STaR,0.4905784171845162,0.511575472440396,0.020997055255879804,1.484716015638125,2.57160357389646,True,False,direct-two-arm,0.007901668548583984,,
"Uniform(0,1)",0.5,0.08333333333333333,5000,16,Probit-STaR,0.4901829085611603,0.5127422571053324,0.022559348544172075,1.5951868334734944,2.7629446431410063,True,False,randomized,0.020334720611572266,0.41784689717474977,0.7819384676079609
