distribution,n,method,replications,coverage,mean_width,median_width,q10_width,q90_width,mean_sqrt_n_width,mean_normalized_halfwidth,mean_runtime_seconds,empty_rate
Bernoulli(0.1),500000,STaR,20,0.95,0.0022149122134491363,0.0022151871309894974,0.0021642559043477437,0.0022761289785837857,1.56617944586279,2.6102990764379834,0.5699972033500671,0.0
Bernoulli(0.1),1000000,Gaffke,20,1.0,0.001546544154845627,0.0015463186563934653,0.0015432946331145475,0.001549112156200265,1.546544154845627,2.5775735914093785,0.0011538267135620117,0.0
Bernoulli(0.1),1000000,Probit-STaR,20,1.0,0.0015542693219714819,0.0015504579127309723,0.0015168228481776292,0.0015953666000782588,1.5542693219714818,2.59044886995247,3.569776403903961,0.0
Bernoulli(0.1),1000000,STaR,20,1.0,0.0015889516893448758,0.0015934524292089206,0.001566071571883268,0.0016119633297689325,1.5889516893448759,2.6482528155747933,1.1316298961639404,0.0
Bernoulli(0.5),10,Gaffke,50,1.0,0.7146005848418169,0.7323154995224959,0.6373506569250963,0.7433788921298334,2.2597654653885364,2.2597654653885364,0.0002093791961669922,0.0
Bernoulli(0.5),10,Probit-STaR,50,0.98,0.7694231416686254,0.7869693124600592,0.6918451095195199,0.834114822650771,2.4331296121152644,2.4331296121152644,0.00017561435699462892,0.0
Bernoulli(0.5),10,STaR,50,1.0,0.7225913905945616,0.7448994590317766,0.6517720458818504,0.7567623523175461,2.2850346119071854,2.2850346119071854,0.000338134765625,0.0
Bernoulli(0.5),50,Gaffke,50,1.0,0.3657878763881731,0.36654140336591445,0.36216503997630245,0.3689791577403747,2.586510878699038,2.586510878699038,0.00011699199676513672,0.0
Bernoulli(0.5),50,Probit-STaR,50,1.0,0.39304790861378913,0.40048414255970377,0.34265480437589707,0.4335817701075007,2.7792684151200073,2.7792684151200073,0.00028450965881347655,0.0
Bernoulli(0.5),50,STaR,50,1.0,0.3626377622036059,0.3650303223186955,0.3496064681320684,0.3717800519492675,2.564236207684844,2.564236207684844,0.00019722938537597656,0.0
Bernoulli(0.5),100,Gaffke,50,1.0,0.260984120504394,0.2616565306727312,0.25899820560036396,0.2622275385717693,2.609841205043941,2.609841205043941,0.00010918617248535156,0.0
Bernoulli(0.5),100,Probit-STaR,50,1.0,0.26835874435755624,0.27079152523396943,0.2326316163655452,0.30083476864822356,2.6835874435755627,2.6835874435755627,0.00044585704803466796,0.0
Bernoulli(0.5),100,STaR,50,1.0,0.2614973017645044,0.2633471614356583,0.253979699110294,0.26644457905877283,2.614973017645044,2.614973017645044,0.0002340078353881836,0.0
Bernoulli(0.5),500,Gaffke,50,1.0,0.11660536261585311,0.11666315363846913,0.1163708576786271,0.11673387065411138,2.6073751735006025,2.6073751735006025,0.00012830734252929687,0.0
Bernoulli(0.5),500,Probit-STaR,50,1.0,0.1222106175070372,0.12087670682811141,0.11073591392111051,0.1379279014202716,2.732712483179611,2.732712483179611,0.0018369674682617188,0.0
Bernoulli(0.5),500,STaR,50,0.98,0.11731785306830433,0.11806729687555095,0.11156354385300984,0.1199968257530254,2.6233069443506083,2.6233069443506083,0.0007632827758789063,0.0
Bernoulli(0.5),1000,Gaffke,50,1.0,0.0822471836329709,0.0822733874355856,0.0821573357383115,0.0822934327859211,2.600884314143102,2.600884314143102,0.00014966964721679687,0.0
Bernoulli(0.5),1000,Probit-STaR,50,1.0,0.08316768033281834,0.08271032281273877,0.07459267341823607,0.09243713467602413,2.6299929756449654,2.6299929756449654,0.003577566146850586,0.0
Bernoulli(0.5),1000,STaR,50,1.0,0.08270497686421444,0.08346376662381699,0.07910386642944126,0.08476557602821602,2.6153610072244793,2.6153610072244793,0.0012892293930053711,0.0
Bernoulli(0.5),5000,Gaffke,50,1.0,0.03660997440270877,0.036612288537323845,0.036601630161818895,0.036613588764997436,2.5887161159221304,2.5887161159221304,0.00019060134887695314,0.0
Bernoulli(0.5),5000,Probit-STaR,50,1.0,0.03695266556422814,0.03696545061389056,0.034145576854036706,0.03963724154001265,2.6129480403384338,2.6129480403384338,0.017716937065124512,0.0
Bernoulli(0.5),5000,STaR,50,0.98,0.03681607776127474,0.03730297008745498,0.034821745865718,0.03786074215966534,2.603289824168862,2.603289824168862,0.006121916770935059,0.0
Bernoulli(0.5),10000,Gaffke,50,1.0,0.02585217679400487,0.025852661765244006,0.025850652484325647,0.025853267377067002,2.5852176794004866,2.5852176794004866,0.00018956184387207032,0.0
Bernoulli(0.5),10000,Probit-STaR,50,1.0,0.026292553047704885,0.026233555203076908,0.024415073887373528,0.02791030901758753,2.629255304770488,2.629255304770488,0.03476021289825439,0.0
Bernoulli(0.5),10000,STaR,50,1.0,0.026236044241498602,0.026313330971113547,0.025606106138970297,0.02682615610878276,2.6236044241498604,2.6236044241498604,0.01204428195953369,0.0
Bernoulli(0.5),50000,Gaffke,30,1.0,0.011538899923359708,0.0115389745943133,0.011538621867580002,0.01153900982280579,2.5801764614199416,2.5801764614199416,0.0002528985341389974,0.0
Bernoulli(0.5),50000,Probit-STaR,30,1.0,0.011615755551478741,0.011736476138289098,0.01108888691175997,0.012040940333870043,2.5973619023127026,2.5973619023127026,0.1744578997294108,0.0
Bernoulli(0.5),50000,STaR,30,1.0,0.01180292578941592,0.01188199365053405,0.011563030727293078,0.01199251125506733,2.6392144398519366,2.6392144398519366,0.05881843566894531,0.0
Bernoulli(0.5),100000,Gaffke,30,0.9666666666666667,0.008155275228254705,0.008155296548373159,0.008155220117249512,0.00815532316117723,2.5789244666834437,2.5789244666834437,0.00030309359232584635,0.0
Bernoulli(0.5),100000,Probit-STaR,30,0.9666666666666667,0.00825391176421107,0.008222041109969491,0.008034667225548697,0.008657490956251535,2.610116078096565,2.610116078096565,0.3502902666727702,0.0
Bernoulli(0.5),100000,STaR,30,0.9666666666666667,0.00832576703180608,0.008358440152663738,0.008116052044590056,0.008477270121375325,2.632838708844677,2.632838708844677,0.11628472805023193,0.0
Bernoulli(0.5),500000,Gaffke,20,1.0,0.0036447566288743904,0.0036447572264035055,0.0036447542687543023,0.0036447587465558763,2.577232128051702,2.577232128051702,0.0009343504905700683,0.0
Bernoulli(0.5),500000,Probit-STaR,20,1.0,0.0036995361144072565,0.003705104718484009,0.003489562418553771,0.0038648881108310387,2.615967073741902,2.615967073741902,1.7913241744041444,0.0
Bernoulli(0.5),500000,STaR,20,1.0,0.0037331981713655373,0.003741387466998869,0.0036702185275960418,0.0037969255255258516,2.6397697424857904,2.6397697424857904,0.570632541179657,0.0
Bernoulli(0.5),1000000,Gaffke,20,1.0,0.002576823504725914,0.002576824171851677,0.0025768203100577035,0.0025768243306822924,2.5768235047259145,2.5768235047259145,0.0012806057929992676,0.0
