distribution,true_mean,true_variance,n,rep,method,lower,upper,width,sqrt_n_width,normalized_halfwidth,covered,empty_center_component,backend,runtime_seconds,score_evaluations,adjacent_component_width,full_set_diameter,largest_component_width,topology_component_count,topology_scan_points,topology_point_budget_reached
Bernoulli(0.1),0.1,0.09,1000,21,Capped original feedback,0.0805434591991972,0.1381765234785922,0.057633064279395,1.8225175165777905,3.0375291942963174,True,False,local-batched-bisection,0.0012795570073649,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,22,Capped original feedback,0.0821505727790434,0.1378505367669254,0.0556999639878819,1.7613875179106244,2.9356458631843743,True,False,local-batched-bisection,0.001286890998017,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,23,Capped original feedback,0.0768318555300582,0.1340172303266387,0.0571853747965804,1.8083603320758224,3.0139338867930374,True,False,local-batched-bisection,0.0011829040013253,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,24,Capped original feedback,0.0706680498703555,0.1259762488360391,0.0553081989656835,1.7489988201332896,2.9149980335554826,True,False,local-batched-bisection,0.0012050369987264,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,25,Capped original feedback,0.0789977839877615,0.1349814441011389,0.0559836601133773,1.7703587771099285,2.9505979618498808,True,False,local-batched-bisection,0.0012993849813938,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,26,Capped original feedback,0.0811653777664417,0.138662034577816,0.0574966568113742,1.8182039336897688,3.0303398894829483,True,False,local-batched-bisection,0.001316797977779,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,27,Capped original feedback,0.0800815376269555,0.1375289289774439,0.0574473913504884,1.816646023025999,3.0277433717099984,True,False,local-batched-bisection,0.0010795089765451,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,28,Capped original feedback,0.081059052628995,0.1389653859139712,0.0579063332849762,1.8311590412934489,3.0519317354890814,True,False,local-batched-bisection,0.0012325989664532,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,29,Capped original feedback,0.0612404130069812,0.1156822957682288,0.0544418827612476,1.7216034963339937,2.869339160556656,True,False,local-batched-bisection,0.0012355539947748,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,30,Capped original feedback,0.0616758653379873,0.114039875078865,0.0523640097408776,1.655895382004168,2.7598256366736136,True,False,local-batched-bisection,0.0012773729977197,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,31,Capped original feedback,0.0665627884996235,0.1198793787457213,0.0533165902460977,1.6860186225158635,2.8100310375264392,True,False,local-batched-bisection,0.0012903970200568,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,32,Capped original feedback,0.0863224651125059,0.144971589639171,0.058649124526665,1.8546481627910616,3.0910802713184364,True,False,local-batched-bisection,0.00125463999575,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,33,Capped original feedback,0.0707433783380943,0.124719399710125,0.0539760213720307,1.706871665695438,2.8447861094923965,True,False,local-batched-bisection,0.0013344210456125,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,34,Capped original feedback,0.0665788540877744,0.1212394421158171,0.0546605880280427,1.7285195641274678,2.8808659402124466,True,False,local-batched-bisection,0.0012025610194541,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,35,Capped original feedback,0.0767425194678,0.1317951309430782,0.0550526114752782,1.740916434022017,2.9015273900366947,True,False,local-batched-bisection,0.001308933016844,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,36,Capped original feedback,0.0744834103766846,0.1289038110955589,0.0544204007188743,1.7209241745070754,2.8682069575117923,True,False,local-batched-bisection,0.001411075994838,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,37,Capped original feedback,0.0825106036444411,0.1391564097303601,0.056645806085919,1.7912976712773168,2.985496118795528,True,False,local-batched-bisection,0.0013663310091942,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,38,Capped original feedback,0.0696070672616214,0.1240711554638202,0.0544640882021988,1.7223056940325348,2.8705094900542245,True,False,local-batched-bisection,0.0012697789934463,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,39,Capped original feedback,0.0734612926342307,0.1279566421423413,0.0544953495081105,1.7232942633256585,2.872157105542764,True,False,local-batched-bisection,0.0014783620135858,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,40,Capped original feedback,0.0950193993359829,0.1544983653655521,0.0594789660295692,1.880890055252206,3.134816758753677,True,False,local-batched-bisection,0.0015495870029553,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,41,Capped original feedback,0.0714112355582096,0.1271171575539077,0.0557059219956981,1.7615759266607849,2.9359598777679747,True,False,local-batched-bisection,0.0012096150312572,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,42,Capped original feedback,0.0838564676659284,0.1411489677131641,0.0572925000472356,1.811747929945692,3.019579883242819,True,False,local-batched-bisection,0.0014908059965819,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,43,Capped original feedback,0.0833085992976401,0.1414278111120778,0.0581192118144376,1.8378908514739023,3.063151419123171,True,False,local-batched-bisection,0.001220995967742,31,,,,,,
Bernoulli(0.1),0.1,0.09,1000,44,Capped original feedback,0.0779271089291904,0.1364033722246674,0.0584762632954769,1.84918181069411,3.081969684490184,True,False,local-batched-bisection,0.0012831639614887,32,,,,,,
Bernoulli(0.1),0.1,0.09,1000,45,Capped original feedback,0.0734358719279891,0.1287663161762728,0.0553304442482836,1.7497022777353943,2.916170462892324,True,False,local-batched-bisection,0.0012667429982684,32,,,,,,
