distribution,true_mean,true_variance,n,rep,method,calibration,lower,upper,width,sqrt_n_width,covered,empty,runtime_seconds,score_evaluations,topology_escalated,backend
"Beta(2,2)",0.5,0.05,1000000,1,Efficient betting,deterministic_markov,0.4996794410690501,0.5008324682201868,0.0011530271511366,1.1530271511366874,True,False,0.8617082110140473,123,False,
"Beta(2,2)",0.5,0.05,1000000,1,Original STaR,randomized_markov,0.499674749818416,0.5008655015190318,0.0011907517006157,1.1907517006157775,True,False,0.4975514151155948,94,False,
"Beta(2,2)",0.5,0.05,1000000,1,Squared-hinge STaR,randomized_markov,0.4996774120050253,0.5008723344646628,0.0011949224596374,1.194922459637482,True,False,1.2880096018780025,94,False,
"Beta(2,2)",0.5,0.05,1000000,1,Efficient betting,randomized_markov,0.4996798506362208,0.5008323180455576,0.0011524674093368,1.1524674093368326,True,False,0.842177313985303,123,False,
"Beta(2,2)",0.5,0.05,1000000,1,Gaffke,not_applicable,0.4996794463862378,0.5008327612696752,0.0011533148834374,1.1533148834374507,True,False,0.0007488350383937,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,10000000,1,Original STaR,deterministic_markov,0.4998139124522003,0.5001716443462032,0.0003577318940028,1.1312475767350918,True,False,4.950732183875516,96,False,
"Beta(2,2)",0.5,0.05,10000000,1,Squared-hinge STaR,deterministic_markov,0.499813267207832,0.5001701434516945,0.0003568762438624,1.1285417734111602,True,False,13.533882859861478,96,False,
"Beta(2,2)",0.5,0.05,10000000,1,Efficient betting,deterministic_markov,0.4997889664201395,0.5001533115294154,0.0003643451092759,1.1521603996548166,True,False,8.4703687899746,123,False,
"Beta(2,2)",0.5,0.05,10000000,1,Original STaR,randomized_markov,0.4998139124522003,0.5001716443462032,0.0003577318940028,1.1312475767350918,True,False,4.971052702981979,96,False,
"Beta(2,2)",0.5,0.05,10000000,1,Squared-hinge STaR,randomized_markov,0.499813267207832,0.5001701434516945,0.0003568762438624,1.1285417734111602,True,False,13.49701492395252,96,False,
"Beta(2,2)",0.5,0.05,10000000,1,Efficient betting,randomized_markov,0.4997890095802979,0.5001532640532411,0.0003642544729431,1.1518737824046663,True,False,8.394333790056407,123,False,
"Beta(2,2)",0.5,0.05,10000000,1,Gaffke,not_applicable,0.4997889945933513,0.5001533869606375,0.0003643923672861,1.152309842604998,True,False,0.0056082510855048,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,1000,2,Original STaR,deterministic_markov,0.4833994235972617,0.5216653298487723,0.0382659062515106,1.210074204852495,True,False,0.001671619946137,84,False,
"Beta(2,2)",0.5,0.05,1000,2,Squared-hinge STaR,deterministic_markov,0.4830885804933122,0.5218711583905766,0.0387825778972643,1.2264127968825904,True,False,0.0024057170376181,84,False,
"Beta(2,2)",0.5,0.05,1000,2,Efficient betting,deterministic_markov,0.4845172632210801,0.5216676455545016,0.0371503823334214,1.1747982411969282,True,False,0.0013819220475852,123,False,
"Beta(2,2)",0.5,0.05,1000,2,Original STaR,randomized_markov,0.4834260272863385,0.5216653298487723,0.0382393025624338,1.2092329223360383,True,False,0.0013320581056177,84,False,
"Beta(2,2)",0.5,0.05,1000,2,Squared-hinge STaR,randomized_markov,0.4831011822407697,0.5218711583905766,0.0387699761498069,1.2260142946379533,True,False,0.0023675649426877,84,False,
"Beta(2,2)",0.5,0.05,1000,2,Efficient betting,randomized_markov,0.4847033813373742,0.52155907665333,0.0368556953159557,1.1654794194761935,True,False,0.0013416458386927,123,False,
"Beta(2,2)",0.5,0.05,1000,2,Gaffke,not_applicable,0.4848832590932711,0.522273737455438,0.0373904783621669,1.182390744276896,True,False,0.0167731537949293,0,False,bspline-exact
"Beta(2,2)",0.5,0.05,10000,2,Original STaR,deterministic_markov,0.4959111144927351,0.5080002228016458,0.0120891083089106,1.2089108308910634,True,False,0.0054686667863279,86,False,
"Beta(2,2)",0.5,0.05,10000,2,Squared-hinge STaR,deterministic_markov,0.4958368772767916,0.5080717928122263,0.0122349155354346,1.2234915535434654,True,False,0.0139874080196022,86,False,
"Beta(2,2)",0.5,0.05,10000,2,Efficient betting,deterministic_markov,0.4962416940805452,0.5078760438750223,0.011634349794477,1.1634349794477084,True,False,0.0096300728619098,123,False,
"Beta(2,2)",0.5,0.05,10000,2,Original STaR,randomized_markov,0.4959142262323257,0.5079975555962826,0.0120833293639568,1.208332936395684,True,False,0.0057474139612168,86,False,
"Beta(2,2)",0.5,0.05,10000,2,Squared-hinge STaR,randomized_markov,0.4958373218110188,0.5080717928122263,0.0122344710012074,1.2234471001207448,True,False,0.0140215731225907,86,False,
"Beta(2,2)",0.5,0.05,10000,2,Efficient betting,randomized_markov,0.4963139137949961,0.5078195538332264,0.0115056400382302,1.1505640038230291,True,False,0.0092762131243944,123,False,
"Beta(2,2)",0.5,0.05,10000,2,Gaffke,not_applicable,0.4962772520010512,0.507922853520097,0.0116456015190457,1.1645601519045756,True,False,0.0001883159857243,0,False,cornish-fisher-moments
"Beta(2,2)",0.5,0.05,100000,2,Original STaR,deterministic_markov,0.4984034733418796,0.5020113568530022,0.0036078835111226,1.1409129427712923,True,False,0.0523035719525069,90,False,
"Beta(2,2)",0.5,0.05,100000,2,Squared-hinge STaR,deterministic_markov,0.4984334981161895,0.5019962041631636,0.003562706046974,1.1266265742092876,True,False,0.1421281851362437,90,False,
"Beta(2,2)",0.5,0.05,100000,2,Efficient betting,deterministic_markov,0.4982735800380667,0.5019388473468192,0.0036652673087524,1.159059292901332,True,False,0.089421811979264,123,False,
"Beta(2,2)",0.5,0.05,100000,2,Original STaR,randomized_markov,0.4984034733418796,0.5020113568530022,0.0036078835111226,1.1409129427712923,True,False,0.0496330352034419,90,False,
"Beta(2,2)",0.5,0.05,100000,2,Squared-hinge STaR,randomized_markov,0.4984334981161895,0.5019962041631636,0.003562706046974,1.1266265742092876,True,False,0.1383775358553975,90,False,
