distribution,n,method,calibration,replications,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,coverage,empty_rate,escalation_rate
"Beta(0.5,0.5)",10000,Squared-hinge STaR,deterministic_markov,3,1.8562559155481109,1.8471682018701296,1.864341737148322,1.0,0.0,0.0
"Beta(0.5,0.5)",10000,Squared-hinge STaR,randomized_markov,3,1.8561397671585655,1.8471541400579292,1.8641051664500141,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Efficient betting,deterministic_markov,3,1.8259318222470196,1.824339152006064,1.8274545385323624,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Efficient betting,randomized_markov,3,1.823060235873334,1.8219429828208054,1.824538958644436,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Gaffke,not_applicable,3,1.8257444517618062,1.8252896635375313,1.8263302703596744,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Original STaR,deterministic_markov,3,1.870428780731281,1.8381588152069597,1.8954824197376579,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Original STaR,randomized_markov,3,1.870428780731281,1.8381588152069597,1.8954824197376579,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Randomized Gaffke,product_orthant_randomized,3,1.8257444517618178,1.8252896635375349,1.8263302703596918,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Squared-hinge STaR,deterministic_markov,3,1.8760251307920441,1.8162831350296436,1.9211063199080955,1.0,0.0,0.0
"Beta(0.5,0.5)",100000,Squared-hinge STaR,randomized_markov,3,1.8760251307920441,1.8162831350296436,1.9211063199080955,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Efficient betting,deterministic_markov,3,1.8228063754553994,1.8219809605020345,1.823566150761269,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Efficient betting,randomized_markov,3,1.8215330569563335,1.8213034724720911,1.8218177283415793,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Gaffke,not_applicable,3,1.82243926387643,1.8220715758155424,1.822896574516364,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Original STaR,deterministic_markov,3,1.8279967949798213,1.793335456345868,1.875165617949992,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Original STaR,randomized_markov,3,1.8279500225380865,1.793335456345868,1.8750533640898293,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Randomized Gaffke,product_orthant_randomized,3,1.8224392638764668,1.8220715758155983,1.8228965745163752,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Squared-hinge STaR,deterministic_markov,3,1.8354339707267553,1.7850323877150354,1.8979521985686754,1.0,0.0,0.0
"Beta(0.5,0.5)",1000000,Squared-hinge STaR,randomized_markov,3,1.8353871982850212,1.7850323877150354,1.8978399447085126,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Efficient betting,deterministic_markov,3,1.8216488426697524,1.821528205402246,1.8217574850201435,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Efficient betting,randomized_markov,3,1.8214114691846965,1.8213253664594045,1.8215201062874096,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Gaffke,not_applicable,3,1.8217081822029584,1.8216364672444092,1.8217621494726934,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Original STaR,deterministic_markov,3,1.886449395152173,1.87357519178057,1.8976354298130462,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Original STaR,randomized_markov,3,1.886449395152173,1.87357519178057,1.8976354298130462,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Randomized Gaffke,product_orthant_randomized,3,1.821708182203017,1.8216364672444445,1.8217621494727287,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Squared-hinge STaR,deterministic_markov,3,1.9075357168396054,1.8877699815741489,1.9228272196837042,1.0,0.0,0.0
"Beta(0.5,0.5)",10000000,Squared-hinge STaR,randomized_markov,3,1.9075357168396054,1.8877699815741489,1.9228272196837042,1.0,0.0,0.0
"Beta(1,5)",1000,Efficient betting,deterministic_markov,3,0.7764962373600289,0.7571701412834723,0.8009340142458883,1.0,0.0,0.0
"Beta(1,5)",1000,Efficient betting,randomized_markov,3,0.7497713892464307,0.7434760513979887,0.7562681706290395,1.0,0.0,0.0
"Beta(1,5)",1000,Gaffke,not_applicable,3,0.7694219738303061,0.7620058731951829,0.7764534432327809,1.0,0.0,0.0
"Beta(1,5)",1000,Original STaR,deterministic_markov,3,0.7937597262290649,0.77352838600121,0.8160308104738436,1.0,0.0,0.0
"Beta(1,5)",1000,Original STaR,randomized_markov,3,0.7864236594157129,0.767256839514602,0.8109294100800364,1.0,0.0,0.0
"Beta(1,5)",1000,Randomized Gaffke,product_orthant_randomized,3,0.7694219738303065,0.7620058731951833,0.7764534432327801,1.0,0.0,0.0
"Beta(1,5)",1000,Squared-hinge STaR,deterministic_markov,3,0.8041472501551077,0.7861125214713,0.8245362795196023,1.0,0.0,0.0
"Beta(1,5)",1000,Squared-hinge STaR,randomized_markov,3,0.7965210475393508,0.7794016533528509,0.8201009510497846,1.0,0.0,0.0
"Beta(1,5)",10000,Efficient betting,deterministic_markov,3,0.733220322948271,0.7295641005590436,0.7369446533613866,1.0,0.0,0.0
"Beta(1,5)",10000,Efficient betting,randomized_markov,3,0.7262342747560703,0.7235644743916336,0.7287537952939838,1.0,0.0,0.0
"Beta(1,5)",10000,Gaffke,not_applicable,3,0.7397900252743089,0.7340752337611356,0.7446263668452446,1.0,0.0,0.0
"Beta(1,5)",10000,Original STaR,deterministic_markov,3,0.7379420221829173,0.7186246216757219,0.7559301079838632,1.0,0.0,0.0
"Beta(1,5)",10000,Original STaR,randomized_markov,3,0.7374466057560128,0.7180496663173341,0.7557103389955777,1.0,0.0,0.0
"Beta(1,5)",10000,Randomized Gaffke,product_orthant_randomized,3,0.7397900252743145,0.7340752337611428,0.7446263668452452,1.0,0.0,0.0
"Beta(1,5)",10000,Squared-hinge STaR,deterministic_markov,3,0.7380471024371209,0.7134986495539014,0.7617814028092457,1.0,0.0,0.0
"Beta(1,5)",10000,Squared-hinge STaR,randomized_markov,3,0.7378968601387434,0.7134141620372092,0.7616742838432167,1.0,0.0,0.0
"Beta(1,5)",100000,Efficient betting,deterministic_markov,3,0.7284742215200412,0.7262050489273305,0.73135057445454,1.0,0.0,0.0
"Beta(1,5)",100000,Efficient betting,randomized_markov,3,0.7236682499029342,0.7224310045115635,0.7249529458283287,1.0,0.0,0.0
"Beta(1,5)",100000,Gaffke,not_applicable,3,0.728429739291153,0.7266648617571265,0.7300614495766236,1.0,0.0,0.0
"Beta(1,5)",100000,Original STaR,deterministic_markov,3,0.7504355656622098,0.74011737665434,0.7605385613395543,1.0,0.0,0.0
"Beta(1,5)",100000,Original STaR,randomized_markov,3,0.7503890088530712,0.7400728390629396,0.760471362589022,1.0,0.0,0.0
"Beta(1,5)",100000,Randomized Gaffke,product_orthant_randomized,3,0.728429739291156,0.7266648617571353,0.7300614495766182,1.0,0.0,0.0
"Beta(1,5)",100000,Squared-hinge STaR,deterministic_markov,3,0.7539600309298523,0.7368222272567313,0.7688617681102867,1.0,0.0,0.0
"Beta(1,5)",100000,Squared-hinge STaR,randomized_markov,3,0.7539600309298523,0.7368222272567313,0.7688617681102867,1.0,0.0,0.0
"Beta(1,5)",1000000,Efficient betting,deterministic_markov,3,0.7263283218310416,0.7256255106949383,0.7272376670322545,1.0,0.0,0.0
"Beta(1,5)",1000000,Efficient betting,randomized_markov,3,0.7259041259035093,0.7252971009881315,0.726737237326136,1.0,0.0,0.0
"Beta(1,5)",1000000,Gaffke,not_applicable,3,0.7267331503332345,0.7265369224265739,0.726943536458885,1.0,0.0,0.0
"Beta(1,5)",1000000,Original STaR,deterministic_markov,3,0.7366429909553088,0.7352800184653063,0.7382458187555729,1.0,0.0,0.0
"Beta(1,5)",1000000,Original STaR,randomized_markov,3,0.7366429909553088,0.7352800184653063,0.7382458187555729,1.0,0.0,0.0
"Beta(1,5)",1000000,Randomized Gaffke,product_orthant_randomized,3,0.7267331503332253,0.7265369224265461,0.7269435364589016,1.0,0.0,0.0
"Beta(1,5)",1000000,Squared-hinge STaR,deterministic_markov,3,0.7403968426691147,0.7326875584999615,0.7468955221487772,1.0,0.0,0.0
"Beta(1,5)",1000000,Squared-hinge STaR,randomized_markov,3,0.7403968426691147,0.7326875584999615,0.7468955221487772,1.0,0.0,0.0
"Beta(1,5)",10000000,Efficient betting,deterministic_markov,3,0.7261576668575224,0.725896755020261,0.726454210757549,1.0,0.0,0.0
"Beta(1,5)",10000000,Efficient betting,randomized_markov,3,0.725908308630952,0.7257747734104119,0.726015375034975,1.0,0.0,0.0
"Beta(1,5)",10000000,Gaffke,not_applicable,3,0.7260110869555806,0.725934791510762,0.7260931963581185,1.0,0.0,0.0
"Beta(1,5)",10000000,Original STaR,deterministic_markov,3,0.7401115178217847,0.7341680792724573,0.7463542852189861,1.0,0.0,0.0
"Beta(1,5)",10000000,Original STaR,randomized_markov,3,0.7401022021883715,0.7341624898924094,0.7463486958389381,1.0,0.0,0.0
"Beta(1,5)",10000000,Randomized Gaffke,product_orthant_randomized,3,0.7260110869556389,0.7259347915107093,0.7260931963582765,1.0,0.0,0.0
"Beta(1,5)",10000000,Squared-hinge STaR,deterministic_markov,3,0.742868625133338,0.7331008798073985,0.751702181362417,1.0,0.0,0.0
"Beta(1,5)",10000000,Squared-hinge STaR,randomized_markov,3,0.7428593094999248,0.7330952904273506,0.751696591982369,1.0,0.0,0.0
"Beta(2,2)",1000,Efficient betting,deterministic_markov,3,1.1734733729687497,1.160614974465893,1.1858018241803348,1.0,0.0,0.0
"Beta(2,2)",1000,Efficient betting,randomized_markov,3,1.1608699063087629,1.1468512303294207,1.1730447770211323,1.0,0.0,0.0
"Beta(2,2)",1000,Gaffke,not_applicable,3,1.1816491937957838,1.168175953209312,1.1948258141898105,1.0,0.0,0.0
"Beta(2,2)",1000,Original STaR,deterministic_markov,3,1.2107083147959885,1.196194171960719,1.2254761016086555,1.0,0.0,0.0
"Beta(2,2)",1000,Original STaR,randomized_markov,3,1.2076921520701518,1.1910041025243268,1.223763893509622,1.0,0.0,0.0
"Beta(2,2)",1000,Randomized Gaffke,product_orthant_randomized,3,1.1816491937957838,1.168175953209312,1.1948258141898105,1.0,0.0,0.0
"Beta(2,2)",1000,Squared-hinge STaR,deterministic_markov,3,1.2262021669222092,1.210865590568991,1.2414544912912748,1.0,0.0,0.0
"Beta(2,2)",1000,Squared-hinge STaR,randomized_markov,3,1.2233725504765838,1.2050317294675505,1.2406566738210691,1.0,0.0,0.0
"Beta(2,2)",10000,Efficient betting,deterministic_markov,3,1.1596275055616703,1.1567553633564542,1.1626155390359627,1.0,0.0,0.0
"Beta(2,2)",10000,Efficient betting,randomized_markov,3,1.1526046032582025,1.1499630459412424,1.1560624003492315,1.0,0.0,0.0
"Beta(2,2)",10000,Gaffke,not_applicable,3,1.1622834279612693,1.15926336780941,1.164504367448319,1.0,0.0,0.0
"Beta(2,2)",10000,Original STaR,deterministic_markov,3,1.1976492784889308,1.1900052539275174,1.206203447957206,1.0,0.0,0.0
"Beta(2,2)",10000,Original STaR,randomized_markov,3,1.1974566469904708,1.1900052539275174,1.2057411323609024,1.0,0.0,0.0
"Beta(2,2)",10000,Randomized Gaffke,product_orthant_randomized,3,1.162283427961273,1.159263367809411,1.1645043674483246,1.0,0.0,0.0
"Beta(2,2)",10000,Squared-hinge STaR,deterministic_markov,3,1.211102646161281,1.201160887606365,1.2210239829500846,1.0,0.0,0.0
"Beta(2,2)",10000,Squared-hinge STaR,randomized_markov,3,1.2110878283537074,1.201160887606365,1.2209884202119081,1.0,0.0,0.0
"Beta(2,2)",100000,Efficient betting,deterministic_markov,3,1.1559023179459798,1.1536032674966408,1.1583523880719473,1.0,0.0,0.0
"Beta(2,2)",100000,Efficient betting,randomized_markov,3,1.1532179080781768,1.152357009429853,1.1543566183914833,1.0,0.0,0.0
"Beta(2,2)",100000,Gaffke,not_applicable,3,1.1546660241659887,1.153640289718057,1.1554139524529037,1.0,0.0,0.0
"Beta(2,2)",100000,Original STaR,deterministic_markov,3,1.1371540424276583,1.1297864919876708,1.1430180327301922,1.0,0.0,0.0
"Beta(2,2)",100000,Original STaR,randomized_markov,3,1.1371540424276583,1.1297864919876708,1.1430180327301922,1.0,0.0,0.0
"Beta(2,2)",100000,Randomized Gaffke,product_orthant_randomized,3,1.1546660241659945,1.153640289718057,1.155413952452918,1.0,0.0,0.0
"Beta(2,2)",100000,Squared-hinge STaR,deterministic_markov,3,1.1229476604613595,1.1113127274076042,1.1331110280159438,1.0,0.0,0.0
"Beta(2,2)",100000,Squared-hinge STaR,randomized_markov,3,1.1229476604613595,1.1113127274076042,1.1331110280159438,1.0,0.0,0.0
"Beta(2,2)",1000000,Efficient betting,deterministic_markov,3,1.1534279720635439,1.1526769350354127,1.1543393374624178,1.0,0.0,0.0
"Beta(2,2)",1000000,Efficient betting,randomized_markov,3,1.1515401874044133,1.1506680449658857,1.152325419914546,1.0,0.0,0.0
"Beta(2,2)",1000000,Gaffke,not_applicable,3,1.1527836298823961,1.1522756829003167,1.1532362807724517,1.0,0.0,0.0
"Beta(2,2)",1000000,Original STaR,deterministic_markov,3,1.1953737199813148,1.1901429321489851,1.2024533155598593,1.0,0.0,0.0
"Beta(2,2)",1000000,Original STaR,randomized_markov,3,1.1953737199813148,1.1901429321489851,1.2024533155598593,1.0,0.0,0.0
"Beta(2,2)",1000000,Randomized Gaffke,product_orthant_randomized,3,1.1527836298824146,1.1522756829003278,1.1532362807724628,1.0,0.0,0.0
"Beta(2,2)",1000000,Squared-hinge STaR,deterministic_markov,3,1.2068577444555586,1.1963135246271572,1.2193939482318397,1.0,0.0,0.0
"Beta(2,2)",1000000,Squared-hinge STaR,randomized_markov,3,1.2068577444555586,1.1963135246271572,1.2193939482318397,1.0,0.0,0.0
"Beta(2,2)",10000000,Efficient betting,deterministic_markov,3,1.1522619742055793,1.15218179692656,1.1523399867614168,1.0,0.0,0.0
"Beta(2,2)",10000000,Efficient betting,randomized_markov,3,1.151902585369511,1.1517301165876224,1.152086575337338,1.0,0.0,0.0
"Beta(2,2)",10000000,Gaffke,not_applicable,3,1.152256752993577,1.152219363675934,1.1522975305588825,1.0,0.0,0.0
