distribution,method,n,reps,mean_width_c1,mean_width_c05,mean_sqrt_n_width_c1,mean_sqrt_n_width_c05,mean_largest_component_width_c1,mean_largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
"Beta(0.5,0.5)",Common-clock Efficient betting,30000,30,0.010525708507834613,0.010528782942068422,1.8231061921229625,1.8236386997527112,0.010525708507834613,0.010528782942068422,0.0002920881032872913,0.0002920881032872913,0.0002920881032872913
"Beta(0.5,0.5)",Common-clock Efficient betting,100000,30,0.005760674906101863,0.005759242605132257,1.8216853563058686,1.821232422969981,0.005760674906101863,0.005759242605132257,-0.0002486342300082045,-0.0002486342300110911,-0.0002486342300082045
"Beta(0.5,0.5)",Common-clock Efficient betting,300000,30,0.0033261350043851433,0.0033263281111354432,1.8217991712093147,1.8219049401324563,0.0033261350043851433,0.0033263281111354432,5.805739996889159e-05,5.80573999664491e-05,5.805739996889159e-05
"Beta(0.5,0.5)",Common-clock Efficient betting,1000000,30,0.0018213949754702266,0.0018211295273444167,1.821394975470277,1.8211295273444652,0.0018213949754702266,0.0018211295273444167,-0.00014573891406577388,-0.00014573891406677308,-0.00014573891406577388
"Beta(0.5,0.5)",Common-clock Efficient betting,3000000,30,0.00105160340777401,0.0010515768253114733,1.8214305316772406,1.8213844895015623,0.00105160340777401,0.0010515768253114733,-2.527803004459539e-05,-2.5278030030495557e-05,-2.527803004459539e-05
"Beta(0.5,0.5)",Common-clock Efficient betting,10000000,30,0.0005759630146552267,0.00057595664428851,1.821354974327632,1.8213348294592333,0.0005759630146552267,0.00057595664428851,-1.1060374632720915e-05,-1.106037465659071e-05,-1.1060374632720915e-05
"Beta(0.5,0.5)",Common-clock STaR betting,1000,30,0.058559982250022576,0.05840181236495638,1.8518292364910331,1.8468274655504715,0.058559982250022576,0.05840181236495638,-0.0027009892931811885,-0.0027009892931808555,-0.0027009892931811885
"Beta(0.5,0.5)",Common-clock STaR betting,3000,30,0.03371925352692092,0.03372902316168358,1.8468795778930243,1.847414682826834,0.03371925352692092,0.03372902316168358,0.000289734609778991,0.000289734609778991,0.000289734609778991
"Beta(0.5,0.5)",Common-clock STaR betting,10000,30,0.01850782933962477,0.018504459740182663,1.8507829339624828,1.850445974018272,0.01850782933962477,0.018504459740182663,-0.0001820634597539117,-0.00018206345975402272,-0.0001820634597539117
"Beta(0.5,0.5)",Common-clock STaR betting,30000,30,0.010731710617302848,0.010731665489977971,1.8587868041294968,1.8587789878475478,0.010731710617302848,0.010731665489977971,-4.205044888627718e-06,-4.205044888183629e-06,-4.205044888627718e-06
"Beta(0.5,0.5)",Common-clock STaR betting,100000,30,0.005866487309571183,0.005866170745236274,1.855146176271841,1.8550460698394131,0.005866487309571183,0.005866170745236274,-5.3961479536845935e-05,-5.3961479536401846e-05,-5.3961479536845935e-05
"Beta(0.5,0.5)",Common-clock STaR betting,300000,30,0.0033701262827231034,0.003370142052352763,1.8458941866885064,1.8459028240703923,0.0033701262827231034,0.003370142052352763,4.6792399859274525e-06,4.6792399848172295e-06,4.6792399859274525e-06
