distribution,n,rep,method,width,sqrt_n_width
"Beta(2,2)",10,34,Gaffke,0.493529328753592,1.5606767709553802
"Beta(2,2)",50,34,Gaffke,0.1854865839851857,1.3115882135505292
"Beta(2,2)",100,34,Gaffke,0.124942904458821,1.2494290445882106
"Beta(2,2)",500,34,Gaffke,0.0550681224865494,1.2313606527320924
"Beta(2,2)",10,35,Gaffke,0.4707290512428628,1.4885759627375617
"Beta(2,2)",50,35,Gaffke,0.1835483204632323,1.297882620749531
"Beta(2,2)",100,35,Gaffke,0.1319285281161951,1.3192852811619509
"Beta(2,2)",500,35,Gaffke,0.0543104552573362,1.2144186984436467
"Beta(2,2)",10,36,Gaffke,0.5053192030156668,1.5979596269505332
"Beta(2,2)",50,36,Gaffke,0.1713288828069206,1.2114781484588886
"Beta(2,2)",100,36,Gaffke,0.1197669187035634,1.1976691870356349
"Beta(2,2)",500,36,Gaffke,0.0534226433049975,1.1945666196769849
"Beta(2,2)",10,37,Gaffke,0.4430500352066894,1.401047228670928
"Beta(2,2)",50,37,Gaffke,0.165297745439062,1.1688315671480844
"Beta(2,2)",100,37,Gaffke,0.1258872181167257,1.2588721811672576
"Beta(2,2)",500,37,Gaffke,0.052860236762062,1.181990827067042
"Beta(2,2)",10,38,Gaffke,0.4561920734514008,1.4426060026212573
"Beta(2,2)",50,38,Gaffke,0.1848997890027224,1.3074389464378684
"Beta(2,2)",100,38,Gaffke,0.1251642859080693,1.2516428590806938
"Beta(2,2)",500,38,Gaffke,0.0537779802293089,1.2025121948537445
"Beta(2,2)",10,39,Gaffke,0.4510124412746536,1.4262265675008403
"Beta(2,2)",50,39,Gaffke,0.1683037800394694,1.1900874416523797
"Beta(2,2)",100,39,Gaffke,0.1264648675503715,1.2646486755037156
"Beta(2,2)",500,39,Gaffke,0.054250394722509,1.2130757040572615
"Beta(2,2)",10,40,Gaffke,0.4314445263320852,1.3643473872218814
"Beta(2,2)",50,40,Gaffke,0.1828503012064715,1.2929468792509875
"Beta(2,2)",100,40,Gaffke,0.1258897021311349,1.2588970213113493
"Beta(2,2)",500,40,Gaffke,0.053335048009828,1.1926079293319043
"Beta(2,2)",10,41,Gaffke,0.4531194114593321,1.43288939224649
"Beta(2,2)",50,41,Gaffke,0.1866870736384564,1.320076957296249
"Beta(2,2)",100,41,Gaffke,0.1243863721875285,1.243863721875285
"Beta(2,2)",500,41,Gaffke,0.051754290653763,1.1572611202909615
"Beta(2,2)",10,42,Gaffke,0.471808581606422,1.4919897374897182
"Beta(2,2)",50,42,Gaffke,0.1801615495217262,1.273934533758886
"Beta(2,2)",100,42,Gaffke,0.1233750346131535,1.2337503461315358
"Beta(2,2)",500,42,Gaffke,0.0532234566337453,1.1901126703056684
"Beta(2,2)",10,43,Gaffke,0.467944104590251,1.4797691881532464
"Beta(2,2)",50,43,Gaffke,0.1793961410850051,1.2685222787990578
"Beta(2,2)",100,43,Gaffke,0.1236490606268949,1.2364906062689491
"Beta(2,2)",500,43,Gaffke,0.0557406440942406,1.2463986930434436
"Beta(2,2)",10,44,Gaffke,0.4533317354852571,1.4335608197703895
"Beta(2,2)",50,44,Gaffke,0.1692150641666304,1.1965311935114116
"Beta(2,2)",100,44,Gaffke,0.1156305408402436,1.156305408402436
"Beta(2,2)",500,44,Gaffke,0.0522091084904078,1.1674311562921331
"Beta(2,2)",10,45,Gaffke,0.460475742805061,1.456152154521885
"Beta(2,2)",50,45,Gaffke,0.188660750602112,1.3340329609449744
"Beta(2,2)",100,45,Gaffke,0.1211587247362937,1.2115872473629374
"Beta(2,2)",500,45,Gaffke,0.0517861699725823,1.1579739635305266
"Beta(2,2)",10,46,Gaffke,0.4631050115262553,1.464466632261497
"Beta(2,2)",50,46,Gaffke,0.1844554960800042,1.3042973210529962
"Beta(2,2)",100,46,Gaffke,0.1233829019553863,1.2338290195538637
"Beta(2,2)",500,46,Gaffke,0.0518275319687517,1.1588988458817238
"Beta(2,2)",10,47,Gaffke,0.4612767128410927,1.458685044173292
"Beta(2,2)",50,47,Gaffke,0.1843952868029328,1.3038715771719214
"Beta(2,2)",100,47,Gaffke,0.123539980672822,1.23539980672822
"Beta(2,2)",500,47,Gaffke,0.0532697280214755,1.1911473299894473
"Beta(2,2)",10,48,Gaffke,0.4703294454144364,1.4873122981534554
"Beta(2,2)",50,48,Gaffke,0.2055816439884577,1.453681745517171
"Beta(2,2)",100,48,Gaffke,0.1327920452877254,1.327920452877254
"Beta(2,2)",500,48,Gaffke,0.0532025537390762,1.1896452673716007
"Beta(2,2)",10,49,Gaffke,0.4844859486921589,1.5320790922146978
"Beta(2,2)",50,49,Gaffke,0.1878224163495166,1.328105042595863
"Beta(2,2)",100,49,Gaffke,0.1186820476341736,1.1868204763417365
"Beta(2,2)",500,49,Gaffke,0.0539554916294229,1.2064814704281068
"Beta(1,5)",10,0,Gaffke,0.440646625370166,1.393446979436661
"Beta(1,5)",50,0,Gaffke,0.1326371420169561,0.9378862255739284
"Beta(1,5)",100,0,Gaffke,0.0865629723494337,0.8656297234943378
"Beta(1,5)",500,0,Gaffke,0.0344143498329383,0.7695282562790866
"Beta(1,5)",10,1,Gaffke,0.4288718954641464,1.3562120141003386
"Beta(1,5)",50,1,Gaffke,0.1348376497962936,0.9534461653021614
"Beta(1,5)",100,1,Gaffke,0.0851755518346775,0.8517555183467757
"Beta(1,5)",500,1,Gaffke,0.0335736768891578,0.7507302377877052
"Beta(1,5)",10,2,Gaffke,0.4344851586846283,1.3739627109831134
"Beta(1,5)",50,2,Gaffke,0.1360371818582071,0.9619281378544582
"Beta(1,5)",100,2,Gaffke,0.086381803569809,0.8638180356980907
"Beta(1,5)",500,2,Gaffke,0.0348241661222766,0.7786920270915592
"Beta(1,5)",10,3,Gaffke,0.4567667208795307,1.4444231973457058
"Beta(1,5)",50,3,Gaffke,0.1441514671119099,1.019304799128211
"Beta(1,5)",100,3,Gaffke,0.0925482731553902,0.9254827315539028
"Beta(1,5)",500,3,Gaffke,0.0353444747859589,0.7903264825043155
"Beta(1,5)",10,4,Gaffke,0.4299770065381416,1.3597066821616386
"Beta(1,5)",50,4,Gaffke,0.1453860228852403,1.0280344267189607
"Beta(1,5)",100,4,Gaffke,0.0903445815306788,0.9034458153067884
"Beta(1,5)",500,4,Gaffke,0.0347526316762645,0.7770924682514
"Beta(1,5)",10,5,Gaffke,0.4246192641731711,1.3427640131719545
"Beta(1,5)",50,5,Gaffke,0.13485804101316,0.9535903529793904
"Beta(1,5)",100,5,Gaffke,0.0822104687303831,0.8221046873038316
