distribution,method,n,rep,width_c1,sqrt_n_width_c1,largest_component_width_c1,width_c05,sqrt_n_width_c05,largest_component_width_c05,width_relative_change,sqrt_n_width_relative_change,largest_component_width_relative_change
Bernoulli(0.1),Common-clock Efficient betting,3000,29,0.0277519920574867,1.520039206558971,0.0277519920574867,0.0275523492304808,1.5091043185794488,0.0275523492304808,-0.007193819693820491,-0.007193819693819825,-0.007193819693820491
Bernoulli(0.1),Common-clock Efficient betting,10000,0,0.0155059622631079,1.5505962263107909,0.0155059622631079,0.0153823436483375,1.5382343648337529,0.0153823436483375,-0.00797232784865709,-0.007972327848655758,-0.00797232784865709
Bernoulli(0.1),Common-clock Efficient betting,10000,1,0.0155615876561942,1.5561587656194282,0.0155615876561942,0.0156264998318511,1.562649983185116,0.0156264998318511,0.004171308036880372,0.004171308036878818,0.004171308036880372
Bernoulli(0.1),Common-clock Efficient betting,10000,2,0.0157457750035387,1.5745775003538784,0.0157457750035387,0.0157558539121664,1.5755853912166429,0.0157558539121664,0.0006401024163902314,0.0006401024163864566,0.0006401024163902314
Bernoulli(0.1),Common-clock Efficient betting,10000,3,0.0155857648730072,1.558576487300728,0.0155857648730072,0.0156380914470391,1.5638091447039175,0.0156380914470391,0.0033573311581598375,0.0033573311581596155,0.0033573311581598375
Bernoulli(0.1),Common-clock Efficient betting,10000,4,0.0156390151911121,1.5639015191112189,0.0156390151911121,0.0156808209344828,1.568082093448289,0.0156808209344828,0.0026731698166300166,0.0026731698166302387,0.0026731698166300166
Bernoulli(0.1),Common-clock Efficient betting,10000,5,0.0158922227848454,1.5892222784845422,0.0158922227848454,0.0158674756057947,1.5867475605794754,0.0158674756057947,-0.001557188027485945,-0.0015571880274839467,-0.001557188027485945
Bernoulli(0.1),Common-clock Efficient betting,10000,6,0.0155724741595242,1.5572474159524272,0.0155724741595242,0.0154394219573104,1.5439421957310449,0.0154394219573104,-0.008544063123869461,-0.008544063123870904,-0.008544063123869461
Bernoulli(0.1),Common-clock Efficient betting,10000,7,0.0150886496679221,1.5088649667922105,0.0150886496679221,0.0151261466723552,1.5126146672355207,0.0151261466723552,0.0024851133307717266,0.0024851133307719486,0.0024851133307717266
Bernoulli(0.1),Common-clock Efficient betting,10000,8,0.015377350141701,1.5377350141701078,0.015377350141701,0.0154133570496195,1.541335704961952,0.0154133570496195,0.00234155479238618,0.0023415547923824054,0.00234155479238618
Bernoulli(0.1),Common-clock Efficient betting,10000,9,0.0152198737660669,1.5219873766066954,0.0152198737660669,0.0152268602900415,1.52268602900415,0.0152268602900415,0.00045903954802684055,0.00045903954802328784,0.00045903954802684055
Bernoulli(0.1),Common-clock Efficient betting,10000,10,0.0154617629919502,1.5461762991950208,0.0154617629919502,0.0154740395469459,1.5474039546945983,0.0154740395469459,0.000793994514215024,0.000793994514219909,0.000793994514215024
Bernoulli(0.1),Common-clock Efficient betting,10000,11,0.0149629229898831,1.496292298988311,0.0149629229898831,0.0149632754774975,1.4963275477497566,0.0149632754774975,2.3557403499019358e-05,2.355740350301616e-05,2.3557403499019358e-05
Bernoulli(0.1),Common-clock Efficient betting,10000,12,0.0152559469624178,1.5255946962417888,0.0152559469624178,0.0153186833434046,1.5318683343404669,0.0153186833434046,0.004112257412886233,0.004112257412884901,0.004112257412886233
Bernoulli(0.1),Common-clock Efficient betting,10000,13,0.0148562406984164,1.4856240698416443,0.0148562406984164,0.0149143882270301,1.4914388227030104,0.0149143882270301,0.003914013631988178,0.0039140136319855134,0.003914013631988178
Bernoulli(0.1),Common-clock Efficient betting,10000,14,0.0155311852701449,1.5531185270144965,0.0155311852701449,0.0155311852701449,1.5531185270144965,0.0155311852701449,0.0,0.0,0.0
Bernoulli(0.1),Common-clock Efficient betting,10000,15,0.0157597497995478,1.5759749799547889,0.0157597497995478,0.0157749633459262,1.5774963345926265,0.0157749633459262,0.0009653418722952445,0.0009653418722936902,0.0009653418722952445
Bernoulli(0.1),Common-clock Efficient betting,10000,16,0.0154998104435662,1.5499810443566284,0.0154998104435662,0.0155409337821216,1.5540933782121638,0.0155409337821216,0.002653151063048531,0.0026531510630456445,0.002653151063048531
Bernoulli(0.1),Common-clock Efficient betting,10000,17,0.0151382290286795,1.513822902867952,0.0151382290286795,0.0151714756397841,1.517147563978417,0.0151714756397841,0.002196202147662918,0.0021962021476664706,0.002196202147662918
Bernoulli(0.1),Common-clock Efficient betting,10000,18,0.0151040253552724,1.5104025355272457,0.0151040253552724,0.0151412809162721,1.514128091627212,0.0151412809162721,0.0024665981500551215,0.002466598150052679,0.0024665981500551215
Bernoulli(0.1),Common-clock Efficient betting,10000,19,0.0154245301263949,1.5424530126394942,0.0154245301263949,0.0154302975186508,1.5430297518650855,0.0154302975186508,0.0003739104017197459,0.00037391040172063406,0.0003739104017197459
Bernoulli(0.1),Common-clock Efficient betting,10000,20,0.0156970893612792,1.56970893612792,0.0156970893612792,0.0157345726098074,1.5734572609807458,0.0157345726098074,0.0023879107562874147,0.0023879107562909674,0.0023879107562874147
Bernoulli(0.1),Common-clock Efficient betting,10000,21,0.0156788090416143,1.5678809041614326,0.0156788090416143,0.015556622077776,1.555662207777604,0.015556622077776,-0.007793127878144013,-0.007793127878143125,-0.007793127878144013
Bernoulli(0.1),Common-clock Efficient betting,10000,22,0.0154839459435736,1.5483945943573607,0.0154839459435736,0.0154918477911356,1.5491847791135605,0.0154918477911356,0.000510325183954663,0.000510325183954663,0.000510325183954663
Bernoulli(0.1),Common-clock Efficient betting,10000,23,0.0156053359102342,1.5605335910234233,0.0156053359102342,0.0155787111700189,1.557871117001894,0.0155787111700189,-0.0017061305420436046,-0.0017061305420431605,-0.0017061305420436046
Bernoulli(0.1),Common-clock Efficient betting,10000,24,0.0158374325992913,1.5837432599291323,0.0158374325992913,0.0158418795987225,1.584187959872252,0.0158418795987225,0.0002807904250463622,0.00028079042504614016,0.0002807904250463622
Bernoulli(0.1),Common-clock Efficient betting,10000,25,0.0156824064432959,1.5682406443295993,0.0156824064432959,0.0156886461518969,1.5688646151896912,0.0156886461518969,0.00039787953612613336,0.00039787953612102633,0.00039787953612613336
