distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
"Beta(20,80)",1000,PE-betting,Deterministic,0.32028263919020006,0.3025978688420458,0.3358571340463109,120,0.0,0.0,0.0,0.9291250000000001
"Beta(20,80)",1000,PE-betting,Uniformly randomized,0.27966222419950354,0.23966469208960867,0.3171449604550727,120,0.008333333333333333,0.0,0.0,0.9291250000000001
"Beta(20,80)",5000,PE-betting,Deterministic,0.23021460483971398,0.22083497846157388,0.24016598614512974,120,0.0,0.0,0.0,0.24350833333333333
"Beta(20,80)",5000,PE-betting,Uniformly randomized,0.2180671773586766,0.20431251822477256,0.23275912532960555,120,0.0,0.0,0.0,0.24350833333333333
"Beta(20,80)",10000,PE-betting,Deterministic,0.21849737114583453,0.21293758414685726,0.22509153001010418,120,0.025,0.0,0.0,0.250415
"Beta(20,80)",10000,PE-betting,Uniformly randomized,0.2091670548543334,0.19335023127496243,0.2208908647298813,120,0.03333333333333333,0.0,0.0,0.250415
"Beta(50,50)",10,PE-betting,Deterministic,1.5757119441856473,1.5723085762702191,1.5802630340411672,120,0.0,0.0,0.0,0.0
"Beta(50,50)",10,PE-betting,Uniformly randomized,1.3719591523285684,1.1571355910382028,1.5202356690411747,120,0.0,0.0,0.0,0.0
"Beta(50,50)",50,PE-betting,Deterministic,0.9595512355660291,0.9526997812554913,0.9675206033134247,120,0.0,0.0,0.0,0.0005
"Beta(50,50)",50,PE-betting,Uniformly randomized,0.796766764450346,0.6463779403445871,0.9242578728657227,120,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.0005
"Beta(50,50)",100,PE-betting,Deterministic,0.7257421190539995,0.7152065495029092,0.7355842227116227,120,0.0,0.0,0.0,0.015416666666666667
"Beta(50,50)",100,PE-betting,Uniformly randomized,0.6013236392755061,0.4550449438393116,0.6967696528881788,120,0.0,0.0,0.0,0.015416666666666667
"Beta(50,50)",500,PE-betting,Deterministic,0.3888748620039521,0.3807095894484686,0.39708363348458875,120,0.0,0.0,0.0,0.06728333333333333
"Beta(50,50)",500,PE-betting,Uniformly randomized,0.3365943704602506,0.27462412534346964,0.3786441570374497,120,0.008333333333333333,0.0,0.0,0.06728333333333333
"Beta(50,50)",1000,PE-betting,Deterministic,0.3245178818084909,0.3171847870501094,0.3319694039693781,120,0.0,0.0,0.0,0.06066666666666667
"Beta(50,50)",1000,PE-betting,Uniformly randomized,0.28764573067543436,0.24464663010760299,0.3200192843702406,120,0.0,0.0,0.0,0.06066666666666667
"Beta(50,50)",5000,PE-betting,Deterministic,0.2732275699899327,0.26835856629145344,0.2779547517383211,120,0.0,0.0,0.0,0.018571666666666667
"Beta(50,50)",5000,PE-betting,Uniformly randomized,0.26133121534649917,0.24824601774215896,0.2721846901264978,120,0.008333333333333333,0.0,0.0,0.018571666666666667
"Beta(50,50)",10000,PE-betting,Deterministic,0.2665644814260304,0.26366861537098885,0.26965430937707424,120,0.008333333333333333,0.0,0.0,0.004885
"Beta(50,50)",10000,PE-betting,Uniformly randomized,0.25805207357431453,0.24796693585813046,0.26570280082523823,120,0.008333333333333333,0.0,0.0,0.004885
"Uniform(0,1)",10,PE-betting,Deterministic,2.250091256647321,1.9343916123847698,2.571099623139665,120,0.0,0.0,0.0,0.0875
"Uniform(0,1)",10,PE-betting,Uniformly randomized,1.777947363829295,1.3860817250702182,2.0978769727340456,120,0.008333333333333333,0.0,0.0,0.0875
"Uniform(0,1)",50,PE-betting,Deterministic,1.7385181352593253,1.5651715520091245,1.8999899743333941,120,0.0,0.0,0.0,0.4091666666666667
"Uniform(0,1)",50,PE-betting,Uniformly randomized,1.5461503785408326,1.3545127957774261,1.7025953344560787,120,0.016666666666666666,0.0,0.0,0.4091666666666667
"Uniform(0,1)",100,PE-betting,Deterministic,1.6501570355612785,1.54164285864681,1.7661149464547634,120,0.0,0.0,0.0,0.40191666666666664
"Uniform(0,1)",100,PE-betting,Uniformly randomized,1.5169089854850124,1.397906138561666,1.636258884333074,120,0.0,0.0,0.0,0.40191666666666664
"Uniform(0,1)",500,PE-betting,Deterministic,1.543999031509003,1.494862538476603,1.5904837266054364,120,0.008333333333333333,0.0,0.0,0.23426666666666665
"Uniform(0,1)",500,PE-betting,Uniformly randomized,1.4977685562832506,1.4490127374162696,1.5491298318948292,120,0.008333333333333333,0.0,0.0,0.23426666666666665
"Uniform(0,1)",1000,PE-betting,Deterministic,1.5294036673814353,1.4970224137211834,1.5618050841819044,120,0.008333333333333333,0.0,0.0,0.15331666666666666
"Uniform(0,1)",1000,PE-betting,Uniformly randomized,1.493428235316651,1.4484396370949637,1.527912728378255,120,0.016666666666666666,0.0,0.0,0.15331666666666666
"Uniform(0,1)",5000,PE-betting,Deterministic,1.503271579980314,1.4873646810514596,1.5207899307347574,120,0.0,0.0,0.0,0.027483333333333335
"Uniform(0,1)",5000,PE-betting,Uniformly randomized,1.488842048824926,1.4724078708697166,1.503285830883467,120,0.0,0.0,0.0,0.027483333333333335
"Uniform(0,1)",10000,PE-betting,Deterministic,1.5008978103287518,1.4894851576536894,1.5145468339323997,120,0.016666666666666666,0.0,0.0,0.013826666666666666
