distribution,n,repetition,plus_violations,minus_violations,max_plus_increase,max_minus_decrease
Bernoulli(0.5),50,4,27,24,0.029870407868197946,0.01965020707008902
Bernoulli(0.5),50,5,19,33,0.022722353747886004,0.037919736075461064
Bernoulli(0.5),50,6,29,26,0.039371797247077955,0.01949927131452167
Bernoulli(0.5),50,7,27,26,0.018173524131889662,0.03861869474861779
Bernoulli(0.5),50,8,23,30,0.015517850241112852,0.03127452797873009
Bernoulli(0.5),50,9,31,15,0.03229348178755931,0.0170217091510505
Bernoulli(0.5),200,0,34,25,0.010234621115913889,0.014065146885071211
Bernoulli(0.5),200,1,31,32,0.00693615289322036,0.025676710018447402
Bernoulli(0.5),200,2,34,25,0.014441025240136796,0.009282561407985668
Bernoulli(0.5),200,3,24,39,0.013217665838138881,0.0160075187121842
Bernoulli(0.5),200,4,21,35,0.03712648375479888,0.029347515279183334
Bernoulli(0.5),200,5,30,31,0.03543115558706167,0.02163936249923637
Bernoulli(0.5),200,6,32,20,0.006654791812423566,0.020499505156447384
Bernoulli(0.5),200,7,33,27,0.04477275705476669,0.019673279543801936
Bernoulli(0.5),200,8,31,22,0.019691355244911835,0.009732899102487647
Bernoulli(0.5),200,9,23,34,0.04574417428003774,0.02673038396296956
Bernoulli(0.5),1000,0,3,3,0.0010941830587305468,0.011775629803557397
Bernoulli(0.5),1000,1,2,2,7.903480277349217e-05,4.627741527785112e-05
Bernoulli(0.5),1000,2,3,2,0.00014480022450080732,5.563857291779328e-05
Bernoulli(0.5),1000,3,2,3,4.179901622203275e-05,0.00023055153576678755
Bernoulli(0.5),1000,4,3,3,0.01125200024800277,0.007885038410146095
Bernoulli(0.5),1000,5,2,2,0.0009896223750689437,1.0657178124429123e-05
Bernoulli(0.5),1000,6,3,3,0.003430912430440136,0.029004058151228307
Bernoulli(0.5),1000,7,2,3,8.678087548319446e-05,8.624757713660003e-05
Bernoulli(0.5),1000,8,3,2,0.0005126430627728773,5.944331684260007e-05
Bernoulli(0.5),1000,9,3,2,0.0010035479382111134,6.613803809729646e-06
Bernoulli(0.5),5000,0,1,0,4.959583632668796e-09,2.220446049250313e-16
Bernoulli(0.5),5000,1,0,1,2.220446049250313e-16,2.932130316324333e-09
Bernoulli(0.5),5000,2,0,0,4.065459080493383e-11,2.0872192862952943e-14
Bernoulli(0.5),5000,3,0,0,1.4441781104324036e-12,2.220446049250313e-15
Bernoulli(0.5),5000,4,1,0,1.9798529704573298e-08,2.220446049250313e-16
Bernoulli(0.5),5000,5,0,1,2.220446049250313e-16,5.237011713177253e-09
Bernoulli(0.5),5000,6,1,1,0.000752606532990141,6.870225488508908e-07
Bernoulli(0.5),5000,7,0,0,8.881784197001252e-16,5.497824417943775e-13
Bernoulli(0.5),5000,8,0,0,2.8199664825478976e-14,2.0012214108078297e-11
Bernoulli(0.5),5000,9,1,1,4.654904806811189e-05,9.673377729058075e-05
"Uniform(0.45,0.55)",50,0,25,27,0.02145068261825145,0.023953859331073968
"Uniform(0.45,0.55)",50,1,26,22,0.019206307983242743,0.0306394694364287
"Uniform(0.45,0.55)",50,2,19,26,0.011808846651619076,0.02775178931314981
"Uniform(0.45,0.55)",50,3,20,19,0.006523955097739398,0.004387798936335674
"Uniform(0.45,0.55)",50,4,25,26,0.015247291362528115,0.01507932413581936
"Uniform(0.45,0.55)",50,5,24,21,0.024603963958409025,0.008603435488737432
"Uniform(0.45,0.55)",50,6,24,22,0.01053273438343405,0.002465632617409508
"Uniform(0.45,0.55)",50,7,25,28,0.016988663056144215,0.03148345737879055
"Uniform(0.45,0.55)",50,8,26,23,0.005575469842900471,0.003702761648955999
"Uniform(0.45,0.55)",50,9,22,26,0.002745814168960914,0.009724370858507081
"Uniform(0.45,0.55)",200,0,25,17,0.001815648274990922,0.0013715486319090253
"Uniform(0.45,0.55)",200,1,22,17,1.834412270618202e-05,6.507370492814246e-05
"Uniform(0.45,0.55)",200,2,18,15,0.00030329486237357095,0.006997726143582073
"Uniform(0.45,0.55)",200,3,17,16,6.0142757042802586e-05,4.3252439092533734e-06
"Uniform(0.45,0.55)",200,4,23,17,1.8634345410495357e-05,5.479860521129254e-05
"Uniform(0.45,0.55)",200,5,19,15,0.00017900733492992593,1.2248825016270004e-05
"Uniform(0.45,0.55)",200,6,22,24,1.3252913716010895e-05,1.6868149396831456e-05
"Uniform(0.45,0.55)",200,7,18,22,7.787179535423405e-06,0.00010321592507822608
"Uniform(0.45,0.55)",200,8,20,17,0.0013756005646430314,0.0013447967098354496
