distribution,n,repetition,order_index,width,scaled_midpoint
"Beta(1,5)",50,5,5,0.13785039354115725,0.05442750525750343
"Beta(1,5)",50,5,6,0.13292186427861452,0.10468887334130973
"Beta(1,5)",50,5,7,0.13922004774212837,0.078459496691346
"Beta(1,5)",50,6,0,0.17047156020998955,0.027209539966361256
"Beta(1,5)",50,6,1,0.13677447754889727,0.14287037374059677
"Beta(1,5)",50,6,2,0.1415900867432356,0.1503509158083966
"Beta(1,5)",50,6,3,0.17282602470368147,0.043529527401460745
"Beta(1,5)",50,6,4,0.1498085856437683,0.11412068798957743
"Beta(1,5)",50,6,5,0.15892762411385775,0.08448817064204664
"Beta(1,5)",50,6,6,0.1549966735765338,0.13120995419167694
"Beta(1,5)",50,6,7,0.15247691608965397,0.1101259767604895
"Beta(1,5)",50,7,0,0.09483653958886862,-0.022476146211800024
"Beta(1,5)",50,7,1,0.0698257489129901,0.06711527137346074
"Beta(1,5)",50,7,2,0.08753960486501455,0.019762016080570894
"Beta(1,5)",50,7,3,0.08029292896389961,0.04620848851303622
"Beta(1,5)",50,7,4,0.08931611943989992,-0.01710720405978899
"Beta(1,5)",50,7,5,0.08878258522599936,-0.007276036761582927
"Beta(1,5)",50,7,6,0.09497546590864658,-0.024385270033164468
"Beta(1,5)",50,7,7,0.08448534179478884,0.007896492844639853
"Beta(1,5)",50,8,0,0.15557681396603584,0.07156728108001259
"Beta(1,5)",50,8,1,0.14875276573002338,0.13290755415585473
"Beta(1,5)",50,8,2,0.15711046662181616,0.1028249018807825
"Beta(1,5)",50,8,3,0.1575101502239704,0.0787668386698689
"Beta(1,5)",50,8,4,0.15103289391845465,0.10603041995694903
"Beta(1,5)",50,8,5,0.14880914054811,0.11543462321612703
"Beta(1,5)",50,8,6,0.15473781060427427,0.11067258580450526
"Beta(1,5)",50,8,7,0.1541796186938882,0.10877217781970397
"Beta(1,5)",50,9,0,0.13733275886625051,0.13197262269558976
"Beta(1,5)",50,9,1,0.15995924454182386,0.0507864852544058
"Beta(1,5)",50,9,2,0.13505717739462852,0.1127486120309684
"Beta(1,5)",50,9,3,0.15097918640822172,0.052692708187212584
"Beta(1,5)",50,9,4,0.15401948802173138,0.06397967043837795
"Beta(1,5)",50,9,5,0.139111147262156,0.10730774694051803
"Beta(1,5)",50,9,6,0.16163029614835978,0.03286794358790652
"Beta(1,5)",50,9,7,0.12628304492682219,0.17307748915872814
"Beta(1,5)",200,0,0,0.05187252722680569,0.03640610782663292
"Beta(1,5)",200,0,1,0.046062691137194633,0.061387480072241145
"Beta(1,5)",200,0,2,0.05131432227790356,0.0482271529664948
