distribution,n,repetition,width_range,width_sd,scaled_midpoint_range,scaled_midpoint_sd
Bernoulli(0.5),1000,2,0.00016449112445116043,5.919820304646183e-05,0.02681456641451396,0.009407643960578834
Bernoulli(0.5),1000,3,0.00026630982756614685,8.709454595517106e-05,0.033653281374506884,0.009889747257969449
Bernoulli(0.5),1000,4,5.720648914575577e-05,2.3324270914744443e-05,0.018824405483840446,0.0066802642392613035
Bernoulli(0.5),1000,5,0.0005805855616927147,0.00021232961496493898,0.03975379215059581,0.011602988316276847
Bernoulli(0.5),1000,6,0.00019025709480047226,6.988902376100032e-05,0.022054680144355562,0.007979016122320246
Bernoulli(0.5),1000,7,0.0005451282486319542,0.00019727745094358614,0.02585468451054672,0.00857506394760022
Bernoulli(0.5),1000,8,0.0004478665068745613,0.0001337340305512637,0.03986159755703815,0.0136127722129672
Bernoulli(0.5),1000,9,0.0010000383481383324,0.00030801641879989823,0.027398771289501953,0.008768101583227729
Bernoulli(0.5),5000,0,5.73229044675827e-05,2.0686464765935557e-05,0.009860156427447461,0.003649072268610008
Bernoulli(0.5),5000,1,3.139302134513855e-05,9.899360060411761e-06,0.015556270076469392,0.005239120478203097
Bernoulli(0.5),5000,2,3.5682693123817444e-05,1.194579711229985e-05,0.01095432812746075,0.004170677430592409
Bernoulli(0.5),5000,3,4.9734488129615784e-05,1.61652810202827e-05,0.012436086197647267,0.004192828476401915
Bernoulli(0.5),5000,4,3.372691571712494e-05,1.0805627371961482e-05,0.012667498737752395,0.004401295976559777
Bernoulli(0.5),5000,5,2.3434869945049286e-05,7.871234114034333e-06,0.01572673432236072,0.005329081473332687
Bernoulli(0.5),5000,6,1.5956349670886993e-05,5.103724706000686e-06,0.011132135144616084,0.004494031212897519
Bernoulli(0.5),5000,7,1.713726669549942e-05,6.419576443271111e-06,0.011987584460485635,0.004490736332459193
Bernoulli(0.5),5000,8,0.0001070164144039154,3.693769885360835e-05,0.009039247771021603,0.003383640696100148
Bernoulli(0.5),5000,9,4.430394619703293e-05,1.3838178153665287e-05,0.011051562224064398,0.003936742195380193
"Beta(1,5)",50,0,0.023630496114492416,0.008882956516990595,0.09688919050303763,0.036901322622525656
"Beta(1,5)",50,1,0.02471480891108513,0.007189402563911791,0.0813228611592088,0.026236021917026425
"Beta(1,5)",50,2,0.03034959454089403,0.008828236761384965,0.07571267110486593,0.02685739635020048
"Beta(1,5)",50,3,0.009390226565301418,0.0035508211289097947,0.042310068767197534,0.014155036221454717
"Beta(1,5)",50,4,0.02567871008068323,0.008445326647296055,0.0823330355072289,0.03302902137757817
"Beta(1,5)",50,5,0.017919421195983887,0.00598381909208178,0.06518148416556438,0.025117231568410444
"Beta(1,5)",50,6,0.0360515471547842,0.012633903799976372,0.12314137584203534,0.04531658490000374
"Beta(1,5)",50,7,0.02514971699565649,0.008243585758773478,0.09150054140662521,0.03365810200560309
"Beta(1,5)",50,8,0.008757384493947029,0.003505922699896418,0.06134027307584214,0.019729010308909802
"Beta(1,5)",50,9,0.03534725122153759,0.012860277767108038,0.14020954557082163,0.048325682068511254
"Beta(1,5)",200,0,0.012453263625502586,0.0036415313734884237,0.06655640656022087,0.021386371346076422
"Beta(1,5)",200,1,0.012371795251965523,0.0040555690299426675,0.0642333315393061,0.022768926569926663
"Beta(1,5)",200,2,0.006078110076487064,0.0024490586806592326,0.0664752080223866,0.02444719716416654
"Beta(1,5)",200,3,0.009189832955598831,0.0035250238804188545,0.06255676941821323,0.0252978210211235
"Beta(1,5)",200,4,0.009390576742589474,0.0034670491227377104,0.044927276107157715,0.017508980661279948
"Beta(1,5)",200,5,0.008618742227554321,0.002938619030646664,0.08488053920374163,0.027044888159086546
"Beta(1,5)",200,6,0.009939652867615223,0.0033876528698572766,0.08625705527610743,0.029860383094840754
"Beta(1,5)",200,7,0.007793286815285683,0.0026987767428444977,0.06539487234248602,0.02212674574099648
"Beta(1,5)",200,8,0.007126472890377045,0.0026669748281188442,0.066624559331352,0.02236009140501804
"Beta(1,5)",200,9,0.009458241052925587,0.0029928889119202754,0.06514147758670444,0.023960858768389347
"Beta(1,5)",1000,0,0.0021659648045897484,0.0007837647700825685,0.023470286910852192,0.007786521593179606
"Beta(1,5)",1000,1,0.00202125683426857,0.0007176541737720343,0.03524504933172469,0.011866122108188801
"Beta(1,5)",1000,2,0.0014824848622083664,0.000568974801013909,0.04615698563798407,0.01604382058698991
"Beta(1,5)",1000,3,0.0016795545816421509,0.00048161717721460057,0.019485433307252116,0.007320889430735205
"Beta(1,5)",1000,4,0.0026674605906009674,0.0008552977615764463,0.017738252392843688,0.005890462867130133
"Beta(1,5)",1000,5,0.0022315531969070435,0.0008674929185293349,0.03947150426075839,0.012347062048356302
"Beta(1,5)",1000,6,0.002039572224020958,0.0007008864104865666,0.04207575361816146,0.01260829726324609
"Beta(1,5)",1000,7,0.0013544950634241104,0.000392536894818274,0.028136342276782942,0.010080061751978724
"Beta(1,5)",1000,8,0.002137986943125725,0.0007282686215289871,0.01898142352084286,0.007105828006668575
"Beta(1,5)",1000,9,0.0014967136085033417,0.0004689499348098796,0.031854089983994874,0.01319281579091713
"Beta(1,5)",5000,0,0.000450940802693367,0.0001454119653106643,0.014388967008844622,0.004982583930462734
"Beta(1,5)",5000,1,0.00035085901618003845,0.000124700543679563,0.02565363423569223,0.009855454925371987
"Beta(1,5)",5000,2,0.0003443146124482155,0.00010966512173970701,0.021709545322932924,0.006291424031639021
"Beta(1,5)",5000,3,0.0003642421215772629,0.00012082940038039078,0.019960582818632416,0.007336228201270298
"Beta(1,5)",5000,4,0.00034790486097335815,0.00013972530444378344,0.027728082363063192,0.008343078735355842
"Beta(1,5)",5000,5,0.00027067307382822037,9.02272601973477e-05,0.026688010094380685,0.007823153502461924
"Beta(1,5)",5000,6,0.00031644850969314575,0.00011497491070771071,0.016613332793457853,0.005614316940437165
