distribution,n,repetition,method,lower,upper,empty,width,scaled_width,normalized_width
"Beta(1,5)",50,50,Permutation-integrated GE (randomized),0.13710277438052004,0.2298365579334649,False,0.09273378355294487,0.6557268719537285,0.9036311105838671
"Beta(1,5)",50,51,Chronological GE,0.12810823461040854,0.2419167780317366,False,0.11380854342132807,0.8047479281018473,1.1089910984493754
"Beta(1,5)",50,51,Permutation-integrated GE (randomized),0.12534792069556275,0.24685046918462322,False,0.12150254848906047,0.8591527596806197,1.1839642320563255
"Beta(1,5)",50,52,Chronological GE,0.11314281867817044,0.2499677841551602,False,0.13682496547698975,0.9674986092439471,1.3332713362113782
"Beta(1,5)",50,52,Permutation-integrated GE (randomized),0.11764725420285575,0.24988610042776704,False,0.13223884622491128,0.9350698490191984,1.2885825521000334
"Beta(1,5)",50,53,Chronological GE,0.1320063821040094,0.2826694301329553,False,0.15066304802894592,1.0653486293550216,1.46811455543187
"Beta(1,5)",50,53,Permutation-integrated GE (randomized),0.13125461938136726,0.2808885116121863,False,0.14963389223081905,1.0580713989174921,1.4580860937300542
"Beta(1,5)",50,54,Chronological GE,0.12962464010342956,0.2241035089828074,False,0.09447886887937784,0.6680664886344274,0.9206358453328588
"Beta(1,5)",50,54,Permutation-integrated GE (randomized),0.12562423169495446,0.22195678441869557,False,0.09633255272374111,0.6811740127996796,0.9386988028309428
"Beta(1,5)",50,55,Chronological GE,0.10021383641287684,0.2749359509907663,False,0.17472211457788944,1.2354719204127855,1.7025546935593152
"Beta(1,5)",50,55,Permutation-integrated GE (randomized),0.11101866720654316,0.27301000328156433,False,0.16199133607502117,1.1454517223211649,1.5785014405118314
"Beta(1,5)",50,56,Chronological GE,0.10969660291448236,0.2577628497965634,False,0.14806624688208103,1.04698647235161,1.4428103975036297
"Beta(1,5)",50,56,Permutation-integrated GE (randomized),0.09921037604533951,0.2582754643233792,False,0.15906508827803972,1.124760025714387,1.5499870367495794
"Beta(1,5)",50,57,Chronological GE,0.08230242831632495,0.225044431630522,False,0.14274200331419706,1.0093383850362139,1.3909290664079437
"Beta(1,5)",50,57,Permutation-integrated GE (randomized),0.08331021549109976,0.22567450095995295,False,0.14236428546885319,1.0066675165380357,1.387248448805616
"Beta(1,5)",50,58,Chronological GE,0.1423402144573629,0.28368379594758153,False,0.14134358149021864,0.9994500494892699,1.3773023446518442
"Beta(1,5)",50,58,Permutation-integrated GE (randomized),0.15894436025736153,0.28386624238554886,False,0.12492188212818733,0.8833310997142785,1.2172834403901136
"Beta(1,5)",50,59,Chronological GE,0.10071251774206758,0.23733124462887645,False,0.13661872688680887,0.9660402821873546,1.3312616737221517
"Beta(1,5)",50,59,Permutation-integrated GE (randomized),0.08990267555197565,0.23682021980506723,False,0.1469175442530916,1.0388639181663575,1.4316170287808738
"Beta(1,5)",50,60,Chronological GE,0.10453317174687982,0.2605830975808203,False,0.1560499258339405,1.1034396076083715,1.5206062169063281
"Beta(1,5)",50,60,Permutation-integrated GE (randomized),0.10572337144065642,0.25814189003943566,False,0.15241851859877925,1.0777616807960473,1.4852204877020672
"Beta(1,5)",50,61,Chronological GE,0.11700269160792232,0.24318680679425597,False,0.12618411518633366,0.8922564352628094,1.229583090166586
"Beta(1,5)",50,61,Permutation-integrated GE (randomized),0.11829032585545618,0.24466892658226613,False,0.12637860072680995,0.8936316557079447,1.2314782267414113
"Beta(1,5)",50,62,Chronological GE,0.13442533230409026,0.20070798741653562,False,0.06628265511244535,0.46868914905059295,0.6458818669628669
"Beta(1,5)",50,62,Permutation-integrated GE (randomized),0.13255680399217257,0.19952302849981773,False,0.06696622450764517,0.4735227145981667,0.6525428113143167
"Beta(1,5)",50,63,Chronological GE,0.14806877775117755,0.2865942674688995,False,0.13852548971772194,0.9795231314658855,1.3498418518244966
"Beta(1,5)",50,63,Permutation-integrated GE (randomized),0.157867011722975,0.28687398676970277,False,0.12900697504672778,0.9122170687590494,1.257090044945523
"Beta(1,5)",50,64,Chronological GE,0.07472370890900493,0.2411438305862248,False,0.16642012167721987,1.1767679656385253,1.6216571093406327
"Beta(1,5)",50,64,Permutation-integrated GE (randomized),0.055829174910680096,0.23965414546151426,False,0.18382497055083416,1.2998388322791223,1.7912561736150787
"Beta(1,5)",50,65,Chronological GE,0.1024262704886496,0.2179388883523643,False,0.1155126178637147,0.8167975540404299,1.1255962084955136
"Beta(1,5)",50,65,Permutation-integrated GE (randomized),0.0984220610415529,0.2159804053387417,False,0.11755834429718878,0.8312630243760509,1.1455304975777179
"Beta(1,5)",50,66,Chronological GE,0.11019648471847177,0.25786693720147014,False,0.14767045248299837,1.04418778331614,1.4389536355048944
"Beta(1,5)",50,66,Permutation-integrated GE (randomized),0.11558362594556029,0.2580578264984513,False,0.14247420055289103,1.007444733550814,1.3883195006451252
"Beta(1,5)",50,67,Chronological GE,0.13453581044450402,0.25604972848668694,False,0.12151391804218292,0.8592331545617391,1.184075021043049
"Beta(1,5)",50,67,Permutation-integrated GE (randomized),0.12505102889917444,0.2536513676828136,False,0.12860033878363916,0.9093417161679862,1.2531276359513006
"Beta(1,5)",50,68,Chronological GE,0.11902761133387685,0.27846620650961995,False,0.1594385951757431,1.1274011183162471,1.5536266213739869
"Beta(1,5)",50,68,Permutation-integrated GE (randomized),0.1251778382568878,0.27623649107593806,False,0.15105865281905026,1.0681459776525484,1.4719694698129941
"Beta(1,5)",50,69,Chronological GE,0.08008743682876229,0.2159272967837751,False,0.1358398599550128,0.960532861296205,1.3236721161347154
"Beta(1,5)",50,69,Permutation-integrated GE (randomized),0.0921066806254334,0.21873074125410497,False,0.12662406062867157,0.895367319319102,1.233870075701142
"Beta(1,5)",50,70,Chronological GE,0.1269929646514356,0.24158683558925986,False,0.11459387093782425,0.8103010322255156,1.1166436102817903
"Beta(1,5)",50,70,Permutation-integrated GE (randomized),0.11702969979265838,0.24121281868651837,False,0.12418311889385998,0.8781072547874367,1.2100846675554797
"Beta(1,5)",50,71,Chronological GE,0.09379334980621934,0.24234631890431046,False,0.14855296909809113,1.050428118146559,1.4475531926290754
"Beta(1,5)",50,71,Permutation-integrated GE (randomized),0.05939207332327977,0.24197496470183727,False,0.1825828913785575,1.2910560062242482,1.7791529105013002
"Beta(1,5)",50,72,Chronological GE,0.06592189939692616,0.21189757203683257,False,0.1459756726399064,1.032203880119454,1.4224390953542276
"Beta(1,5)",50,72,Permutation-integrated GE (randomized),0.06231900384530387,0.2109912688413687,False,0.14867226499606484,1.0512716675308083,1.448715654470315
"Beta(1,5)",50,73,Chronological GE,0.15009210677817464,0.27282059052959085,False,0.1227284837514162,0.8678214310536941,1.19591018314538
"Beta(1,5)",50,73,Permutation-integrated GE (randomized),0.1554270880530053,0.2730161661925058,False,0.11758907813950048,0.8314803454591561,1.1458299791150452
"Beta(1,5)",50,74,Chronological GE,0.12517241248860955,0.2999786655418575,False,0.17480625305324793,1.2360668692776324,1.7033745689166884
"Beta(1,5)",50,74,Permutation-integrated GE (randomized),0.13901170132020058,0.30329118927283977,False,0.1642794879526392,1.1616313994116492,1.6007980097138852
"Beta(1,5)",50,75,Chronological GE,0.11357227759435773,0.24466203479096293,False,0.1310897571966052,0.9269445625781756,1.277385418164318
"Beta(1,5)",50,75,Permutation-integrated GE (randomized),0.11905010656565909,0.24329685240149057,False,0.12424674583583148,0.8785571652087788,1.2107046712050014
"Beta(1,5)",50,76,Chronological GE,0.10859220707789063,0.26853871112689376,False,0.15994650404900312,1.130992576401317,1.5585758668553527
"Beta(1,5)",50,76,Permutation-integrated GE (randomized),0.12019585992415369,0.26616875202394075,False,0.14597289209978706,1.0321842187317165,1.4224120007781218
"Beta(1,5)",50,77,Chronological GE,0.1075482745654881,0.18807609705254436,False,0.08052782248705626,0.5694176935478403,0.7846918661022145
"Beta(1,5)",50,77,Permutation-integrated GE (randomized),0.09963022524119103,0.18578505735056944,False,0.08615483210937841,0.6092066601652998,0.8395234577775613
"Beta(1,5)",50,78,Chronological GE,0.14860700583085418,0.2960873111151159,False,0.1474803052842617,1.0428432395796368,1.4371007732815955
"Beta(1,5)",50,78,Permutation-integrated GE (randomized),0.14504976736373315,0.29665517979609424,False,0.1516054124323611,1.0720121519550585,1.4772972907825372
"Beta(1,5)",50,79,Chronological GE,0.10598899284377694,0.2546232924796641,False,0.14863429963588715,1.0510032118944899,1.4483457064398704
"Beta(1,5)",50,79,Permutation-integrated GE (randomized),0.11753351307701723,0.2554539724585829,False,0.1379204593815657,0.9752449209306889,1.3439462201177879
"Beta(1,5)",50,80,Chronological GE,0.0812045936472714,0.19382510101422668,False,0.11262050736695528,0.7963472445984361,1.0974144507801509
"Beta(1,5)",50,80,Permutation-integrated GE (randomized),0.08781393725684628,0.19500076748661396,False,0.10718683022976769,0.7579253450935997,1.0444667598965187
"Beta(1,5)",50,81,Chronological GE,0.11468854220584035,0.2691122875548899,False,0.15442374534904957,1.0919407751253754,1.504760133405024
"Beta(1,5)",50,81,Permutation-integrated GE (randomized),0.10719631542859953,0.26898252114145405,False,0.16178620571285451,1.1440012316200119,1.576502576992224
