distribution,n,method,calibration,mean,lo,hi,replications,noncoverage,empty_rate,sample_mean_exclusion_rate,poisson_round_fraction
"Beta(0.5,0.5)",50,PE-betting,Uniformly randomized,1.8832104767116227,1.6906111131823953,2.0920262825278115,120,0.016666666666666666,0.0,0.008333333333333333,0.3486666666666667
"Beta(0.5,0.5)",100,PE-betting,Deterministic,2.018438408849761,1.9014554182067513,2.1204163432121277,120,0.0,0.0,0.0,0.42133333333333334
"Beta(0.5,0.5)",100,PE-betting,Uniformly randomized,1.8614084882816921,1.6903144307434559,1.9794590650126338,120,0.0,0.0,0.0,0.42133333333333334
"Beta(0.5,0.5)",500,PE-betting,Deterministic,1.9001730162496206,1.852451298451039,1.9547715806718688,120,0.008333333333333333,0.0,0.0,0.2246
"Beta(0.5,0.5)",500,PE-betting,Uniformly randomized,1.8372572384672723,1.774539884811575,1.8872816955190457,120,0.008333333333333333,0.0,0.0,0.2246
"Beta(0.5,0.5)",1000,PE-betting,Deterministic,1.8739222636743273,1.8469956592529992,1.907669295944496,120,0.008333333333333333,0.0,0.0,0.16769166666666668
"Beta(0.5,0.5)",1000,PE-betting,Uniformly randomized,1.8258410764526967,1.7750252970850924,1.8680147949145889,120,0.016666666666666666,0.0,0.0,0.16769166666666668
"Beta(0.5,0.5)",5000,PE-betting,Deterministic,1.8448221943693626,1.8310364321783466,1.8587720943886965,120,0.025,0.0,0.0,0.028361666666666667
"Beta(0.5,0.5)",5000,PE-betting,Uniformly randomized,1.8235146762000884,1.8009802237579924,1.8414727162686022,120,0.025,0.0,0.0,0.028361666666666667
"Beta(0.5,0.5)",10000,PE-betting,Deterministic,1.8370504638490577,1.8269697111099958,1.8496350478380919,120,0.008333333333333333,0.0,0.0,0.019646666666666666
"Beta(0.5,0.5)",10000,PE-betting,Uniformly randomized,1.8215373251587152,1.8000371288508177,1.8379626981914043,120,0.008333333333333333,0.0,0.0,0.019646666666666666
"Beta(1,5)",10,PE-betting,Deterministic,2.069811533274957,1.986902475801062,2.1503854666696722,120,0.0,0.0,0.0,0.2225
"Beta(1,5)",10,PE-betting,Uniformly randomized,1.8354873767719304,1.5798521381742512,2.0447885780406616,120,0.0,0.0,0.0,0.2225
"Beta(1,5)",50,PE-betting,Deterministic,1.6134963009407837,1.5040477194639983,1.7296043955348128,120,0.0,0.0,0.0,0.5183333333333333
"Beta(1,5)",50,PE-betting,Uniformly randomized,1.294762797766308,0.995586931257945,1.5265039067450141,120,0.008333333333333333,0.0,0.0,0.5183333333333333
"Beta(1,5)",100,PE-betting,Deterministic,1.3052680927018325,1.2277908558025954,1.4192592687904835,120,0.0,0.0,0.0,0.6038333333333333
"Beta(1,5)",100,PE-betting,Uniformly randomized,1.0912305913710345,0.9394644172862171,1.2604813240468502,120,0.0,0.0,0.0,0.6038333333333333
"Beta(1,5)",500,PE-betting,Deterministic,0.887474506264791,0.8104123917240318,0.9563666985468835,120,0.0,0.0,0.0,0.8813166666666666
"Beta(1,5)",500,PE-betting,Uniformly randomized,0.8021934959932555,0.7087233529157746,0.900994963437971,120,0.0,0.0,0.0,0.8813166666666666
"Beta(1,5)",1000,PE-betting,Deterministic,0.8151474151435321,0.7688930448466299,0.8688264124520467,120,0.008333333333333333,0.0,0.0,0.9409333333333333
"Beta(1,5)",1000,PE-betting,Uniformly randomized,0.7666656478587596,0.7131366982704682,0.8217981129196007,120,0.025,0.0,0.0,0.9409333333333333
"Beta(1,5)",5000,PE-betting,Deterministic,0.7499736955431174,0.7260945396674747,0.7723707454175587,120,0.008333333333333333,0.0,0.0,0.9877466666666667
"Beta(1,5)",5000,PE-betting,Uniformly randomized,0.7300980693563115,0.706841266577641,0.7578207050075065,120,0.008333333333333333,0.0,0.0,0.9877466666666667
"Beta(1,5)",10000,PE-betting,Deterministic,0.7424315134994686,0.7279501482844353,0.7580551411956549,120,0.0,0.0,0.0,0.9940391666666667
"Beta(1,5)",10000,PE-betting,Uniformly randomized,0.7309488928876817,0.7150527276098728,0.7473876886069775,120,0.0,0.0,0.0,0.9940391666666667
"Beta(2,2)",10,PE-betting,Deterministic,2.101405051583576,1.935784121905519,2.308787233995291,120,0.0,0.0,0.0,0.06333333333333334
"Beta(2,2)",10,PE-betting,Uniformly randomized,1.7475097703021372,1.3914528021719068,1.9928143072364484,120,0.008333333333333333,0.0,0.0,0.06333333333333334
"Beta(2,2)",50,PE-betting,Deterministic,1.6233695505501389,1.545325242467695,1.7145257763510617,120,0.0,0.0,0.0,0.37633333333333335
"Beta(2,2)",50,PE-betting,Uniformly randomized,1.3958616454623891,1.1584698632837716,1.5728232879901303,120,0.016666666666666666,0.0,0.0,0.37633333333333335
"Beta(2,2)",100,PE-betting,Deterministic,1.4240762774522107,1.3501277333125474,1.5007915077731013,120,0.0,0.0,0.0,0.3416666666666667
"Beta(2,2)",100,PE-betting,Uniformly randomized,1.3095998575445265,1.2096681213006377,1.4141573030501604,120,0.0,0.0,0.0,0.3416666666666667
"Beta(2,2)",500,PE-betting,Deterministic,1.2334925693291097,1.1882682993822422,1.2743662873021402,120,0.0,0.0,0.0,0.24806666666666669
"Beta(2,2)",500,PE-betting,Uniformly randomized,1.1704921267912778,1.113419615189343,1.2300831764225262,120,0.0,0.0,0.0,0.24806666666666669
"Beta(2,2)",1000,PE-betting,Deterministic,1.2034965794242516,1.1712007599410712,1.2342956639463256,120,0.008333333333333333,0.0,0.0,0.15176666666666666
"Beta(2,2)",1000,PE-betting,Uniformly randomized,1.1654957467208118,1.1363144091335275,1.1981299938463605,120,0.008333333333333333,0.0,0.0,0.15176666666666666
"Beta(2,2)",5000,PE-betting,Deterministic,1.172772538791072,1.16084037524123,1.1874504400076455,120,0.016666666666666666,0.0,0.0,0.02877
"Beta(2,2)",5000,PE-betting,Uniformly randomized,1.154616946345905,1.134962052204859,1.174269869243724,120,0.016666666666666666,0.0,0.0,0.02877
"Beta(2,2)",10000,PE-betting,Deterministic,1.1667826313835878,1.1571518331766126,1.1766098253428936,120,0.008333333333333333,0.0,0.0,0.01398
"Beta(2,2)",10000,PE-betting,Uniformly randomized,1.1514308497620125,1.133967936038971,1.1655365582555532,120,0.008333333333333333,0.0,0.0,0.01398
"Beta(20,80)",10,PE-betting,Deterministic,2.10554783850008,2.0888688715120214,2.1222865529397854,120,0.0,0.0,0.0,0.06833333333333334
"Beta(20,80)",10,PE-betting,Uniformly randomized,1.7965213608239674,1.5878476736189588,2.032984318081479,120,0.0,0.0,0.0,0.06833333333333334
"Beta(20,80)",50,PE-betting,Deterministic,1.3582043821524548,1.3356670781028812,1.390887909314902,120,0.0,0.0,0.0,0.7933333333333333
"Beta(20,80)",50,PE-betting,Uniformly randomized,1.1161262030392813,0.8507802023807295,1.311812171262869,120,0.008333333333333333,0.0,0.008333333333333333,0.7933333333333333
"Beta(20,80)",100,PE-betting,Deterministic,1.046183103385071,1.0239116307348013,1.0797212971374393,120,0.0,0.0,0.0,0.8929166666666667
"Beta(20,80)",100,PE-betting,Uniformly randomized,0.8529017535038292,0.7136292811483145,0.9979274030774833,120,0.0,0.0,0.0,0.8929166666666667
"Beta(20,80)",500,PE-betting,Deterministic,0.5304337462540941,0.5175224059247624,0.5443714237425576,120,0.0,0.0,0.0,0.9789833333333333
"Beta(20,80)",500,PE-betting,Uniformly randomized,0.4465067507909515,0.36611628749828223,0.5116844695575147,120,0.0,0.0,0.0,0.9789833333333333
"Beta(20,80)",1000,PE-betting,Deterministic,0.4063949335220266,0.39161726507670774,0.420872209562591,120,0.0,0.0,0.0,0.9291250000000001
"Beta(20,80)",1000,PE-betting,Uniformly randomized,0.34638794586923277,0.2931690351171949,0.39641559963483525,120,0.008333333333333333,0.0,0.0,0.9291250000000001
"Beta(20,80)",5000,PE-betting,Deterministic,0.2573230132843781,0.24820092061425228,0.26478889944415285,120,0.0,0.0,0.0,0.24350833333333333
"Beta(20,80)",5000,PE-betting,Uniformly randomized,0.23711251062981786,0.21508519343515134,0.25742125495407897,120,0.0,0.0,0.0,0.24350833333333333
"Beta(20,80)",10000,PE-betting,Deterministic,0.23114099167287347,0.2216264512389898,0.23955079726874826,120,0.008333333333333333,0.0,0.0,0.250415
"Beta(20,80)",10000,PE-betting,Uniformly randomized,0.21611696419616538,0.19450392574071884,0.2337645087391138,120,0.041666666666666664,0.0,0.0,0.250415
"Beta(50,50)",10,PE-betting,Deterministic,1.8677054936051465,1.865675634354192,1.8702406009100456,120,0.0,0.0,0.0,0.0
"Beta(50,50)",10,PE-betting,Uniformly randomized,1.6650720778805135,1.4364688237466565,1.815149454186766,120,0.0,0.0,0.0,0.0
"Beta(50,50)",50,PE-betting,Deterministic,1.315756514483566,1.3119253045995287,1.3212974914003626,120,0.0,0.0,0.0,0.0005
"Beta(50,50)",50,PE-betting,Uniformly randomized,1.1001565471237216,0.8991909945426535,1.2676266039568846,120,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.0005
"Beta(50,50)",100,PE-betting,Deterministic,1.0124256915102403,1.006416792050004,1.0184402028098702,120,0.0,0.0,0.0,0.015416666666666667
"Beta(50,50)",100,PE-betting,Uniformly randomized,0.8378127921993533,0.632721004076302,0.9703444028273225,120,0.0,0.0,0.0,0.015416666666666667
"Beta(50,50)",500,PE-betting,Deterministic,0.5162397030516385,0.5095971354878347,0.5232300360653542,120,0.0,0.0,0.0,0.06728333333333333
"Beta(50,50)",500,PE-betting,Uniformly randomized,0.43326089561585196,0.3399630685287196,0.4976621497004491,120,0.008333333333333333,0.0,0.0,0.06728333333333333
