distribution,n,rep,method,calibration,lower,upper,width,sqrt_n_width,empty,noncoverage,sample_mean_excluded,poisson_round_fraction,evaluations,solvency_c,third_moment_shrinkage,skewness_epsilon
"Beta(2,2)",10,25,PE-betting,Uniformly randomized,0.211838976945728,0.7632200322113931,0.551381055265665,1.7436199933066792,False,False,False,0.5,61,0.5,10.0,0.05
"Beta(2,2)",10,26,PE-betting,Deterministic,0.2688995073549449,0.887146093416959,0.6182465860620141,1.955067367579275,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,26,PE-betting,Uniformly randomized,0.3138279835693538,0.8812205432914197,0.5673925597220659,1.794252816154842,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,27,PE-betting,Deterministic,0.1996477912180125,0.808430093806237,0.6087823025882244,1.9251386753806088,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,27,PE-betting,Uniformly randomized,0.2032007514499128,0.7902507674880326,0.5870500160381198,1.8564151511188351,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,28,PE-betting,Deterministic,0.2002957933582365,0.9241242478601636,0.7238284545019269,2.288946551465648,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,28,PE-betting,Uniformly randomized,0.2018026518635451,0.8545042187906802,0.652701566927135,2.064023583850576,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,29,PE-betting,Deterministic,0.1796425296925008,0.7953335274942219,0.6156909978017211,1.9469858879151616,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,29,PE-betting,Uniformly randomized,0.183433863800019,0.7725718985311687,0.5891380347311497,1.8630180459858172,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,30,PE-betting,Deterministic,0.1637641084380448,0.9011202822439373,0.7373561738058925,2.3317249560136064,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,30,PE-betting,Uniformly randomized,0.1663599661551416,0.8798645692877471,0.7135046031326056,2.256299666913544,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,31,PE-betting,Deterministic,0.1661091339774429,0.7938885665498674,0.6277794325724244,1.9852128751369595,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,31,PE-betting,Uniformly randomized,0.178079814184457,0.763198081869632,0.5851182676851749,1.8503064264572504,False,False,False,0.3,61,0.5,10.0,0.05
"Beta(2,2)",10,32,PE-betting,Deterministic,0.0947078126482665,0.8174172504805028,0.7227094378322363,2.285407910049729,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,32,PE-betting,Uniformly randomized,0.1461666370742023,0.7798338658176363,0.633667228743434,2.003831721436168,False,False,False,0.2,61,0.5,10.0,0.05
"Beta(2,2)",10,33,PE-betting,Deterministic,0.1786931524984538,0.808868192601949,0.6301750401034951,1.9927884513149956,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,33,PE-betting,Uniformly randomized,0.2092041890136897,0.7126806951127946,0.5034765060991049,1.5921325076568282,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,34,PE-betting,Deterministic,0.1641455101780593,0.7861209413968027,0.6219754312187433,1.9668590113166264,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,34,PE-betting,Uniformly randomized,0.2922782772220671,0.7326568993739784,0.4403786221519112,1.3925994788467209,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,35,PE-betting,Deterministic,0.1787182013504207,0.7952334783039987,0.616515276953578,1.949592487462821,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,35,PE-betting,Uniformly randomized,0.287286773789674,0.7627693791873753,0.4754826053977012,1.5036080208478078,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,36,PE-betting,Deterministic,0.1295253685675561,0.8380566635169089,0.7085312949493527,2.240572685548511,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,36,PE-betting,Uniformly randomized,0.3181617748923599,0.7383635560981929,0.4202017812058329,1.3287947054701668,False,False,False,0.0,61,0.5,10.0,0.05
"Beta(2,2)",10,37,PE-betting,Deterministic,0.1899064392782747,0.8461967273615301,0.6562902880832553,2.075372116591148,False,False,False,0.0,61,0.5,10.0,0.05
