distribution,true_mean,true_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333333333333333,1,5000,0.5,aGRAPA,0.49191684105166816,0.522890813966064,0.030973972914395798,1.9355056915717013
"Uniform(0,1)",0.5,0.08333333333333333,1,10000,1.0,aGRAPA,0.48982492629557495,0.5123515453848977,0.02252661908932274,1.9907125382517754
"Uniform(0,1)",0.5,0.08333333333333333,1,10,0.001,PRECiSE-A-CO96,0.09349798821107969,0.8745721654322854,0.7810741772212058,2.18275411856222
"Uniform(0,1)",0.5,0.08333333333333333,1,20,0.002,PRECiSE-A-CO96,0.21805534808540428,0.8464858347460065,0.6284304866606022,2.483617891230486
"Uniform(0,1)",0.5,0.08333333333333333,1,40,0.004,PRECiSE-A-CO96,0.32585863732828835,0.7504112681162698,0.42455263078798144,2.3728706707364253
"Uniform(0,1)",0.5,0.08333333333333333,1,75,0.0075,PRECiSE-A-CO96,0.3361044223887285,0.630060810120028,0.2939563877312995,2.2497075715420536
"Uniform(0,1)",0.5,0.08333333333333333,1,125,0.0125,PRECiSE-A-CO96,0.36147178718067385,0.581028271331261,0.21955648415058715,2.169271000320514
"Uniform(0,1)",0.5,0.08333333333333333,1,200,0.02,PRECiSE-A-CO96,0.40025529568719387,0.5684012924416897,0.16814599675449582,2.101425830214147
"Uniform(0,1)",0.5,0.08333333333333333,1,350,0.035,PRECiSE-A-CO96,0.42776414553510544,0.5551156508598534,0.12735150532474793,2.1054776773239547
"Uniform(0,1)",0.5,0.08333333333333333,1,500,0.05,PRECiSE-A-CO96,0.44554290668703744,0.5507226438238981,0.10517973713686068,2.0784023252607393
"Uniform(0,1)",0.5,0.08333333333333333,1,1000,0.1,PRECiSE-A-CO96,0.4692929615266128,0.5418700534244354,0.07257709189782258,2.028206166241953
"Uniform(0,1)",0.5,0.08333333333333333,1,2000,0.2,PRECiSE-A-CO96,0.4832621589416912,0.5344906283261752,0.051228469384484,2.0245985165320612
"Uniform(0,1)",0.5,0.08333333333333333,1,5000,0.5,PRECiSE-A-CO96,0.49087088132537854,0.5241160835681664,0.033245202242787875,2.077430568439025
"Uniform(0,1)",0.5,0.08333333333333333,1,10000,1.0,PRECiSE-A-CO96,0.4891876587014734,0.5130358684147684,0.023848209713295043,2.1075035673514178
"Uniform(0,1)",0.5,0.08333333333333333,1,10,0.001,Hedged-CS,0.19443672895431519,0.7942708730697632,0.599834144115448,1.6762690237439997
"Uniform(0,1)",0.5,0.08333333333333333,1,20,0.002,Hedged-CS,0.3431030511856079,0.7307301163673401,0.3876270651817322,1.5319395456548766
"Uniform(0,1)",0.5,0.08333333333333333,1,40,0.004,Hedged-CS,0.42351680994033813,0.6754032373428345,0.25188642740249634,1.4078205447240475
"Uniform(0,1)",0.5,0.08333333333333333,1,75,0.0075,Hedged-CS,0.42351680994033813,0.602105975151062,0.17858916521072388,1.3667789302717734
"Uniform(0,1)",0.5,0.08333333333333333,1,125,0.0125,Hedged-CS,0.42351680994033813,0.5671796202659607,0.14366281032562256,1.4194232043275599
"Uniform(0,1)",0.5,0.08333333333333333,1,200,0.02,Hedged-CS,0.42973363399505615,0.5553534626960754,0.1256198287010193,1.5699496741800378
"Uniform(0,1)",0.5,0.08333333333333333,1,350,0.035,Hedged-CS,0.4455360770225525,0.5453749299049377,0.09983885288238525,1.6506163436188546
"Uniform(0,1)",0.5,0.08333333333333333,1,500,0.05,Hedged-CS,0.454281210899353,0.5389031767845154,0.08462196588516235,1.6721708520244916
"Uniform(0,1)",0.5,0.08333333333333333,1,1000,0.1,Hedged-CS,0.46951746940612793,0.5325962901115417,0.06307882070541382,1.7627718301817101
"Uniform(0,1)",0.5,0.08333333333333333,1,2000,0.2,Hedged-CS,0.4807455539703369,0.5287913680076599,0.048045814037323,1.8988169077524981
"Uniform(0,1)",0.5,0.08333333333333333,1,5000,0.5,Hedged-CS,0.4893403649330139,0.5218991637229919,0.03255879878997803,2.0345384992395177
"Uniform(0,1)",0.5,0.08333333333333333,1,10000,1.0,Hedged-CS,0.4901174306869507,0.515017569065094,0.02490013837814331,2.2004641476389613
"Uniform(0,1)",0.5,0.08333333333333333,2,10,0.001,Stitched GE,0.058325350284576416,0.6946232318878174,0.636297881603241,1.7781689143060082
"Uniform(0,1)",0.5,0.08333333333333333,2,20,0.002,Stitched GE,0.2091568112373352,0.648561954498291,0.4394051432609558,1.736571503875803
"Uniform(0,1)",0.5,0.08333333333333333,2,40,0.004,Stitched GE,0.33735501766204834,0.6375856995582581,0.3002306818962097,1.6780218231234687
"Uniform(0,1)",0.5,0.08333333333333333,2,75,0.0075,Stitched GE,0.3805497884750366,0.6084669828414917,0.22791719436645508,1.7442962944541596
"Uniform(0,1)",0.5,0.08333333333333333,2,125,0.0125,Stitched GE,0.42363405227661133,0.5922151207923889,0.1685810685157776,1.6656216032476672
"Uniform(0,1)",0.5,0.08333333333333333,2,200,0.02,Stitched GE,0.45116740465164185,0.5828294157981873,0.1316620111465454,1.6454626123823894
"Uniform(0,1)",0.5,0.08333333333333333,2,350,0.035,Stitched GE,0.46818917989730835,0.5667518377304077,0.09856265783309937,1.629517258992168
"Uniform(0,1)",0.5,0.08333333333333333,2,500,0.05,Stitched GE,0.46633148193359375,0.5410382151603699,0.07470673322677612,1.476241073403006
"Uniform(0,1)",0.5,0.08333333333333333,2,1000,0.1,Stitched GE,0.470320463180542,0.5289132595062256,0.058592796325683594,1.6374074476890914
"Uniform(0,1)",0.5,0.08333333333333333,2,2000,0.2,Stitched GE,0.4774242043495178,0.5178168416023254,0.04039263725280762,1.596355980247597
"Uniform(0,1)",0.5,0.08333333333333333,2,5000,0.5,Stitched GE,0.4858413338661194,0.5111529231071472,0.025311589241027832,1.5816739161660773
"Uniform(0,1)",0.5,0.08333333333333333,2,10000,1.0,Stitched GE,0.49378716945648193,0.5109292268753052,0.017142057418823242,1.5148704073066144
"Uniform(0,1)",0.5,0.08333333333333333,2,10,0.001,aGRAPA,0.10822140909259886,0.667417324914909,0.5591959158223101,1.562703292389912
"Uniform(0,1)",0.5,0.08333333333333333,2,20,0.002,aGRAPA,0.24069647407489442,0.6089748529592492,0.36827837888435483,1.455471671355319
"Uniform(0,1)",0.5,0.08333333333333333,2,40,0.004,aGRAPA,0.3476217724710318,0.6163823890285749,0.2687606165575431,1.5021322169050753
