distribution,replication,n,component_count,topology_uncertain
"Uniform(0,1)",25,20,1,0
"Uniform(0,1)",25,40,1,0
"Uniform(0,1)",25,75,1,0
"Uniform(0,1)",25,125,1,0
"Uniform(0,1)",25,200,1,0
"Uniform(0,1)",25,350,1,0
"Uniform(0,1)",25,500,1,0
"Uniform(0,1)",25,1000,1,0
"Uniform(0,1)",25,2000,1,0
"Uniform(0,1)",25,5000,1,0
"Uniform(0,1)",25,10000,1,0
"Uniform(0,1)",26,10,1,0
"Uniform(0,1)",26,20,1,0
"Uniform(0,1)",26,40,1,0
"Uniform(0,1)",26,75,1,0
"Uniform(0,1)",26,125,1,0
"Uniform(0,1)",26,200,1,0
"Uniform(0,1)",26,350,1,0
"Uniform(0,1)",26,500,1,0
"Uniform(0,1)",26,1000,1,0
"Uniform(0,1)",26,2000,1,0
"Uniform(0,1)",26,5000,1,0
"Uniform(0,1)",26,10000,1,0
"Uniform(0,1)",27,10,1,0
"Uniform(0,1)",27,20,1,0
"Uniform(0,1)",27,40,1,0
"Uniform(0,1)",27,75,1,0
"Uniform(0,1)",27,125,1,0
"Uniform(0,1)",27,200,1,0
"Uniform(0,1)",27,350,1,0
"Uniform(0,1)",27,500,1,0
"Uniform(0,1)",27,1000,1,0
"Uniform(0,1)",27,2000,1,0
"Uniform(0,1)",27,5000,1,0
"Uniform(0,1)",27,10000,1,0
"Uniform(0,1)",28,10,1,0
"Uniform(0,1)",28,20,1,0
"Uniform(0,1)",28,40,1,0
"Uniform(0,1)",28,75,1,0
"Uniform(0,1)",28,125,1,0
"Uniform(0,1)",28,200,1,0
"Uniform(0,1)",28,350,1,0
"Uniform(0,1)",28,500,1,0
"Uniform(0,1)",28,1000,1,0
"Uniform(0,1)",28,2000,1,0
"Uniform(0,1)",28,5000,1,0
"Uniform(0,1)",28,10000,1,0
"Uniform(0,1)",29,10,1,0
"Uniform(0,1)",29,20,1,0
"Uniform(0,1)",29,40,1,0
"Uniform(0,1)",29,75,1,0
"Uniform(0,1)",29,125,1,0
"Uniform(0,1)",29,200,1,0
"Uniform(0,1)",29,350,1,0
"Uniform(0,1)",29,500,1,0
"Uniform(0,1)",29,1000,1,0
"Uniform(0,1)",29,2000,1,0
"Uniform(0,1)",29,5000,1,0
"Uniform(0,1)",29,10000,1,0
"Uniform(0,1)",30,10,1,0
"Uniform(0,1)",30,20,1,0
"Uniform(0,1)",30,40,1,0
"Uniform(0,1)",30,75,1,0
"Uniform(0,1)",30,125,1,0
"Uniform(0,1)",30,200,1,0
"Uniform(0,1)",30,350,1,0
"Uniform(0,1)",30,500,1,0
"Uniform(0,1)",30,1000,1,0
"Uniform(0,1)",30,2000,1,0
"Uniform(0,1)",30,5000,1,0
"Uniform(0,1)",30,10000,1,0
"Uniform(0,1)",31,10,1,0
"Uniform(0,1)",31,20,1,0
"Uniform(0,1)",31,40,1,0
"Uniform(0,1)",31,75,1,0
"Uniform(0,1)",31,125,1,0
