distribution,replication,method,simultaneously_covered
Bernoulli(0.1),7,Stitched GE,1
Bernoulli(0.1),7,aGRAPA,1
Bernoulli(0.1),7,PRECiSE-A-CO96,1
Bernoulli(0.1),7,Hedged-CS,1
Bernoulli(0.1),8,Stitched GE,1
Bernoulli(0.1),8,aGRAPA,1
Bernoulli(0.1),8,PRECiSE-A-CO96,1
Bernoulli(0.1),8,Hedged-CS,1
Bernoulli(0.1),9,Stitched GE,1
Bernoulli(0.1),9,aGRAPA,1
Bernoulli(0.1),9,PRECiSE-A-CO96,1
Bernoulli(0.1),9,Hedged-CS,1
Bernoulli(0.1),10,Stitched GE,1
Bernoulli(0.1),10,aGRAPA,0
Bernoulli(0.1),10,PRECiSE-A-CO96,1
Bernoulli(0.1),10,Hedged-CS,1
Bernoulli(0.1),11,Stitched GE,1
Bernoulli(0.1),11,aGRAPA,1
Bernoulli(0.1),11,PRECiSE-A-CO96,1
Bernoulli(0.1),11,Hedged-CS,1
Bernoulli(0.1),12,Stitched GE,1
Bernoulli(0.1),12,aGRAPA,1
Bernoulli(0.1),12,PRECiSE-A-CO96,1
Bernoulli(0.1),12,Hedged-CS,1
Bernoulli(0.1),13,Stitched GE,1
Bernoulli(0.1),13,aGRAPA,1
Bernoulli(0.1),13,PRECiSE-A-CO96,1
Bernoulli(0.1),13,Hedged-CS,1
Bernoulli(0.1),14,Stitched GE,1
Bernoulli(0.1),14,aGRAPA,1
Bernoulli(0.1),14,PRECiSE-A-CO96,1
Bernoulli(0.1),14,Hedged-CS,1
Bernoulli(0.1),15,Stitched GE,1
Bernoulli(0.1),15,aGRAPA,1
Bernoulli(0.1),15,PRECiSE-A-CO96,1
Bernoulli(0.1),15,Hedged-CS,1
Bernoulli(0.1),16,Stitched GE,1
Bernoulli(0.1),16,aGRAPA,1
Bernoulli(0.1),16,PRECiSE-A-CO96,1
Bernoulli(0.1),16,Hedged-CS,1
Bernoulli(0.1),17,Stitched GE,1
Bernoulli(0.1),17,aGRAPA,1
Bernoulli(0.1),17,PRECiSE-A-CO96,1
Bernoulli(0.1),17,Hedged-CS,1
Bernoulli(0.1),18,Stitched GE,1
Bernoulli(0.1),18,aGRAPA,1
Bernoulli(0.1),18,PRECiSE-A-CO96,1
Bernoulli(0.1),18,Hedged-CS,1
Bernoulli(0.1),19,Stitched GE,1
Bernoulli(0.1),19,aGRAPA,1
Bernoulli(0.1),19,PRECiSE-A-CO96,1
Bernoulli(0.1),19,Hedged-CS,1
Bernoulli(0.1),20,Stitched GE,1
Bernoulli(0.1),20,aGRAPA,1
Bernoulli(0.1),20,PRECiSE-A-CO96,1
Bernoulli(0.1),20,Hedged-CS,1
Bernoulli(0.1),21,Stitched GE,1
Bernoulli(0.1),21,aGRAPA,1
Bernoulli(0.1),21,PRECiSE-A-CO96,1
Bernoulli(0.1),21,Hedged-CS,1
Bernoulli(0.1),22,Stitched GE,0
Bernoulli(0.1),22,aGRAPA,0
