distribution,n,rep,method,lower,upper,width,sqrt_n_width,backend
"Beta(20,80)",1000,60,Randomized Gaffke,0.1967926669972163,0.20555082932788094,0.008758162330664648,0.2769574108238904,bspline-exact+product-orthant
"Beta(20,80)",1000,61,Gaffke,0.19417177331847635,0.20290235481051402,0.008730581492037676,0.27608522812550257,bspline-exact
"Beta(20,80)",1000,61,Randomized Gaffke,0.19417177331847635,0.202902354810514,0.008730581492037648,0.2760852281255017,bspline-exact+product-orthant
"Beta(20,80)",1000,62,Gaffke,0.19624889594922107,0.2050043325047789,0.008755436555557827,0.276871214246621,bspline-exact
"Beta(20,80)",1000,62,Randomized Gaffke,0.19624889594922107,0.2050043325047789,0.008755436555557827,0.276871214246621,bspline-exact+product-orthant
"Beta(20,80)",1000,63,Gaffke,0.19688053784328607,0.20554534539085503,0.008664807547568959,0.2740052733733568,bspline-exact
"Beta(20,80)",1000,63,Randomized Gaffke,0.19688053784328607,0.205545345390855,0.008664807547568931,0.27400527337335595,bspline-exact+product-orthant
"Beta(20,80)",1000,64,Gaffke,0.19782375356429918,0.20657677065394262,0.008753017089643433,0.27679470401651474,bspline-exact
"Beta(20,80)",1000,64,Randomized Gaffke,0.19782375356429918,0.20657677065394264,0.008753017089643461,0.2767947040165156,bspline-exact+product-orthant
"Beta(20,80)",1000,65,Gaffke,0.19972656191337027,0.20843865776585102,0.008712095852480756,0.27550066087545483,bspline-exact
"Beta(20,80)",1000,65,Randomized Gaffke,0.19972656191337027,0.20843865776585102,0.008712095852480756,0.27550066087545483,bspline-exact+product-orthant
"Beta(20,80)",1000,66,Gaffke,0.19463040044753976,0.20328074701487567,0.008650346567335904,0.27354797702600553,bspline-exact
"Beta(20,80)",1000,66,Randomized Gaffke,0.19463040044753976,0.20328074701487564,0.008650346567335876,0.27354797702600464,bspline-exact+product-orthant
"Beta(20,80)",1000,67,Gaffke,0.19611967545649137,0.20486070180601504,0.008741026349523673,0.2764155235204187,bspline-exact
"Beta(20,80)",1000,67,Randomized Gaffke,0.19611967545649137,0.204860701806015,0.008741026349523645,0.2764155235204178,bspline-exact+product-orthant
"Beta(20,80)",1000,68,Gaffke,0.19340348150774125,0.20204755226678142,0.008644070759040168,0.27334951854227446,bspline-exact
"Beta(20,80)",1000,68,Randomized Gaffke,0.19340348150774125,0.2020475522667814,0.00864407075904014,0.2733495185422736,bspline-exact+product-orthant
"Beta(20,80)",1000,69,Gaffke,0.19595647211726192,0.20443626637785628,0.008479794260594364,0.268154639531016,bspline-exact
"Beta(20,80)",1000,69,Randomized Gaffke,0.19595647211726192,0.20443626637785628,0.008479794260594364,0.268154639531016,bspline-exact+product-orthant
"Beta(20,80)",1000,70,Gaffke,0.19731656995247257,0.20597511314553588,0.008658543193063306,0.2738071770902708,bspline-exact
"Beta(20,80)",1000,70,Randomized Gaffke,0.19731656995247257,0.20597511314553585,0.008658543193063278,0.2738071770902699,bspline-exact+product-orthant
"Beta(20,80)",1000,71,Gaffke,0.19896670349666698,0.20755967842704473,0.00859297493037775,0.27173372656720496,bspline-exact
"Beta(20,80)",1000,71,Randomized Gaffke,0.19896670349666698,0.2075596784270447,0.008592974930377723,0.27173372656720407,bspline-exact+product-orthant
"Beta(20,80)",1000,72,Gaffke,0.19501996733750188,0.20370641453276123,0.00868644719525935,0.2746895791180092,bspline-exact
"Beta(20,80)",1000,72,Randomized Gaffke,0.19501996733750188,0.20370641453276117,0.008686447195259295,0.27468957911800745,bspline-exact+product-orthant
"Beta(20,80)",1000,73,Gaffke,0.1974433713620957,0.20617338224873008,0.008730010886634387,0.2760671839983067,bspline-exact
"Beta(20,80)",1000,73,Randomized Gaffke,0.1974433713620957,0.20617338224873005,0.00873001088663436,0.2760671839983058,bspline-exact+product-orthant
"Beta(20,80)",1000,74,Gaffke,0.19597929297635827,0.2046279471265228,0.008648654150164525,0.2734944580958782,bspline-exact
"Beta(20,80)",1000,74,Randomized Gaffke,0.19597929297635827,0.20462794712652277,0.008648654150164498,0.2734944580958773,bspline-exact+product-orthant
"Beta(20,80)",1000,75,Gaffke,0.1980907829469346,0.2068679456430765,0.0087771626961419,0.2775582551367279,bspline-exact
"Beta(20,80)",1000,75,Randomized Gaffke,0.1980907829469346,0.20686794564307653,0.008777162696141927,0.27755825513672877,bspline-exact+product-orthant
"Beta(20,80)",1000,76,Gaffke,0.19617601042655566,0.20501020179653137,0.008834191369975708,0.2793616601492647,bspline-exact
"Beta(20,80)",1000,76,Randomized Gaffke,0.19617601042655566,0.2050102017965314,0.008834191369975736,0.2793616601492656,bspline-exact+product-orthant
"Beta(20,80)",1000,77,Gaffke,0.19831648749516767,0.20702767540480516,0.008711187909637486,0.27547194920175505,bspline-exact
"Beta(20,80)",1000,77,Randomized Gaffke,0.19831648749516767,0.20702767540480516,0.008711187909637486,0.27547194920175505,bspline-exact+product-orthant
"Beta(20,80)",1000,78,Gaffke,0.19743327328004687,0.2059673807613596,0.008534107481312725,0.2698721743763106,bspline-exact
"Beta(20,80)",1000,78,Randomized Gaffke,0.19743327328004687,0.20596738076135956,0.008534107481312697,0.2698721743763098,bspline-exact+product-orthant
"Beta(20,80)",1000,79,Gaffke,0.19567654762115885,0.20442847919361562,0.008751931572456767,0.2767603769490235,bspline-exact
"Beta(20,80)",1000,79,Randomized Gaffke,0.19567654762115885,0.20442847919361562,0.008751931572456767,0.2767603769490235,bspline-exact+product-orthant
"Beta(20,80)",1000,80,Gaffke,0.19659723243593785,0.205348158547167,0.008750926111229157,0.27672858147324114,bspline-exact
"Beta(20,80)",1000,80,Randomized Gaffke,0.19659723243593785,0.20534815854716704,0.008750926111229185,0.27672858147324203,bspline-exact+product-orthant
"Beta(20,80)",1000,81,Gaffke,0.1946346393981339,0.2033239204809289,0.008689281082794986,0.2747791945104629,bspline-exact
"Beta(20,80)",1000,81,Randomized Gaffke,0.1946346393981339,0.20332392048092895,0.008689281082795042,0.2747791945104647,bspline-exact+product-orthant
"Beta(20,80)",1000,82,Gaffke,0.19570920625603572,0.20436266396752753,0.008653457711491813,0.2736463600426235,bspline-exact
"Beta(20,80)",1000,82,Randomized Gaffke,0.19570920625603572,0.20436266396752756,0.008653457711491841,0.2736463600426244,bspline-exact+product-orthant
"Beta(20,80)",1000,83,Gaffke,0.19644399765825193,0.20516746004622646,0.008723462387974529,0.27586010228810953,bspline-exact
"Beta(20,80)",1000,83,Randomized Gaffke,0.19644399765825193,0.20516746004622644,0.008723462387974501,0.2758601022881087,bspline-exact+product-orthant
"Beta(20,80)",1000,84,Gaffke,0.19635085676922145,0.20516371407172115,0.0088128573024997,0.27868701769946563,bspline-exact
"Beta(20,80)",1000,84,Randomized Gaffke,0.19635085676922145,0.20516371407172118,0.008812857302499727,0.2786870176994665,bspline-exact+product-orthant
"Beta(20,80)",1000,85,Gaffke,0.19613637856189184,0.20473022295784957,0.008593844395957728,0.2717612214830034,bspline-exact
"Beta(20,80)",1000,85,Randomized Gaffke,0.19613637856189184,0.2047302229578496,0.008593844395957756,0.2717612214830043,bspline-exact+product-orthant
"Beta(20,80)",1000,86,Gaffke,0.19581788127653185,0.2045649730895304,0.008747091812998542,0.2766073303168702,bspline-exact
"Beta(20,80)",1000,86,Randomized Gaffke,0.19581788127653185,0.20456497308953037,0.008747091812998514,0.2766073303168693,bspline-exact+product-orthant
"Beta(20,80)",1000,87,Gaffke,0.19256329705026437,0.2013956696014575,0.008832372551193124,0.2793041440492241,bspline-exact
"Beta(20,80)",1000,87,Randomized Gaffke,0.19256329705026437,0.2013956696014575,0.008832372551193124,0.2793041440492241,bspline-exact+product-orthant
"Beta(20,80)",1000,88,Gaffke,0.1952600272583891,0.20387590496229188,0.008615877703902791,0.2724579758579463,bspline-exact
"Beta(20,80)",1000,88,Randomized Gaffke,0.1952600272583891,0.2038759049622919,0.008615877703902819,0.2724579758579471,bspline-exact+product-orthant
"Beta(20,80)",1000,89,Gaffke,0.19677738483377336,0.20548484272945283,0.008707457895679477,0.27535399580363973,bspline-exact
"Beta(20,80)",1000,89,Randomized Gaffke,0.19677738483377336,0.2054848427294529,0.008707457895679532,0.2753539958036415,bspline-exact+product-orthant
"Beta(20,80)",1000,90,Gaffke,0.19774412777228884,0.20646150444817452,0.00871737667588568,0.2756676551742617,bspline-exact
"Beta(20,80)",1000,90,Randomized Gaffke,0.19774412777228884,0.20646150444817457,0.008717376675885735,0.27566765517426345,bspline-exact+product-orthant
"Beta(20,80)",1000,91,Gaffke,0.19555428779820438,0.2045039032010172,0.008949615402812805,0.28301168855413766,bspline-exact
"Beta(20,80)",1000,91,Randomized Gaffke,0.19555428779820438,0.2045039032010172,0.008949615402812805,0.28301168855413766,bspline-exact+product-orthant
"Beta(20,80)",1000,92,Gaffke,0.1983664452042326,0.2072134477086622,0.008847002504429602,0.27976678379211434,bspline-exact
"Beta(20,80)",1000,92,Randomized Gaffke,0.1983664452042326,0.20721344770866224,0.00884700250442963,0.2797667837921152,bspline-exact+product-orthant
"Beta(20,80)",1000,93,Gaffke,0.1953370398187244,0.2041692056934431,0.00883216587471869,0.27929760836524425,bspline-exact
"Beta(20,80)",1000,93,Randomized Gaffke,0.1953370398187244,0.2041692056934431,0.00883216587471869,0.27929760836524425,bspline-exact+product-orthant
"Beta(20,80)",1000,94,Gaffke,0.19609444061128198,0.2047619728459725,0.008667532234690523,0.2740914355455115,bspline-exact
"Beta(20,80)",1000,94,Randomized Gaffke,0.19609444061128198,0.20476197284597253,0.00866753223469055,0.27409143554551235,bspline-exact+product-orthant
"Beta(20,80)",1000,95,Gaffke,0.1967050325396014,0.20537188476460658,0.008666852225005184,0.274069931751145,bspline-exact
"Beta(20,80)",1000,95,Randomized Gaffke,0.1967050325396014,0.20537188476460655,0.008666852225005156,0.2740699317511442,bspline-exact+product-orthant
"Beta(20,80)",1000,96,Gaffke,0.1956894009375743,0.20452998122547034,0.008840580287896027,0.27956369547338544,bspline-exact
"Beta(20,80)",1000,96,Randomized Gaffke,0.1956894009375743,0.2045299812254704,0.008840580287896083,0.2795636954733872,bspline-exact+product-orthant
"Beta(20,80)",1000,97,Gaffke,0.19750407054837302,0.206231704939813,0.008727634391439976,0.2759920326216788,bspline-exact
"Beta(20,80)",1000,97,Randomized Gaffke,0.19750407054837302,0.20623170493981302,0.008727634391440003,0.2759920326216797,bspline-exact+product-orthant
"Beta(20,80)",1000,98,Gaffke,0.19735774054154442,0.20618678269140753,0.008829042149863103,0.2791988275119709,bspline-exact
"Beta(20,80)",1000,98,Randomized Gaffke,0.19735774054154442,0.20618678269140756,0.008829042149863131,0.2791988275119718,bspline-exact+product-orthant
"Beta(20,80)",1000,99,Gaffke,0.19398597988965618,0.20261063425184989,0.008624654362193701,0.272735518162389,bspline-exact
"Beta(20,80)",1000,99,Randomized Gaffke,0.19398597988965618,0.20261063425184989,0.008624654362193701,0.272735518162389,bspline-exact+product-orthant
"Beta(20,80)",1000,100,Gaffke,0.19790828996262663,0.20668008380148262,0.008771793838855985,0.27738847696216906,bspline-exact
"Beta(20,80)",1000,100,Randomized Gaffke,0.19790828996262663,0.20668008380148262,0.008771793838855985,0.27738847696216906,bspline-exact+product-orthant
"Beta(20,80)",1000,101,Gaffke,0.19580439380187967,0.20452600065106602,0.008721606849186353,0.2758014249995353,bspline-exact
"Beta(20,80)",1000,101,Randomized Gaffke,0.19580439380187967,0.20452600065106608,0.008721606849186408,0.2758014249995371,bspline-exact+product-orthant
"Beta(20,80)",1000,102,Gaffke,0.1976699780818569,0.20650209888334392,0.008832120801487015,0.27929618302450826,bspline-exact
"Beta(20,80)",1000,102,Randomized Gaffke,0.1976699780818569,0.20650209888334392,0.008832120801487015,0.27929618302450826,bspline-exact+product-orthant
"Beta(20,80)",1000,103,Gaffke,0.19674570202404684,0.20534730732947507,0.008601605305428223,0.2720066429894148,bspline-exact
"Beta(20,80)",1000,103,Randomized Gaffke,0.19674570202404684,0.20534730732947504,0.008601605305428195,0.2720066429894139,bspline-exact+product-orthant
"Beta(20,80)",1000,104,Gaffke,0.19829994372551746,0.2068426270702811,0.00854268334476363,0.27014336699038516,bspline-exact
"Beta(20,80)",1000,104,Randomized Gaffke,0.19829994372551746,0.20684262707028112,0.008542683344763657,0.27014336699038605,bspline-exact+product-orthant
"Beta(20,80)",1000,105,Gaffke,0.19646898252562592,0.20513493846915512,0.008665955943529202,0.2740415888422578,bspline-exact
"Beta(20,80)",1000,105,Randomized Gaffke,0.19646898252562592,0.2051349384691551,0.008665955943529174,0.274041588842257,bspline-exact+product-orthant
"Beta(20,80)",1000,106,Gaffke,0.19366440670192497,0.20235077881356495,0.008686372111639973,0.2746872047654872,bspline-exact
"Beta(20,80)",1000,106,Randomized Gaffke,0.19366440670192497,0.202350778813565,0.008686372111640028,0.2746872047654889,bspline-exact+product-orthant
"Beta(20,80)",1000,107,Gaffke,0.19748085471246202,0.20626835612489217,0.008787501412430149,0.27788519405225937,bspline-exact
"Beta(20,80)",1000,107,Randomized Gaffke,0.19748085471246202,0.20626835612489214,0.008787501412430121,0.27788519405225853,bspline-exact+product-orthant
"Beta(20,80)",1000,108,Gaffke,0.19615702151568215,0.20475068950206693,0.008593667986384779,0.27175564292248766,bspline-exact
"Beta(20,80)",1000,108,Randomized Gaffke,0.19615702151568215,0.20475068950206698,0.008593667986384834,0.2717556429224894,bspline-exact+product-orthant
"Beta(20,80)",1000,109,Gaffke,0.19627350818506017,0.2049255531780151,0.008652044992954938,0.27360168595993084,bspline-exact
"Beta(20,80)",1000,109,Randomized Gaffke,0.19627350818506017,0.20492555317801509,0.00865204499295491,0.27360168595992995,bspline-exact+product-orthant
"Beta(20,80)",1000,110,Gaffke,0.19828500819317338,0.20711519746341994,0.008830189270246563,0.2792351026435923,bspline-exact
"Beta(20,80)",1000,110,Randomized Gaffke,0.19828500819317338,0.20711519746342,0.008830189270246619,0.2792351026435941,bspline-exact+product-orthant
"Beta(20,80)",1000,111,Gaffke,0.19510527049019943,0.20384227049067233,0.008737000000472894,0.27628819918386555,bspline-exact
"Beta(20,80)",1000,111,Randomized Gaffke,0.19510527049019943,0.20384227049067238,0.00873700000047295,0.27628819918386727,bspline-exact+product-orthant
"Beta(20,80)",1000,112,Gaffke,0.19478301995569933,0.2032079667317757,0.008424946776076386,0.26642020978093967,bspline-exact
"Beta(20,80)",1000,112,Randomized Gaffke,0.19478301995569933,0.20320796673177566,0.00842494677607633,0.2664202097809379,bspline-exact+product-orthant
"Beta(20,80)",1000,113,Gaffke,0.19691527875455847,0.20575000891063056,0.008834730156072085,0.2793786980616265,bspline-exact
"Beta(20,80)",1000,113,Randomized Gaffke,0.19691527875455847,0.20575000891063056,0.008834730156072085,0.2793786980616265,bspline-exact+product-orthant
"Beta(20,80)",1000,114,Gaffke,0.1976851486488794,0.20636706035105393,0.008681911702174527,0.27454615423340933,bspline-exact
