source,distribution,n,method,calibration,solvency_c,rejections,replications,noncoverage,wilson_lower,wilson_upper
betting,Bernoulli(0.5),10000,Efficient betting,Uniformly randomized,1.0,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.5),10000,Product betting,Deterministic,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.5),10000,Product betting,Uniformly randomized,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.5),10000,STaR betting,Deterministic,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.5),10000,STaR betting,Deterministic,1.0,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.5),10000,STaR betting,Uniformly randomized,0.5,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.5),10000,STaR betting,Uniformly randomized,1.0,0,60,0.0,0.0,0.06017185214208986
betting,Bernoulli(0.5),50000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,Product betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,Product betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,STaR betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,STaR betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,STaR betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),50000,STaR betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,Product betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,Product betting,Uniformly randomized,0.5,1,30,0.03333333333333333,0.005908590381612455,0.16670390991409173
betting,Bernoulli(0.5),100000,STaR betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,STaR betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,STaR betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),100000,STaR betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,Product betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,Product betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,STaR betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,STaR betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,STaR betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),500000,STaR betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),1000000,Efficient betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),1000000,Efficient betting,Deterministic,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),1000000,Efficient betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),1000000,Efficient betting,Uniformly randomized,1.0,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),1000000,Product betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),1000000,Product betting,Uniformly randomized,0.5,0,30,0.0,0.0,0.11351339317396876
betting,Bernoulli(0.5),1000000,STaR betting,Deterministic,0.5,0,30,0.0,0.0,0.11351339317396876
