distribution,n,method,calibration,replications,mean_width_c1,mean_width_c05,mean_paired_difference,mean_relative_change,fraction_c05_narrower,fraction_c05_wider,relative_change_of_means
"Beta(0.5,0.5)",50000,STaR betting,Uniformly randomized,30,0.00832688678104268,0.008327055888136314,1.691070936338246e-07,2.0497925473976033e-05,0.2,0.6,2.030856166057582e-05
"Beta(0.5,0.5)",100000,Efficient betting,Deterministic,30,0.005773062022431008,0.0057760482169158045,2.9861944847960528e-06,0.0005171944415967022,0.0,0.9666666666666667,0.0005172635376500256
"Beta(0.5,0.5)",100000,Efficient betting,Uniformly randomized,30,0.005761606315424114,0.005763052876953203,1.4465615290892853e-06,0.00025076664293391946,0.23333333333333334,0.7666666666666667,0.00025106913764938454
"Beta(0.5,0.5)",100000,STaR betting,Deterministic,30,0.005869097115336106,0.005869336026589802,2.389112536952768e-07,4.009221843521704e-05,0.0,0.7,4.070664516198086e-05
"Beta(0.5,0.5)",100000,STaR betting,Uniformly randomized,30,0.0058690584156176635,0.005869235876795013,1.774611773493658e-07,2.9643151405171302e-05,0.13333333333333333,0.6,3.0236737272426595e-05
"Beta(0.5,0.5)",500000,Efficient betting,Deterministic,30,0.002578121645175637,0.002578767923522692,6.46278347055107e-07,0.00025070987654050023,0.03333333333333333,0.9666666666666667,0.000250677988086645
"Beta(0.5,0.5)",500000,Efficient betting,Uniformly randomized,30,0.0025755169060512673,0.002574975986454418,-5.409195968493948e-07,-0.00021033535822909306,0.43333333333333335,0.5666666666666667,-0.0002100237026511076
"Beta(0.5,0.5)",500000,STaR betting,Deterministic,30,0.0026291983466843398,0.002629217675164769,1.9328480429144555e-08,7.343308845908502e-06,0.0,0.26666666666666666,7.351472913086354e-06
"Beta(0.5,0.5)",500000,STaR betting,Uniformly randomized,30,0.002629181056257903,0.0026291556252384662,-2.543101943660216e-08,-9.497929077569485e-06,0.16666666666666666,0.16666666666666666,-9.672601046673002e-06
"Beta(0.5,0.5)",1000000,Efficient betting,Deterministic,30,0.0018227970569989205,0.0018231434708442962,3.4641384537570375e-07,0.00019005604733684695,0.0,0.9333333333333333,0.00019004520774568157
"Beta(0.5,0.5)",1000000,Efficient betting,Uniformly randomized,30,0.0018215736620665335,0.0018215809373680002,7.275301466824758e-09,3.964211618982342e-06,0.36666666666666664,0.6333333333333333,3.993965008497469e-06
"Beta(0.5,0.5)",1000000,STaR betting,Deterministic,30,0.0018651623486635517,0.0018651731411725493,1.0792508997603534e-08,5.7602823439362185e-06,0.0,0.26666666666666666,5.786364390969467e-06
"Beta(0.5,0.5)",1000000,STaR betting,Uniformly randomized,30,0.001865160909870008,0.001865168824610286,7.914740277984815e-09,4.240807318807901e-06,0.06666666666666667,0.2,4.243462446762436e-06
"Beta(1,5)",10,Efficient betting,Deterministic,120,0.5203261394648316,0.6544969490349782,0.13417080957014663,0.2608089533998744,0.0,1.0,0.2578590606809503
"Beta(1,5)",10,Efficient betting,Uniformly randomized,120,0.4474708071535646,0.5800519219801527,0.13258111482658805,0.3001728635097025,0.0,1.0,0.29628997625556486
"Beta(1,5)",10,STaR betting,Deterministic,120,0.5117877139375321,0.6505553952536471,0.13876768131611497,0.2728282572565098,0.0,1.0,0.27114304923125365
"Beta(1,5)",10,STaR betting,Uniformly randomized,120,0.43914321720108973,0.5735625970004595,0.13441937979936977,0.30978591509380127,0.0,1.0,0.30609462820831257
"Beta(1,5)",50,Efficient betting,Deterministic,120,0.16532634956568834,0.2277476719710653,0.06242132240537696,0.383248118572649,0.0,1.0,0.3775642695151591
"Beta(1,5)",50,Efficient betting,Uniformly randomized,120,0.1327343726670164,0.18288751075514534,0.05015313808812894,0.37765668972760025,0.0,1.0,0.37784589688720205
"Beta(1,5)",50,STaR betting,Deterministic,120,0.15114971334126048,0.21535324661951788,0.06420353327825738,0.4282243909615614,0.0,1.0,0.42476781370601024
"Beta(1,5)",50,STaR betting,Uniformly randomized,120,0.12906691299153106,0.17973326262737999,0.050666349635848935,0.3911459047840646,0.0,1.0,0.3925587779353914
"Beta(1,5)",100,Efficient betting,Deterministic,120,0.09717428771520539,0.12993526555328144,0.03276097783807604,0.3426917073458491,0.0,1.0,0.33713627965136883
"Beta(1,5)",100,Efficient betting,Uniformly randomized,120,0.0841184637422419,0.10914244726198115,0.02502398351973926,0.29410797373126096,0.016666666666666666,0.9833333333333333,0.2974850277391945
"Beta(1,5)",100,STaR betting,Deterministic,120,0.09102108778158484,0.12451930974187658,0.033498221960291744,0.3720630860441037,0.0,1.0,0.3680270449049612
"Beta(1,5)",100,STaR betting,Uniformly randomized,120,0.08249237592717974,0.10746604670041256,0.024973670773232832,0.2983703619674522,0.025,0.975,0.30273913792079843
"Beta(1,5)",500,Efficient betting,Deterministic,120,0.03549416384875332,0.03952318889917317,0.004029025050419853,0.11432217970970568,0.0,1.0,0.11351232466239258
"Beta(1,5)",500,Efficient betting,Uniformly randomized,120,0.033438309288149316,0.03591167958220127,0.0024733702940519437,0.07189520206817446,0.125,0.875,0.07396816246712934
"Beta(1,5)",500,STaR betting,Deterministic,120,0.03438646562283031,0.038636030728440025,0.004249565105609715,0.12618551894381386,0.0,1.0,0.12358249179259317
"Beta(1,5)",500,STaR betting,Uniformly randomized,120,0.033538921542951135,0.03584005267560802,0.0023011311326568843,0.068585670682463,0.15,0.85,0.06861076703703706
"Beta(1,5)",1000,Efficient betting,Deterministic,120,0.024376302739235058,0.025688175157862037,0.0013118724186269822,0.05376853412216922,0.0,1.0,0.05381753060177763
