distribution,n,method,replications,coverage,mean_width,q10_width,q90_width,mean_sqrt_n_width,q10_sqrt_n_width,q90_sqrt_n_width,mean_sqrt_n_largest_component,mean_normalized_halfwidth,mean_runtime_seconds,mean_score_evaluations,empty_rate
Bernoulli(0.1),1000000,Squared-hinge feedback,20,1.0,0.0015939760995997195,0.0015512969617965014,0.00162791834336857,1.5939760995997545,1.5512969617965016,1.6279183433686575,1.5939760995997194,2.656626832666258,0.2826769011371652,31.0,0.0
Bernoulli(0.1),1000000,Target-capped feedback,20,1.0,0.0015508515049678,0.00154719242379105,0.0015552981143695,1.5508515049678546,1.54719242379113,1.555298114369592,1.5508515049678,2.584752508279758,0.2826769011371652,31.0,0.0
Bernoulli(0.1),3000000,Capped original feedback,15,1.0,0.0009236998530722534,0.00091436004583418,0.0009414651661647201,1.5998950764651414,1.583718055795958,1.630665501353706,1.5998950764650497,2.666491794108569,1.4334463793978405,31.0,0.0
Bernoulli(0.1),3000000,Common-clock Efficient betting,30,1.0,0.0008925458260562233,0.00089133451051399,0.00089351925891799,1.545934718812976,1.5438366587497685,1.5476207539874045,1.5459347188129122,2.576557864688293,2.6948817445275686,123.0,0.0
Bernoulli(0.1),3000000,Common-clock STaR betting,30,1.0,0.00091322099230429,0.0008967411401016501,0.00092674127365492,1.5817451572095889,1.5532012158933308,1.6051629714414617,1.581745157209497,2.636241928682648,0.6820909582854559,123.0,0.0
Bernoulli(0.1),3000000,Efficient betting,30,1.0,0.0008925688576313508,0.000891718846024786,0.0008934786272078207,1.5459746106712113,1.544502347381618,1.5475503778008377,1.5459746106712113,2.5766243511186855,3.9367426928986484,31.0,0.0
Bernoulli(0.1),3000000,Gaffke,15,1.0,0.0008927715983329334,0.00089213898740464,0.00089329970351576,1.5463257678672144,1.545230053598006,1.547240472875592,1.5463257678671143,2.5772096131120246,0.0012974997982382332,0.0,0.0
Bernoulli(0.1),3000000,Regularized Efficient betting,15,1.0,0.0008925298210735999,0.00087684050612098,0.0009088395254835001,1.5459069973699051,1.5187323067359935,1.574156234064329,1.5459069973698343,2.576511662283175,4.019061364997954,31.0,0.0
Bernoulli(0.1),3000000,STaR betting,30,1.0,0.0009134018981969867,0.00089706191499222,0.00092687135891654,1.58205849540712,1.5537568143016494,1.6053882857239627,1.582058495407036,2.6367641590118667,0.9463195486227051,31.0,0.0
Bernoulli(0.1),3000000,Square-root feedback,15,1.0,0.0009138880310153137,0.00089921925534004,0.0009267504497547846,1.5829005021476508,1.5574934373933145,1.6051788649125949,1.582900502147605,2.638167503579418,0.82957729078189,31.0,0.0
Bernoulli(0.1),3000000,Squared-hinge feedback,15,1.0,0.0009185159174763806,0.0008967113546569,0.00093598717808476,1.5909162366298952,1.5531496259897202,1.621177347675823,1.590916236629833,2.6515270610498254,0.82957729078189,31.0,0.0
Bernoulli(0.1),3000000,Target-capped feedback,15,1.0,0.0008943502665168999,0.0008935034449124,0.0008953570624585601,1.5490601013701086,1.5475933633262158,1.5508039230939472,1.5490601013700374,2.5817668356168473,0.82957729078189,31.0,0.0
Bernoulli(0.1),10000000,Capped original feedback,10,1.0,0.0005034151209811499,0.00049779677647438,0.00050893106768433,1.5919383908697982,1.5741716255488114,1.6093813459039614,1.5919383908696527,2.6532306514496637,4.750917464803206,31.0,0.0
Bernoulli(0.1),10000000,Common-clock Efficient betting,30,1.0,0.0004888198041572499,0.0004883495762690401,0.00048915354398679,1.5457839465345138,1.5442969553885466,1.5468393245418126,1.545783946534354,2.5763065775575233,8.765716517188897,123.0,0.0
Bernoulli(0.1),10000000,Common-clock STaR betting,30,1.0,0.00049968703914388,0.00048712995469618,0.00050752826987653,1.5801491609605334,1.5404401733348645,1.6049453097347037,1.5801491609603744,2.633581934934222,2.1871229454952603,123.0,0.0
Bernoulli(0.1),10000000,Efficient betting,30,1.0,0.0004888110387927302,0.0004885473379591763,0.0004890360448976269,1.54575622801795,1.5449223327630341,1.5464677597968661,1.54575622801795,2.5762603800299164,13.073487482856338,31.0,0.0
Bernoulli(0.1),10000000,Gaffke,10,1.0,0.00048885293019457,0.00048872074049336,0.00048896492123157,1.5458887002623012,1.5454706797232993,1.5462428470166825,1.5458887002621409,2.5764811671038355,0.00342310030828226,0.0,0.0
Bernoulli(0.1),10000000,Regularized Efficient betting,10,1.0,0.00048752762318686005,0.00047726505196665997,0.0004999224417290399,1.54169771151899,1.5092446118133764,1.580893569296868,1.541697711518795,2.5694961858649834,13.3302443489898,31.0,0.0
Bernoulli(0.1),10000000,STaR betting,30,1.0,0.00049973589023985,0.00048705742562233,0.00050763271628953,1.5803036416899656,1.5402108162647594,1.6052755982930702,1.580303641689835,2.6338394028166094,3.137579353285643,31.0,0.0
Bernoulli(0.1),10000000,Square-root feedback,10,1.0,0.000500792063289131,0.00049528918844408,0.000506988451362787,1.5836435541289615,1.5662419359399522,1.6032382537079184,1.5836435541288485,2.6394059235482694,2.7316120706513174,31.0,0.0
Bernoulli(0.1),10000000,Squared-hinge feedback,10,1.0,0.0005046369233689602,0.00049784388114827,0.00051268481121663,1.5958020692658186,1.5743205836068328,1.6212517252179988,1.5958020692657657,2.6596701154430313,2.7316120706513174,31.0,0.0
Bernoulli(0.1),10000000,Target-capped feedback,10,1.0,0.00048952646037786,0.0004891212363161999,0.00048974204665351,1.5480185897143595,1.5467371587167387,1.5487003333777989,1.548018589714208,2.5800309828572656,2.7316120706513174,31.0,0.0
Bernoulli(0.5),1000,Capped original feedback,50,1.0,0.08739284679050063,0.08658971813895008,0.08873556609769252,2.7636044706411815,2.738207312710787,2.8060649833312796,2.76360447064118,2.7636044706411815,0.001263580842642058,31.0,0.0
Bernoulli(0.5),1000,Common-clock Efficient betting,30,1.0,0.0812940631376595,0.08059431557875342,0.08199758709975896,2.570743997645385,2.5486160369125233,2.5929913787327887,2.570743997645384,2.570743997645385,0.0017624017704898633,123.0,0.0
Bernoulli(0.5),1000,Common-clock STaR betting,30,1.0,0.08344458121962116,0.082002818044693,0.08470056065159645,2.63874935052914,2.593156795735853,2.678466907522804,2.638749350529139,2.63874935052914,0.0005575989373027733,123.0,0.0
Bernoulli(0.5),1000,Efficient betting,30,1.0,0.08127813566861548,0.08060248026811287,0.08192173843702033,2.5702403268499747,2.548874227060159,2.5905928334154664,2.5702403268499747,2.5702403268499747,0.002051871324268423,31.0,0.0
Bernoulli(0.5),1000,Gaffke,50,1.0,0.0822651679166526,0.0822232931003916,0.0822942442335993,2.601453027128311,2.6001288291684523,2.602372501003516,2.6014530271283096,2.601453027128311,0.00018432669457974199,0.0,0.0
Bernoulli(0.5),1000,Regularized Efficient betting,50,1.0,0.08411476350971325,0.07456003814973228,0.09567164847646153,2.659942375371127,2.357795429822006,3.0254031668859658,2.659942375371126,2.659942375371127,0.002232003717217544,31.06,0.0
Bernoulli(0.5),1000,STaR betting,30,1.0,0.08357122261122003,0.08208992475941261,0.08481791516385644,2.642754102964198,2.5959113519159374,2.6821779830472012,2.6427541029641968,2.642754102964198,0.0008013942201310966,31.0,0.0
Bernoulli(0.5),1000,Square-root feedback,50,1.0,0.08346121801132526,0.08158857716108193,0.08490139660705442,2.639275452076567,2.5800573488141345,2.6848178980758384,2.639275452076566,2.639275452076567,0.000587792154401482,31.0,0.0
Bernoulli(0.5),1000,Squared-hinge feedback,50,1.0,0.08397213821885133,0.08140376763591006,0.08603535105138271,2.6554321676604506,2.5742131584857617,2.7206766861453167,2.655432167660449,2.6554321676604506,0.000587792154401482,31.0,0.0
Bernoulli(0.5),1000,Target-capped feedback,50,1.0,0.08297200968427618,0.08281645095545342,0.0830939243173101,2.6238053264386103,2.6188861275086075,2.627660605643519,2.6238053264386094,2.6238053264386103,0.000587792154401482,31.0,0.0
Bernoulli(0.5),3000,Capped original feedback,50,0.98,0.049777554605442115,0.04927162355890344,0.050521910123584465,2.7264289514845848,2.6987179668114396,2.767198982293585,2.726428951484582,2.7264289514845848,0.002268632862251202,31.02,0.0
Bernoulli(0.5),3000,Common-clock Efficient betting,30,0.9666666666666667,0.04702625164231878,0.04678502711752581,0.04722394292537496,2.575733881941239,2.5625214705759825,2.5865618794564393,2.5757338819412365,2.575733881941239,0.0036788265298430666,123.0,0.0
Bernoulli(0.5),3000,Common-clock STaR betting,30,0.9666666666666667,0.047825652999911164,0.04658037622931683,0.04881009131115993,2.619518897546599,2.5513122797874304,2.673438804500925,2.6195188975465964,2.619518897546599,0.0009386295995984901,123.0,0.0
Bernoulli(0.5),3000,Efficient betting,30,0.9666666666666667,0.047016096080750094,0.046781521233652444,0.04721519554498064,2.575177638925706,2.562329445407835,2.586082765700332,2.575177638925706,2.575177638925706,0.004730800799249313,31.0,0.0
