distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",50,8,Chronological GE,0.1181831699796021,0.260930307675153,False,0.14274713769555092,1.3909790976538088
"Beta(1,5)",50,8,Exact Bernoulli rounding,0.023575955257846202,0.25224288728541805,False,0.22866693202757185,2.2282122633754935
"Beta(1,5)",50,8,Symmetric empirical-variance bound,0.0,0.9794323699132113,False,0.9794323699132113,9.543938856556645
"Beta(1,5)",50,8,Optimistic hard-boundary benchmark (not valid),0.10810359100486247,0.2844154813042642,False,0.17631189029940172,1.718046036042815
"Beta(1,5)",50,9,Chronological GE,0.0880738920532167,0.2521431683562696,False,0.1640692763030529,1.5987496323146726
"Beta(1,5)",50,9,Exact Bernoulli rounding,0.054127518446543316,0.3247340084758109,False,0.2706064900292676,2.636886296963605
"Beta(1,5)",50,9,Symmetric empirical-variance bound,0.0,0.9837431949811072,False,0.9837431949811072,9.585945075804796
"Beta(1,5)",50,9,Optimistic hard-boundary benchmark (not valid),0.10384192662027772,0.2849095799629662,False,0.18106765334268846,1.7643878898508756
"Beta(1,5)",50,10,Chronological GE,0.11622586520388722,0.2706674006767571,False,0.15444153547286987,1.5049334867259956
"Beta(1,5)",50,10,Exact Bernoulli rounding,0.03311133739296447,0.27670113793823436,False,0.2435898005452699,2.37362602452162
"Beta(1,5)",50,10,Symmetric empirical-variance bound,0.0,0.9986127775882709,False,0.9986127775882709,9.730839600005444
"Beta(1,5)",50,10,Optimistic hard-boundary benchmark (not valid),0.12247455157019552,0.300570454694258,False,0.1780959031240625,1.7354300942390783
"Beta(1,5)",50,11,Chronological GE,0.1267631915397942,0.23391053499653935,False,0.10714734345674515,1.0440819866758793
"Beta(1,5)",50,11,Exact Bernoulli rounding,0.04848127080101389,0.28802417768715527,False,0.23954290688614138,2.3341916471943405
"Beta(1,5)",50,11,Symmetric empirical-variance bound,0.0,0.977981611324372,False,0.977981611324372,9.529802146669535
"Beta(1,5)",50,11,Optimistic hard-boundary benchmark (not valid),0.11420383957974994,0.2862168674716463,False,0.17201302789189638,1.6761563852304608
"Beta(1,5)",50,12,Chronological GE,0.08752737520262599,0.23455520113930106,False,0.14702782593667507,1.4326916528973017
"Beta(1,5)",50,12,Exact Bernoulli rounding,0.04399347046253846,0.29989891731230844,False,0.25590544684977,2.493634081146849
"Beta(1,5)",50,12,Symmetric empirical-variance bound,0.0,0.943489059358793,False,0.943489059358793,9.193694399898558
