distribution,n,repetition,method,lower,upper,empty,width,normalized_width
"Beta(1,5)",5000,125,Optimistic hard-boundary benchmark (not valid),0.16301677093447664,0.17450063391946125,False,0.011483862984984605,1.119028628546135
"Beta(1,5)",5000,126,Chronological GE,0.1595813543535769,0.16980424663051963,False,0.01022289227694273,0.9961551386845838
"Beta(1,5)",5000,126,Exact Bernoulli rounding,0.1494351102840588,0.17644913017949157,False,0.027014019895432784,2.632342590174562
"Beta(1,5)",5000,126,Symmetric empirical-variance bound,0.15378386975933558,0.17538133555840665,False,0.02159746579907107,2.1045342115982195
"Beta(1,5)",5000,126,Optimistic hard-boundary benchmark (not valid),0.15931451062047652,0.1705363212597144,False,0.011221810639237884,1.093493311949997
"Beta(1,5)",5000,127,Chronological GE,0.16250171745195985,0.17277848115190864,False,0.010276763699948788,1.0014045625660006
"Beta(1,5)",5000,127,Exact Bernoulli rounding,0.15204020836589585,0.17897864181167353,False,0.026938433445777676,2.6249771765324086
"Beta(1,5)",5000,127,Symmetric empirical-variance bound,0.15671684862475332,0.17857521980384872,False,0.021858371179095393,2.1299577637575124
"Beta(1,5)",5000,127,Optimistic hard-boundary benchmark (not valid),0.16228010892162636,0.17369132246724028,False,0.011411213545613919,1.1119494076768228
"Beta(1,5)",5000,128,Chronological GE,0.16120811691507697,0.1714637572877109,False,0.010255640372633934,0.9993462301018832
"Beta(1,5)",5000,128,Exact Bernoulli rounding,0.14990862720684162,0.17674261571115235,False,0.026833988504310735,2.6147996883682643
"Beta(1,5)",5000,128,Symmetric empirical-variance bound,0.15557004085729892,0.1771882125894279,False,0.021618171732128988,2.106551871675048
"Beta(1,5)",5000,128,Optimistic hard-boundary benchmark (not valid),0.16110168294137428,0.17233852466058647,False,0.011236841719212187,1.094957994072311
"Beta(1,5)",5000,129,Chronological GE,0.1617465722374618,0.17193264281377196,False,0.010186070576310158,0.9925671006512601
"Beta(1,5)",5000,129,Exact Bernoulli rounding,0.14666634034054304,0.17326689562926192,False,0.02660055528871888,2.592053122039285
"Beta(1,5)",5000,129,Symmetric empirical-variance bound,0.15604987645652751,0.17762297021965007,False,0.021573093763122553,2.1021593133607532
"Beta(1,5)",5000,129,Optimistic hard-boundary benchmark (not valid),0.16157487446612034,0.17277899189557927,False,0.011204117429458926,1.0917692223906377
"Beta(1,5)",5000,130,Chronological GE,0.15950216306373477,0.16959894774481654,False,0.010096784681081772,0.9838667640993024
"Beta(1,5)",5000,130,Exact Bernoulli rounding,0.1534320768666281,0.1805438360607117,False,0.027111759194083596,2.6418666565507705
"Beta(1,5)",5000,130,Symmetric empirical-variance bound,0.1535861859404359,0.1751864825806496,False,0.02160029664021368,2.1048100588706564
"Beta(1,5)",5000,130,Optimistic hard-boundary benchmark (not valid),0.15911741527121176,0.17034128098614126,False,0.011223865714929504,1.0936935658659275
"Beta(1,5)",5000,131,Chronological GE,0.16521827830001712,0.17575229844078422,False,0.010534020140767097,1.0264725490553883
"Beta(1,5)",5000,131,Exact Bernoulli rounding,0.16281148361230513,0.19055103207723398,False,0.027739548464928848,2.7030406855067493
"Beta(1,5)",5000,131,Symmetric empirical-variance bound,0.1593611379793131,0.18134772805156382,False,0.021986590072250733,2.1424518706925157
"Beta(1,5)",5000,131,Optimistic hard-boundary benchmark (not valid),0.1649391993898504,0.17644349259853964,False,0.011504293208689231,1.1210194225187704
"Beta(1,5)",5000,132,Chronological GE,0.15868129627779126,0.16939656110480428,False,0.010715264827013016,1.0441336786723328
"Beta(1,5)",5000,132,Exact Bernoulli rounding,0.15354301337792595,0.18074905826480173,False,0.02720604488687578,2.651054191236156
"Beta(1,5)",5000,132,Symmetric empirical-variance bound,0.1535182960830912,0.1752089905535258,False,0.02169069447043459,2.113618746340014
"Beta(1,5)",5000,132,Optimistic hard-boundary benchmark (not valid),0.15906193521897283,0.17035142495486622,False,0.011289489735893388,1.1000882048715406
"Beta(1,5)",5000,133,Chronological GE,0.16104950895532966,0.17098656157031655,False,0.009937052614986897,0.9683019010309515
"Beta(1,5)",5000,133,Exact Bernoulli rounding,0.14602950109836038,0.17254556594611467,False,0.02651606484775429,2.5838200716797073
"Beta(1,5)",5000,133,Symmetric empirical-variance bound,0.15527316236588745,0.17705966017279423,False,0.02178649780690678,2.122954165646461
"Beta(1,5)",5000,133,Optimistic hard-boundary benchmark (not valid),0.16082808644415875,0.17218712399271102,False,0.011359037548552275,1.1068651921553332
"Beta(1,5)",5000,134,Chronological GE,0.1599284945987165,0.16974959569051862,False,0.00982110109180212,0.9570031704437832
"Beta(1,5)",5000,134,Exact Bernoulli rounding,0.15082336639776753,0.1777147854343645,False,0.026891419036596975,2.620395924570749
"Beta(1,5)",5000,134,Symmetric empirical-variance bound,0.15410360297456124,0.17565269447208823,False,0.021549091497526984,2.0998204468672634
"Beta(1,5)",5000,134,Optimistic hard-boundary benchmark (not valid),0.15962731338945024,0.17081400680801395,False,0.011186693418563709,1.0900713645320632
"Beta(1,5)",5000,135,Chronological GE,0.16108868503943086,0.17116711707785726,False,0.0100784320384264,0.9820784170450323
"Beta(1,5)",5000,135,Exact Bernoulli rounding,0.14836364865828575,0.1750871868119652,False,0.02672353815367945,2.6040370116843845
"Beta(1,5)",5000,135,Symmetric empirical-variance bound,0.15544924140941999,0.1769368522680623,False,0.021487610858642314,2.093829553811224
"Beta(1,5)",5000,135,Optimistic hard-boundary benchmark (not valid),0.1609631837666507,0.17210524527830612,False,0.011142061511655421,1.0857222721019042
"Beta(1,5)",5000,136,Chronological GE,0.16293408954516053,0.17326739663258195,False,0.010333307087421417,1.0069143522090487
"Beta(1,5)",5000,136,Exact Bernoulli rounding,0.1596447357199902,0.18728841823640416,False,0.02764368251641397,2.6936991650592184
"Beta(1,5)",5000,136,Symmetric empirical-variance bound,0.15718184445458436,0.17887247973891987,False,0.021690635284335513,2.113612979035113
"Beta(1,5)",5000,136,Optimistic hard-boundary benchmark (not valid),0.16272173151467983,0.1740111776257628,False,0.011289446111082957,1.1000839539141885
"Beta(1,5)",5000,137,Chronological GE,0.16066463058814406,0.17098484048619866,False,0.0103202098980546,1.005638115295205
"Beta(1,5)",5000,137,Exact Bernoulli rounding,0.15502605486326537,0.18241392624002098,False,0.027387871376755607,2.668772013877337
"Beta(1,5)",5000,137,Symmetric empirical-variance bound,0.1548115870451508,0.17646775569821088,False,0.02165616865306008,2.110254427372037
"Beta(1,5)",5000,137,Optimistic hard-boundary benchmark (not valid),0.1603491912889513,0.17161361688590882,False,0.011264425596957506,1.0976458656468577
"Beta(1,5)",5000,138,Chronological GE,0.1625847010873258,0.17289875214919448,False,0.010314051061868668,1.0050379762984585
"Beta(1,5)",5000,138,Exact Bernoulli rounding,0.15020607780880943,0.17726454180258236,False,0.02705846399377293,2.6366733818670065
"Beta(1,5)",5000,138,Symmetric empirical-variance bound,0.15671819469466877,0.17843422673378292,False,0.021716032039114153,2.1160877295355864
"Beta(1,5)",5000,138,Optimistic hard-boundary benchmark (not valid),0.16226202255806155,0.17356990544554657,False,0.011307882887485021,1.101880499261254
"Beta(1,5)",5000,139,Chronological GE,0.1603159229271114,0.17051732586696744,False,0.010201402939856052,0.9940611409209469
"Beta(1,5)",5000,139,Exact Bernoulli rounding,0.15129406685066207,0.1781410244007695,False,0.026846957550107436,2.616063438514919
"Beta(1,5)",5000,139,Symmetric empirical-variance bound,0.15429722736693863,0.1761072532589451,False,0.02181002589200648,2.1252468262987048
"Beta(1,5)",5000,139,Optimistic hard-boundary benchmark (not valid),0.15985636068553977,0.1712324785487383,False,0.011376117863198532,1.1085295590237578
"Beta(1,5)",5000,140,Chronological GE,0.16224393481388688,0.17266530403867364,False,0.010421369224786758,1.015495441423682
"Beta(1,5)",5000,140,Exact Bernoulli rounding,0.15173628942913797,0.17877673888192622,False,0.027040449452788246,2.634917980647196
"Beta(1,5)",5000,140,Symmetric empirical-variance bound,0.1566392990896015,0.17837200414002974,False,0.021732705050428236,2.117712407312475
"Beta(1,5)",5000,140,Optimistic hard-boundary benchmark (not valid),0.16218548365393787,0.17350547027543106,False,0.011319986621493194,1.1030599303364212
"Beta(1,5)",5000,141,Chronological GE,0.16192933777347207,0.17190846474841237,False,0.0099791269749403,0.9724017769505071
"Beta(1,5)",5000,141,Exact Bernoulli rounding,0.1447012979400274,0.17110442608458515,False,0.026403128144557753,2.572815115920849
"Beta(1,5)",5000,141,Symmetric empirical-variance bound,0.15628442431380413,0.17780961897935382,False,0.021525194665549696,2.0974918542021377
"Beta(1,5)",5000,141,Optimistic hard-boundary benchmark (not valid),0.16180264380379156,0.17297198900079735,False,0.011169345197005798,1.0883808918572284
"Beta(1,5)",5000,142,Chronological GE,0.16189536405727267,0.17253555404022336,False,0.010640189982950687,1.0368181177065474
"Beta(1,5)",5000,142,Exact Bernoulli rounding,0.15758003805820417,0.18511881513639875,False,0.027538777078194576,2.6834768044466637
"Beta(1,5)",5000,142,Symmetric empirical-variance bound,0.15640984584399562,0.178021743288069,False,0.02161189744407338,2.105940482635737
"Beta(1,5)",5000,142,Optimistic hard-boundary benchmark (not valid),0.16193977316333136,0.17317205993210977,False,0.01123228676877841,1.0945141434321852
"Beta(1,5)",5000,143,Chronological GE,0.15944074979051948,0.16948829172179103,False,0.010047541931271553,0.9790683746672778
"Beta(1,5)",5000,143,Exact Bernoulli rounding,0.14911739600105134,0.17587900413519314,False,0.0267616081341418,2.607746686563061
"Beta(1,5)",5000,143,Symmetric empirical-variance bound,0.1536281231770763,0.17506224154331412,False,0.02143411836623782,2.088617054281128
"Beta(1,5)",5000,143,Optimistic hard-boundary benchmark (not valid),0.15913662425446073,0.1702398534097263,False,0.01110322915526557,1.081938308589716
"Beta(1,5)",5000,144,Chronological GE,0.1614327128045261,0.17140371026471257,False,0.009970997460186481,0.9716096079950253
"Beta(1,5)",5000,144,Exact Bernoulli rounding,0.14768439994580765,0.17449266082208595,False,0.0268082608762783,2.6122926963960924
"Beta(1,5)",5000,144,Symmetric empirical-variance bound,0.1555135641767869,0.17691538229996595,False,0.02140181812317904,2.0854696032240203
"Beta(1,5)",5000,144,Optimistic hard-boundary benchmark (not valid),0.16101572902567102,0.17209550958570896,False,0.011079780560037944,1.0796533937145374
"Beta(1,5)",5000,145,Chronological GE,0.16363763669505715,0.1739789112471044,False,0.010341274552047253,1.0076907304212317
"Beta(1,5)",5000,145,Exact Bernoulli rounding,0.15936089440675083,0.18684893179900527,False,0.027488037392254444,2.6785325482112237
"Beta(1,5)",5000,145,Symmetric empirical-variance bound,0.15772748209118578,0.1795411734009291,False,0.02181369130974331,2.125603997695513
"Beta(1,5)",5000,145,Optimistic hard-boundary benchmark (not valid),0.16328361020578475,0.17466238835736242,False,0.011378778151577673,1.1087887870257238
"Beta(1,5)",5000,146,Chronological GE,0.16237978218123317,0.1726531065069139,False,0.010273324325680733,1.0010694176521968
"Beta(1,5)",5000,146,Exact Bernoulli rounding,0.15861135729922807,0.18605351147125979,False,0.02744215417203172,2.6740615233421314
"Beta(1,5)",5000,146,Symmetric empirical-variance bound,0.1563750195577257,0.17813628441277596,False,0.021761264855050255,2.1204953766878067
"Beta(1,5)",5000,146,Optimistic hard-boundary benchmark (not valid),0.16192537297248083,0.17326609254168573,False,0.011340719569204905,1.1050802228176089
"Beta(1,5)",5000,147,Chronological GE,0.1628418150357902,0.17343309754505754,False,0.01059128250926733,1.0320523987778991
"Beta(1,5)",5000,147,Exact Bernoulli rounding,0.16005193761434106,0.18773096237475842,False,0.027679024760417364,2.697143039554114
"Beta(1,5)",5000,147,Symmetric empirical-variance bound,0.15700695326433775,0.1790170021491835,False,0.022010048884845757,2.144737781184469
"Beta(1,5)",5000,147,Optimistic hard-boundary benchmark (not valid),0.1625906229734757,0.17411194645027628,False,0.011521323476800571,1.1226789126740713
"Beta(1,5)",5000,148,Chronological GE,0.16162478970363736,0.17163276439532638,False,0.010007974691689014,0.9752128015118599
"Beta(1,5)",5000,148,Exact Bernoulli rounding,0.15553755327260077,0.18269580672744035,False,0.027158253454839576,2.6463972233920035
"Beta(1,5)",5000,148,Symmetric empirical-variance bound,0.1559287785905663,0.177341722873482,False,0.02141294428291568,2.086553775970365
"Beta(1,5)",5000,148,Optimistic hard-boundary benchmark (not valid),0.16143203796584782,0.17251989544655666,False,0.01108785748070884,1.080440437714718
"Beta(1,5)",5000,149,Chronological GE,0.16103223944082856,0.17100742692127824,False,0.009975187480449677,0.9720178985358332
"Beta(1,5)",5000,149,Exact Bernoulli rounding,0.15120656767602667,0.17814122524466805,False,0.026934657568641385,2.6246092415771667
"Beta(1,5)",5000,149,Symmetric empirical-variance bound,0.1552703453355988,0.1768921409870346,False,0.021621795651435793,2.1069049993166056
"Beta(1,5)",5000,149,Optimistic hard-boundary benchmark (not valid),0.16080278840620799,0.17204226095192554,False,0.011239472545717555,1.0952143512040615
"Beta(1,5)",5000,150,Chronological GE,0.16364822862669826,0.17380414297804236,False,0.010155914351344109,0.9896285703753407
"Beta(1,5)",5000,150,Exact Bernoulli rounding,0.1554500552723493,0.18277632267082056,False,0.027326267398471243,2.6627691021896345
"Beta(1,5)",5000,150,Symmetric empirical-variance bound,0.1577064914584425,0.17934274320080085,False,0.021636251742358337,2.108313652451909
"Beta(1,5)",5000,150,Optimistic hard-boundary benchmark (not valid),0.16323841832220193,0.17448838478150236,False,0.011249966459300431,1.0962369156268592
"Beta(1,5)",5000,151,Chronological GE,0.16164787532761693,0.1721635670401156,False,0.010515691712498665,1.0246865615374732
"Beta(1,5)",5000,151,Exact Bernoulli rounding,0.14523410387236907,0.171904243986783,False,0.02667014011441393,2.598833716005528
"Beta(1,5)",5000,151,Symmetric empirical-variance bound,0.15589357086966277,0.17765919163367822,False,0.021765620764015448,2.1209198320162765
"Beta(1,5)",5000,151,Optimistic hard-boundary benchmark (not valid),0.16144501094081276,0.17278889275443893,False,0.011343881813626167,1.1053883632092594
"Beta(1,5)",5000,152,Chronological GE,0.15938486391678452,0.16955180140212178,False,0.010166937485337257,0.9907027039252413
"Beta(1,5)",5000,152,Exact Bernoulli rounding,0.16394843665212286,0.19188017933602985,False,0.027931742683906996,2.7217687767038337
"Beta(1,5)",5000,152,Symmetric empirical-variance bound,0.15362893037946965,0.17504182826714385,False,0.021412897887674198,2.0865492550523155
"Beta(1,5)",5000,152,Optimistic hard-boundary benchmark (not valid),0.15913453377336612,0.1702223579963979,False,0.011087824223031784,1.0804371969678723
"Beta(1,5)",5000,153,Chronological GE,0.16404820559546351,0.17439417680725455,False,0.010345971211791039,1.0081483897226975
"Beta(1,5)",5000,153,Exact Bernoulli rounding,0.15718328094217324,0.18468841968990532,False,0.027505138747732083,2.6801989653734144
"Beta(1,5)",5000,153,Symmetric empirical-variance bound,0.15804838867006588,0.180041765749672,False,0.021993377079606136,2.1431132209317845
"Beta(1,5)",5000,153,Optimistic hard-boundary benchmark (not valid),0.16362871816720947,0.17513793861310267,False,0.011509220445893198,1.1214995501115574
"Beta(1,5)",5000,154,Chronological GE,0.16351422248408198,0.17397215543314815,False,0.010457932949066162,1.0190583413196854
"Beta(1,5)",5000,154,Exact Bernoulli rounding,0.15630777004886226,0.18350008907436216,False,0.0271923190254999,2.6497166942761914
"Beta(1,5)",5000,154,Symmetric empirical-variance bound,0.15756865109827203,0.17942496521281967,False,0.021856314114547637,2.129757316040336
"Beta(1,5)",5000,154,Optimistic hard-boundary benchmark (not valid),0.1631307600731589,0.1745404801484322,False,0.0114097200752733,1.111803878592296
"Beta(1,5)",5000,155,Chronological GE,0.15781634533777833,0.16778196906670928,False,0.00996562372893095,0.9710859724270187
"Beta(1,5)",5000,155,Exact Bernoulli rounding,0.14889239059960255,0.17573475646849318,False,0.026842365868890633,2.615616008696096
"Beta(1,5)",5000,155,Symmetric empirical-variance bound,0.15189038733641463,0.17321145781543373,False,0.0213210704790191,2.07760126435401
"Beta(1,5)",5000,155,Optimistic hard-boundary benchmark (not valid),0.15738523187016878,0.16840639463672347,False,0.011021162766554682,1.0739414665402285
"Beta(1,5)",5000,156,Chronological GE,0.161567906383425,0.17251534340903163,False,0.010947437025606632,1.0667573670007688
"Beta(1,5)",5000,156,Exact Bernoulli rounding,0.14959557274261362,0.17666531514711456,False,0.02706974240450094,2.637772390493777
"Beta(1,5)",5000,156,Symmetric empirical-variance bound,0.15602217851168731,0.17777834229068157,False,0.021756163778994253,2.1199983096163413
"Beta(1,5)",5000,156,Optimistic hard-boundary benchmark (not valid),0.1615721961553846,0.17290921267738069,False,0.01133701652199609,1.1047193846706422
"Beta(1,5)",5000,157,Chronological GE,0.1633508768863976,0.17380399582907557,False,0.010453118942677975,1.018589247342038
"Beta(1,5)",5000,157,Exact Bernoulli rounding,0.1543665652285102,0.18147617386090545,False,0.027109608632395255,2.6416570981382526
"Beta(1,5)",5000,157,Symmetric empirical-variance bound,0.15771785064815433,0.1794604299751786,False,0.02174257932702428,2.11867459209399
"Beta(1,5)",5000,157,Optimistic hard-boundary benchmark (not valid),0.16326428093790923,0.17459143556725382,False,0.011327154629344582,1.103758406624917
"Beta(1,5)",5000,158,Chronological GE,0.15879205660894513,0.16906094225123525,False,0.010268885642290115,1.0006368964880512
"Beta(1,5)",5000,158,Exact Bernoulli rounding,0.15504600772688354,0.18236284864701136,False,0.027316840920127816,2.6618505524693483
"Beta(1,5)",5000,158,Symmetric empirical-variance bound,0.1530515810654591,0.17464884757506624,False,0.021597266509607138,2.1045147921210106
"Beta(1,5)",5000,158,Optimistic hard-boundary benchmark (not valid),0.15858294308994736,0.1698046091890169,False,0.01122166609906955,1.0934792274397105
"Beta(1,5)",5000,159,Chronological GE,0.1612123274244368,0.17158568045124412,False,0.010373353026807308,1.0108165715831763
"Beta(1,5)",5000,159,Exact Bernoulli rounding,0.15712666073114437,0.1846578827191062,False,0.027531221987961818,2.682740609468305
"Beta(1,5)",5000,159,Symmetric empirical-variance bound,0.15554019813434178,0.17718213991603537,False,0.021641941781693597,2.108868110209027
"Beta(1,5)",5000,159,Optimistic hard-boundary benchmark (not valid),0.1610751156230611,0.17232921313751554,False,0.011254097514454442,1.0966394603968104
"Beta(1,5)",5000,160,Chronological GE,0.15837176563218236,0.1684693549759686,False,0.01009758934378624,0.983945173307406
"Beta(1,5)",5000,160,Exact Bernoulli rounding,0.15056069079374987,0.17766560737027268,False,0.02710491657652281,2.6411998874544547
"Beta(1,5)",5000,160,Symmetric empirical-variance bound,0.15236160916236602,0.1739437556064739,False,0.021582146444107886,2.1030414389312977
"Beta(1,5)",5000,160,Optimistic hard-boundary benchmark (not valid),0.1578916122331802,0.16910230209724492,False,0.011210689864064705,1.0924096638947491
"Beta(1,5)",5000,161,Chronological GE,0.16528238216415048,0.1757624507881701,False,0.010480068624019623,1.0212153205537204
"Beta(1,5)",5000,161,Exact Bernoulli rounding,0.1640294094580183,0.19183786399237276,False,0.02780845453435446,2.7097551390376444
"Beta(1,5)",5000,161,Symmetric empirical-variance bound,0.1595887597376566,0.18153887371773444,False,0.021950113980077846,2.1388975099819847
"Beta(1,5)",5000,161,Optimistic hard-boundary benchmark (not valid),0.16516160908901006,0.17663942254440562,False,0.011477813455395558,1.118439140774622
"Beta(1,5)",5000,162,Chronological GE,0.16146938176825643,0.17165931267663836,False,0.010189930908381939,0.9929432651970811
"Beta(1,5)",5000,162,Exact Bernoulli rounding,0.15868775826178075,0.18625141246610497,False,0.027563654204324217,2.685900920475514
"Beta(1,5)",5000,162,Symmetric empirical-variance bound,0.15555699537871642,0.17736939405527047,False,0.021812398676554046,2.1254780389003853
"Beta(1,5)",5000,162,Optimistic hard-boundary benchmark (not valid),0.161115165181189,0.17249300533509715,False,0.011377840153908136,1.1086973851823638
"Beta(1,5)",5000,163,Chronological GE,0.16161435237154365,0.17186267348006368,False,0.010248321108520031,0.9986330148628946
"Beta(1,5)",5000,163,Exact Bernoulli rounding,0.15276020238224824,0.17980437903801808,False,0.02704417665576983,2.6352811726189436
"Beta(1,5)",5000,163,Symmetric empirical-variance bound,0.15596441360657473,0.17760066607572514,False,0.021636252469150408,2.1083137232731244
"Beta(1,5)",5000,163,Optimistic hard-boundary benchmark (not valid),0.16149812090263954,0.17274808820268334,False,0.011249967300043795,1.0962369975518955
"Beta(1,5)",5000,164,Chronological GE,0.15902591170743108,0.16937850276008248,False,0.010352591052651405,1.0087934506615868
"Beta(1,5)",5000,164,Exact Bernoulli rounding,0.15401752262545254,0.18117115917385704,False,0.027153636548404497,2.645947335537809
"Beta(1,5)",5000,164,Symmetric empirical-variance bound,0.15327293305594755,0.1748342376190972,False,0.02156130456314964,2.101010531605468
"Beta(1,5)",5000,164,Optimistic hard-boundary benchmark (not valid),0.15879915961629099,0.16999471922034987,False,0.01119555960405888,1.0909353173159018
"Beta(1,5)",5000,165,Chronological GE,0.16000376315787435,0.17024270864203572,False,0.010238945484161377,0.9977194205365301
"Beta(1,5)",5000,165,Exact Bernoulli rounding,0.1570699274329706,0.18448455967721625,False,0.027414632244245646,2.6713796883928933
"Beta(1,5)",5000,165,Symmetric empirical-variance bound,0.15408114659456293,0.1756966982158036,False,0.02161555162124068,2.1062965587112994
"Beta(1,5)",5000,165,Optimistic hard-boundary benchmark (not valid),0.15961395258999045,0.1708488925179391,False,0.011234939927948662,1.094772676738572
"Beta(1,5)",5000,166,Chronological GE,0.16263978695496917,0.1729715163819492,False,0.010331729426980019,1.0067606193403824
"Beta(1,5)",5000,166,Exact Bernoulli rounding,0.15088071250790494,0.1778054830530585,False,0.026924770545153548,2.623645814692985
"Beta(1,5)",5000,166,Symmetric empirical-variance bound,0.1569557760577549,0.1785659933471747,False,0.02161021728941981,2.105776762364937
"Beta(1,5)",5000,166,Optimistic hard-boundary benchmark (not valid),0.16248491609652072,0.1737159830641692,False,0.011231066967648473,1.094395281653068
"Beta(1,5)",5000,167,Chronological GE,0.1609441484324634,0.1713310950435698,False,0.010386946611106396,1.0121411789922967
"Beta(1,5)",5000,167,Exact Bernoulli rounding,0.15719313362538367,0.18454998417930257,False,0.0273568505539189,2.6657492340966376
"Beta(1,5)",5000,167,Symmetric empirical-variance bound,0.15520125302342547,0.17692450561818246,False,0.021723252594756992,2.116791326268577
"Beta(1,5)",5000,167,Optimistic hard-boundary benchmark (not valid),0.16074761683448635,0.1720607417331772,False,0.011313124898690852,1.1023912995571261
"Beta(1,5)",5000,168,Chronological GE,0.15854884078726172,0.1687745819799602,False,0.010225741192698479,0.9964327472118858
"Beta(1,5)",5000,168,Exact Bernoulli rounding,0.1500243848899266,0.17691182463314295,False,0.026887439743216363,2.620008168010077
"Beta(1,5)",5000,168,Symmetric empirical-variance bound,0.1527516038958091,0.17437124487837702,False,0.02161964098256791,2.1066950406858425
"Beta(1,5)",5000,168,Optimistic hard-boundary benchmark (not valid),0.15828632687745292,0.16952423570550124,False,0.011237908828048315,1.095061976968917
"Beta(1,5)",5000,169,Chronological GE,0.1648061270825565,0.17534590745344758,False,0.010539780370891094,1.0270338464536761
"Beta(1,5)",5000,169,Exact Bernoulli rounding,0.15690719584552465,0.18417966034897076,False,0.027272464503446114,2.657526355919455
"Beta(1,5)",5000,169,Symmetric empirical-variance bound,0.15891478884126264,0.1808777764017841,False,0.021962987560521452,2.1401519576436403
"Beta(1,5)",5000,169,Optimistic hard-boundary benchmark (not valid),0.1644900843667954,0.1759772434780525,False,0.011487159111257084,1.1193498148635814
"Beta(1,5)",5000,170,Chronological GE,0.16405132273212075,0.17435263516381383,False,0.010301312431693077,1.0037966786729482
"Beta(1,5)",5000,170,Exact Bernoulli rounding,0.15665662508104414,0.18399822982818084,False,0.027341604747136705,2.6642636282271783
"Beta(1,5)",5000,170,Symmetric empirical-variance bound,0.15830399184857266,0.17998453203820217,False,0.021680540189629505,2.112629276948221
"Beta(1,5)",5000,170,Optimistic hard-boundary benchmark (not valid),0.16384135401363287,0.17512347142240575,False,0.011282117408772885,1.0993698189836527
"Beta(1,5)",5000,171,Chronological GE,0.15876853046938777,0.16891424311324954,False,0.01014571264386177,0.9886344795587125
"Beta(1,5)",5000,171,Exact Bernoulli rounding,0.15107464403346313,0.17808679101730124,False,0.02701214698383811,2.632160086978911
"Beta(1,5)",5000,171,Symmetric empirical-variance bound,0.1530401740254253,0.17455465586748553,False,0.02151448184206023,2.096447958416116
"Beta(1,5)",5000,171,Optimistic hard-boundary benchmark (not valid),0.15856024657391848,0.16972181542496428,False,0.0111615688510458,1.0876231369305025
"Beta(1,5)",5000,172,Chronological GE,0.15782257495447993,0.1680618361569941,False,0.010239261202514172,0.9977501852605429
"Beta(1,5)",5000,172,Exact Bernoulli rounding,0.14921198710263148,0.17620133841036603,False,0.026989351307734555,2.6299387948753483
"Beta(1,5)",5000,172,Symmetric empirical-variance bound,0.15205254706870258,0.17343873074085608,False,0.021386183672153503,2.0839461264712886
"Beta(1,5)",5000,172,Optimistic hard-boundary benchmark (not valid),0.15755611464024794,0.1686245460648096,False,0.011068431424561653,1.0785474934156727
"Beta(1,5)",5000,173,Chronological GE,0.16382979648187757,0.1745457355864346,False,0.010715939104557037,1.044199382684679
"Beta(1,5)",5000,173,Exact Bernoulli rounding,0.15195987328990754,0.1790340581725812,False,0.027074184882673658,2.6382052814350447
"Beta(1,5)",5000,173,Symmetric empirical-variance bound,0.15811949816046492,0.1800154341991845,False,0.021895936038719588,2.1336182178574745
"Beta(1,5)",5000,173,Optimistic hard-boundary benchmark (not valid),0.16368645307623386,0.17512493647157062,False,0.011438483395336763,1.1146066792391807
"Beta(1,5)",5000,174,Chronological GE,0.16014733584597707,0.17034729616716504,False,0.010199960321187973,0.9939205670050297
"Beta(1,5)",5000,174,Exact Bernoulli rounding,0.15091513384362054,0.17788006607313797,False,0.02696493222951743,2.627559312671198
"Beta(1,5)",5000,174,Symmetric empirical-variance bound,0.15433631935877654,0.17566487676662015,False,0.021328557407843618,2.0783308174412833
"Beta(1,5)",5000,174,Optimistic hard-boundary benchmark (not valid),0.1598296863077424,0.1708562837283883,False,0.011026597420645878,1.074471038646953
"Beta(1,5)",5000,175,Chronological GE,0.16215043189004064,0.17243766272440553,False,0.010287230834364891,1.0024245175311353
"Beta(1,5)",5000,175,Exact Bernoulli rounding,0.1523755218075403,0.17937585873329753,False,0.027000336925757235,2.6310092727350827
"Beta(1,5)",5000,175,Symmetric empirical-variance bound,0.15646356369114853,0.17822016533463367,False,0.02175660164348514,2.1200409766963446
"Beta(1,5)",5000,175,Optimistic hard-boundary benchmark (not valid),0.16201319003121384,0.17335052434077314,False,0.0113373343095593,1.104750351025909
"Beta(1,5)",5000,176,Chronological GE,0.16459022229537368,0.1747885667718947,False,0.010198344476521015,0.9937631133290347
"Beta(1,5)",5000,176,Exact Bernoulli rounding,0.15180882032338608,0.1787601629341305,False,0.026951342610744417,2.6262350916771027
"Beta(1,5)",5000,176,Symmetric empirical-variance bound,0.1587853174359552,0.18057222207599594,False,0.02178690464004074,2.1229938089202043
"Beta(1,5)",5000,176,Optimistic hard-boundary benchmark (not valid),0.16433670777302645,0.17569604003671457,False,0.011359332263688127,1.1068939102508655
"Beta(1,5)",5000,177,Chronological GE,0.16282499441877007,0.17321625677868724,False,0.010391262359917164,1.012561720971871
"Beta(1,5)",5000,177,Exact Bernoulli rounding,0.15425241018265837,0.18143581420032948,False,0.02718340401767111,2.6488479840697763
"Beta(1,5)",5000,177,Symmetric empirical-variance bound,0.15698406241684984,0.17885836657023388,False,0.02187430415338404,2.1315103296832985
"Beta(1,5)",5000,177,Optimistic hard-boundary benchmark (not valid),0.1625492246807726,0.1739720046737263,False,0.011422779992953713,1.1130764836198852
"Beta(1,5)",5000,178,Chronological GE,0.16168535174801946,0.1719691683538258,False,0.01028381660580635,1.0020918229050846
"Beta(1,5)",5000,178,Exact Bernoulli rounding,0.15618583989628604,0.18363796234851773,False,0.027452122452231692,2.6750328681705855
