distribution,n,method,mean,standard_error,q10,q50,q90
Bernoulli(0.5),5000,Exact Bernoulli rounding,0.9996096526558678,0.00015292993332194506,0.9967660566305844,0.9994766183139794,1.0027903993029414
Bernoulli(0.5),5000,Symmetric empirical-variance bound,1.5840608492287986,1.3147372624460853e-05,1.5838157587584265,1.584140407006782,1.584187997136809
Bernoulli(0.5),5000,Optimistic hard-boundary benchmark (not valid),1.0276022521744743,9.544369726588948e-06,1.027424328103019,1.0276600073525948,1.0276945555326409
"Uniform(0.45,0.55)",50,Chronological GE,4.15963846339305,0.05045258551210333,3.383669796231105,4.332376838367715,4.825208566966506
"Uniform(0.45,0.55)",50,Exact Bernoulli rounding,16.653313227869617,0.03171194113296898,16.068525094280847,16.717077964662426,17.16505667786285
"Uniform(0.45,0.55)",50,Symmetric empirical-variance bound,47.54759446614617,1.007380781471079e-15,47.54759446614619,47.54759446614619,47.54759446614619
"Uniform(0.45,0.55)",50,Optimistic hard-boundary benchmark (not valid),5.128816325530158,0.002849182944022794,5.080597185117552,5.12567124597134,5.1875839404079995
"Uniform(0.45,0.55)",200,Chronological GE,2.243517096273267,0.02550068886432213,1.7510256277150449,2.300116133890455,2.59344246447465
"Uniform(0.45,0.55)",200,Exact Bernoulli rounding,17.13303085224249,0.014034994552136491,16.875233208934887,17.13432801649018,17.39922508294172
"Uniform(0.45,0.55)",200,Symmetric empirical-variance bound,24.161293541707515,0.003819014813806191,24.091050129733205,24.161745377244543,24.231286478924453
"Uniform(0.45,0.55)",200,Optimistic hard-boundary benchmark (not valid),3.1690850545661635,0.0020602382593100078,3.1312235234400565,3.16927044933547,3.2068937378417255
"Uniform(0.45,0.55)",1000,Chronological GE,1.2769860060268752,0.011592703263401704,1.0697518115603735,1.3143323254273074,1.4402022079279186
"Uniform(0.45,0.55)",1000,Exact Bernoulli rounding,17.282060076967365,0.00664791190316764,17.152152778181332,17.27556151614822,17.4134492862159
"Uniform(0.45,0.55)",1000,Symmetric empirical-variance bound,10.0235956133907,0.001470374807334275,9.998459445442592,10.022794873101837,10.049464230394838
"Uniform(0.45,0.55)",1000,Optimistic hard-boundary benchmark (not valid),2.04201236347725,0.00099649048031724,2.0249776270997333,2.04146902522729,2.05954418498021
"Uniform(0.45,0.55)",5000,Chronological GE,1.0422496459066786,0.004112337189041855,0.9601567539098488,1.0585720567650267,1.0988195255006326
"Uniform(0.45,0.55)",5000,Exact Bernoulli rounding,17.31572861542062,0.0026570983510610306,17.262778611880773,17.31704233564156,17.366509256998043
"Uniform(0.45,0.55)",5000,Symmetric empirical-variance bound,4.965512353678168,0.0006192660948308482,4.955226856562901,4.9656922681556885,4.977118559684051
"Uniform(0.45,0.55)",5000,Optimistic hard-boundary benchmark (not valid),1.4856690535366517,0.00044948815216372,1.478203428485796,1.4857996364409574,1.4940933093135451
