distribution,population_mean,population_variance,n,sampling_fraction,method,calibration,normalized_mean_width,normalized_standard_error,num_simulations
Bernoulli(0.1),0.1,0.09000000000000004,1200,0.3,Shekhar--Ramdas rate CI,As published,4.043857478844958,0.008672846415862629,200
Bernoulli(0.1),0.1,0.09000000000000004,2000,0.5,Shekhar--Ramdas rate CI,As published,4.03761428479176,0.005696771425705798,200
Bernoulli(0.1),0.1,0.09000000000000004,2800,0.7,Shekhar--Ramdas rate CI,As published,4.0044349499018415,0.0038046420703942026,200
Bernoulli(0.1),0.1,0.09000000000000004,3200,0.8,Shekhar--Ramdas rate CI,As published,3.9680747025496816,0.0028470280322620916,200
Bernoulli(0.1),0.1,0.09000000000000004,3600,0.9,Shekhar--Ramdas rate CI,As published,3.734048583261171,0.002191049954866509,200
"Beta(2,2)",0.5,0.0499997232432935,400,0.1,Bridge-efficient betting,Deterministic Markov,1.0561321718224346,0.0025775284765139836,200
"Beta(2,2)",0.5,0.0499997232432935,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.0323394027193724,0.0013395031218515498,200
"Beta(2,2)",0.5,0.0499997232432935,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.0316628995547412,0.001104283693065771,200
"Beta(2,2)",0.5,0.0499997232432935,2800,0.7,Bridge-efficient betting,Deterministic Markov,1.0319014251717165,0.0010117773578553115,200
"Beta(2,2)",0.5,0.0499997232432935,3200,0.8,Bridge-efficient betting,Deterministic Markov,1.0379263012088809,0.0013412038012713635,200
"Beta(2,2)",0.5,0.0499997232432935,3600,0.9,Bridge-efficient betting,Deterministic Markov,1.0475729825343152,0.0014251878089023638,200
"Beta(2,2)",0.5,0.0499997232432935,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.010769171608559,0.0023351232849733554,200
"Beta(2,2)",0.5,0.0499997232432935,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.0047331319596147,0.0013250967382880813,200
"Beta(2,2)",0.5,0.0499997232432935,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0030273432238404,0.0013711082075176,200
"Beta(2,2)",0.5,0.0499997232432935,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,1.0033971175579814,0.0013364031069876545,200
"Beta(2,2)",0.5,0.0499997232432935,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,1.0047929866008136,0.0014310006196093267,200
"Beta(2,2)",0.5,0.0499997232432935,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,1.0095176857328765,0.00193085590595583,200
"Beta(2,2)",0.5,0.0499997232432935,400,0.1,WSR running intersection,Deterministic Markov,1.1712208936355704,0.004472807583631846,200
"Beta(2,2)",0.5,0.0499997232432935,1200,0.3,WSR running intersection,Deterministic Markov,1.1724795883090922,0.004509144360901109,200
"Beta(2,2)",0.5,0.0499997232432935,2000,0.5,WSR running intersection,Deterministic Markov,1.2094445428239602,0.003804634541815763,200
"Beta(2,2)",0.5,0.0499997232432935,2800,0.7,WSR running intersection,Deterministic Markov,1.285527731688201,0.0029163546380208336,200
"Beta(2,2)",0.5,0.0499997232432935,3200,0.8,WSR running intersection,Deterministic Markov,1.3627226169784858,0.0026081900030573827,200
"Beta(2,2)",0.5,0.0499997232432935,3600,0.9,WSR running intersection,Deterministic Markov,1.534289364532359,0.00222039743838946,200
"Beta(2,2)",0.5,0.0499997232432935,400,0.1,WSR running intersection,Uniformly randomized Markov,1.1059492810474763,0.005842765759135901,200
"Beta(2,2)",0.5,0.0499997232432935,1200,0.3,WSR running intersection,Uniformly randomized Markov,1.1054640920543628,0.0058292777185835,200
"Beta(2,2)",0.5,0.0499997232432935,2000,0.5,WSR running intersection,Uniformly randomized Markov,1.121658153284639,0.00701693008936546,200
"Beta(2,2)",0.5,0.0499997232432935,2800,0.7,WSR running intersection,Uniformly randomized Markov,1.1900045948036608,0.006475847784954241,200
"Beta(2,2)",0.5,0.0499997232432935,3200,0.8,WSR running intersection,Uniformly randomized Markov,1.255189095352035,0.006627237685344989,200
"Beta(2,2)",0.5,0.0499997232432935,3600,0.9,WSR running intersection,Uniformly randomized Markov,1.4139038646636706,0.007035607369280739,200
"Beta(2,2)",0.5,0.0499997232432935,400,0.1,Bardenet--Maillard EBS,As published,4.254573317587574,0.0023458867767539044,200
"Beta(2,2)",0.5,0.0499997232432935,1200,0.3,Bardenet--Maillard EBS,As published,3.2840171169223407,0.0012815816456599727,200
"Beta(2,2)",0.5,0.0499997232432935,2000,0.5,Bardenet--Maillard EBS,As published,3.13222130443993,0.0009105106452333212,200
"Beta(2,2)",0.5,0.0499997232432935,2800,0.7,Bardenet--Maillard EBS,As published,3.2861894311405075,0.0005461907404609096,200
"Beta(2,2)",0.5,0.0499997232432935,3200,0.8,Bardenet--Maillard EBS,As published,3.5543956742217153,0.00041730055206251046,200
"Beta(2,2)",0.5,0.0499997232432935,3600,0.9,Bardenet--Maillard EBS,As published,4.258346336172619,0.000299336199642003,200
"Beta(2,2)",0.5,0.0499997232432935,400,0.1,Shekhar--Ramdas AS-CI,As published,5.367755111407542,0.0034739692170382445,200
"Beta(2,2)",0.5,0.0499997232432935,1200,0.3,Shekhar--Ramdas AS-CI,As published,5.352911445917543,0.001970956172378631,200
"Beta(2,2)",0.5,0.0499997232432935,2000,0.5,Shekhar--Ramdas AS-CI,As published,5.304878634014014,0.001288978973378314,200
"Beta(2,2)",0.5,0.0499997232432935,2800,0.7,Shekhar--Ramdas AS-CI,As published,5.2061616694085755,0.000903667610820793,200
"Beta(2,2)",0.5,0.0499997232432935,3200,0.8,Shekhar--Ramdas AS-CI,As published,5.115002687306166,0.0007109184467757321,200
"Beta(2,2)",0.5,0.0499997232432935,3600,0.9,Shekhar--Ramdas AS-CI,As published,4.937709212792736,0.0004643551709073666,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,400,0.1,Bridge-efficient betting,Deterministic Markov,1.1103301351983992,0.005650303211053047,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,1200,0.3,Bridge-efficient betting,Deterministic Markov,1.0580824103330042,0.002821982487670808,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.0483467297921902,0.002263498179110389,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2800,0.7,Bridge-efficient betting,Deterministic Markov,1.047943958769941,0.0021931336018763243,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3200,0.8,Bridge-efficient betting,Deterministic Markov,1.056501813042746,0.0021304916042821378,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3600,0.9,Bridge-efficient betting,Deterministic Markov,1.077416576791787,0.0027885380531614177,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.043535839781449,0.006276479267075319,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.0183761464509464,0.003130902792077455,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.0130266636049514,0.002786307495695412,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,1.0099030478217041,0.0027322821452335434,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,1.0130202157297363,0.0031404835862068677,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,1.0219775636789072,0.003505147462510991,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,400,0.1,WSR running intersection,Deterministic Markov,1.1849344178865153,0.005789684887986104,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,1200,0.3,WSR running intersection,Deterministic Markov,1.1825277830118588,0.004627632205946895,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2000,0.5,WSR running intersection,Deterministic Markov,1.2164993872427183,0.0034796227392889655,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,2800,0.7,WSR running intersection,Deterministic Markov,1.281116122187818,0.0036658203064418326,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3200,0.8,WSR running intersection,Deterministic Markov,1.3557449560571966,0.003707685081009074,200
"Beta(1,5)",0.16666451300779833,0.019838221580868946,3600,0.9,WSR running intersection,Deterministic Markov,1.524367484395018,0.004021435617105358,200
