distribution,population_mean,population_variance,population_size,n,sampling_fraction,method,calibration,sqrt_n_mean_width,sqrt_n_standard_error,gaussian_sqrt_n_width,num_simulations
"Beta(0.5,0.5)",0.5,0.125,4000,2000,0.5,Bridge-efficient betting,Deterministic Markov,1.315566385283608,0.0009721960554810604,1.288075671297712,200
"Beta(0.5,0.5)",0.5,0.125,4000,2800,0.7,Bridge-efficient betting,Deterministic Markov,1.021020890587844,0.0007956478159236653,0.9977391247181954,200
"Beta(0.5,0.5)",0.5,0.125,4000,3200,0.8,Bridge-efficient betting,Deterministic Markov,0.837801558116328,0.000682336889629727,0.8146505839902285,200
"Beta(0.5,0.5)",0.5,0.125,4000,3600,0.9,Bridge-efficient betting,Deterministic Markov,0.5958686726074603,0.0005859908148220581,0.5760449522370716,200
"Beta(0.5,0.5)",0.5,0.125,4000,400,0.1,Bridge-efficient betting,Uniformly randomized Markov,1.7326415887847546,0.0027690435464039088,1.7281348567112151,200
"Beta(0.5,0.5)",0.5,0.125,4000,1200,0.3,Bridge-efficient betting,Uniformly randomized Markov,1.527275166324412,0.001397254287476134,1.5240716876133718,200
"Beta(0.5,0.5)",0.5,0.125,4000,2000,0.5,Bridge-efficient betting,Uniformly randomized Markov,1.291896063873,0.0010093341888483816,1.288075671297712,200
"Beta(0.5,0.5)",0.5,0.125,4000,2800,0.7,Bridge-efficient betting,Uniformly randomized Markov,1.0005362389069175,0.0007818000388087812,0.9977391247181954,200
"Beta(0.5,0.5)",0.5,0.125,4000,3200,0.8,Bridge-efficient betting,Uniformly randomized Markov,0.8169742494871387,0.0007847621481839751,0.8146505839902285,200
"Beta(0.5,0.5)",0.5,0.125,4000,3600,0.9,Bridge-efficient betting,Uniformly randomized Markov,0.5783332261629345,0.0007089468113299079,0.5760449522370716,200
"Beta(0.5,0.5)",0.5,0.125,4000,400,0.1,WSR running intersection,Deterministic Markov,2.014054722078145,0.007029007578387598,1.7281348567112151,200
"Beta(0.5,0.5)",0.5,0.125,4000,1200,0.3,WSR running intersection,Deterministic Markov,1.7886917213937297,0.0066812061516603825,1.5240716876133718,200
"Beta(0.5,0.5)",0.5,0.125,4000,2000,0.5,WSR running intersection,Deterministic Markov,1.5684135548083349,0.0037256432275731433,1.288075671297712,200
"Beta(0.5,0.5)",0.5,0.125,4000,2800,0.7,WSR running intersection,Deterministic Markov,1.2815926397407862,0.0036694764491586344,0.9977391247181954,200
