distribution,population_mean,population_variance,replication,n,sampling_fraction,method,width,calibration,normalized_width
"Uniform(0,1)",0.5,0.08333332812500001,1,2800,0.7,Shekhar--Ramdas AS-CI,0.062021139422013094,As published,4.02853737030821
"Uniform(0,1)",0.5,0.08333332812500001,1,3200,0.8,Bridge-efficient betting,0.012273133732378372,Deterministic Markov,1.0437697965057693
"Uniform(0,1)",0.5,0.08333332812500001,1,3200,0.8,Bridge-efficient betting,0.011961426027119137,Uniformly randomized Markov,1.0172605858035844
"Uniform(0,1)",0.5,0.08333332812500001,1,3200,0.8,WSR running intersection,0.016134073771536417,Deterministic Markov,1.372123800207481
"Uniform(0,1)",0.5,0.08333332812500001,1,3200,0.8,WSR running intersection,0.015969572030007817,Uniformly randomized Markov,1.3581337343429514
"Uniform(0,1)",0.5,0.08333332812500001,1,3200,0.8,Bardenet--Maillard EBS,0.03622254126597524,As published,3.080549381317799
"Uniform(0,1)",0.5,0.08333332812500001,1,3200,0.8,Shekhar--Ramdas AS-CI,0.04656328350301664,As published,3.9599787638886763
"Uniform(0,1)",0.5,0.08333332812500001,1,3600,0.9,Bridge-efficient betting,0.008105673268437363,Deterministic Markov,1.0340216022765842
"Uniform(0,1)",0.5,0.08333332812500001,1,3600,0.9,Bridge-efficient betting,0.008001769799739322,Uniformly randomized Markov,1.020766882079115
"Uniform(0,1)",0.5,0.08333332812500001,1,3600,0.9,WSR running intersection,0.01190171884372837,Deterministic Markov,1.5182741742821242
"Uniform(0,1)",0.5,0.08333332812500001,1,3600,0.9,WSR running intersection,0.011818327382207117,Uniformly randomized Markov,1.5076361224136683
"Uniform(0,1)",0.5,0.08333332812500001,1,3600,0.9,Bardenet--Maillard EBS,0.028407207132705115,As published,3.6238403477155328
"Uniform(0,1)",0.5,0.08333332812500001,1,3600,0.9,Shekhar--Ramdas AS-CI,0.03003172572127144,As published,3.8310763487542574
"Uniform(0,1)",0.5,0.08333332812500001,2,400,0.1,Bridge-efficient betting,0.07387652629986408,Deterministic Markov,1.0471393384388081
"Uniform(0,1)",0.5,0.08333332812500001,2,400,0.1,Bridge-efficient betting,0.0710718132555484,Uniformly randomized Markov,1.007384824944028
"Uniform(0,1)",0.5,0.08333332812500001,2,400,0.1,WSR running intersection,0.08310629334300756,Deterministic Markov,1.1779637374674257
"Uniform(0,1)",0.5,0.08333332812500001,2,400,0.1,WSR running intersection,0.0769460437819362,Uniformly randomized Markov,1.0906472382615056
"Uniform(0,1)",0.5,0.08333332812500001,2,400,0.1,Bardenet--Maillard EBS,0.25638093002103696,As published,3.6339899951555914
"Uniform(0,1)",0.5,0.08333332812500001,2,400,0.1,Shekhar--Ramdas AS-CI,0.2927658543586744,As published,4.149716539273434
"Uniform(0,1)",0.5,0.08333332812500001,2,1200,0.3,Bridge-efficient betting,0.037565850745886586,Deterministic Markov,1.0457409129547162
"Uniform(0,1)",0.5,0.08333332812500001,2,1200,0.3,Bridge-efficient betting,0.03582670437172064,Uniformly randomized Markov,0.9973273543377501
"Uniform(0,1)",0.5,0.08333332812500001,2,1200,0.3,WSR running intersection,0.045496571157127796,Deterministic Markov,1.2665126681145034
"Uniform(0,1)",0.5,0.08333332812500001,2,1200,0.3,WSR running intersection,0.03792063463479267,Uniformly randomized Markov,1.055617224032987
"Uniform(0,1)",0.5,0.08333332812500001,2,1200,0.3,Bardenet--Maillard EBS,0.10369268633327422,As published,2.8865494144241834
"Uniform(0,1)",0.5,0.08333332812500001,2,1200,0.3,Shekhar--Ramdas AS-CI,0.14891777490019964,As published,4.1455046747842355
"Uniform(0,1)",0.5,0.08333332812500001,2,2000,0.5,Bridge-efficient betting,0.02390215452760469,Deterministic Markov,1.0163804742675422
"Uniform(0,1)",0.5,0.08333332812500001,2,2000,0.5,Bridge-efficient betting,0.02330559538677346,Uniformly randomized Markov,0.9910132605384856
"Uniform(0,1)",0.5,0.08333332812500001,2,2000,0.5,WSR running intersection,0.029195780400186888,Deterministic Markov,1.2414789259052912
"Uniform(0,1)",0.5,0.08333332812500001,2,2000,0.5,WSR running intersection,0.027422612998634688,Uniformly randomized Markov,1.1660793328491927
"Uniform(0,1)",0.5,0.08333332812500001,2,2000,0.5,Bardenet--Maillard EBS,0.06463539260518669,As published,2.7484614792636375
"Uniform(0,1)",0.5,0.08333332812500001,2,2000,0.5,Shekhar--Ramdas AS-CI,0.09643241627279714,As published,4.10055189263027
"Uniform(0,1)",0.5,0.08333332812500001,2,2800,0.7,Bridge-efficient betting,0.016375403199344774,Deterministic Markov,1.0636522378853743
"Uniform(0,1)",0.5,0.08333332812500001,2,2800,0.7,Bridge-efficient betting,0.015431679133325826,Uniformly randomized Markov,1.002353337177543
"Uniform(0,1)",0.5,0.08333332812500001,2,2800,0.7,WSR running intersection,0.018734487332403682,Deterministic Markov,1.2168848079138417
"Uniform(0,1)",0.5,0.08333332812500001,2,2800,0.7,WSR running intersection,0.018709510657936468,Uniformly randomized Markov,1.2152624664442253
"Uniform(0,1)",0.5,0.08333332812500001,2,2800,0.7,Bardenet--Maillard EBS,0.044169098179291044,As published,2.868971197341972
"Uniform(0,1)",0.5,0.08333332812500001,2,2800,0.7,Shekhar--Ramdas AS-CI,0.06176274334814241,As published,4.011753443898121
"Uniform(0,1)",0.5,0.08333332812500001,2,3200,0.8,Bridge-efficient betting,0.012289889156818445,Deterministic Markov,1.0451947631312077
"Uniform(0,1)",0.5,0.08333332812500001,2,3200,0.8,Bridge-efficient betting,0.011551260016858411,Uniformly randomized Markov,0.982377979421322
"Uniform(0,1)",0.5,0.08333332812500001,2,3200,0.8,WSR running intersection,0.01604022122919535,Deterministic Markov,1.364142102040007
"Uniform(0,1)",0.5,0.08333332812500001,2,3200,0.8,WSR running intersection,0.014357456564903115,Uniformly randomized Markov,1.22103122510222
"Uniform(0,1)",0.5,0.08333332812500001,2,3200,0.8,Bardenet--Maillard EBS,0.03616209396922432,As published,3.0754086353596106
"Uniform(0,1)",0.5,0.08333332812500001,2,3200,0.8,Shekhar--Ramdas AS-CI,0.04629384724510721,As published,3.9370645323466964
"Uniform(0,1)",0.5,0.08333332812500001,2,3600,0.9,Bridge-efficient betting,0.00820062281563877,Deterministic Markov,1.0461340918479238
"Uniform(0,1)",0.5,0.08333332812500001,2,3600,0.9,Bridge-efficient betting,0.0077265379019080815,Uniformly randomized Markov,0.9856561986641702
"Uniform(0,1)",0.5,0.08333332812500001,2,3600,0.9,WSR running intersection,0.011922646313905827,Deterministic Markov,1.520943842245272
