distribution,n,sampling_fraction,method,normalized_mean_width,normalized_standard_error,num_simulations
"Beta(1,5)",40,0.04,Stitched bridge-efficient,2.2616121593208787,0.01812501268546892,40
"Beta(1,5)",75,0.075,Stitched bridge-efficient,1.9547327566320127,0.013812823327663652,40
"Beta(1,5)",125,0.125,Stitched bridge-efficient,1.7971120291934597,0.015150730101945729,40
"Beta(1,5)",200,0.2,Stitched bridge-efficient,1.6950165162118451,0.01651896920195371,40
"Beta(1,5)",350,0.35,Stitched bridge-efficient,1.6522571789199048,0.019980238359368838,40
"Beta(1,5)",500,0.5,Stitched bridge-efficient,1.6184475696128118,0.02448444068726346,40
"Beta(1,5)",650,0.65,Stitched bridge-efficient,1.610889502718663,0.025019877556633666,40
"Beta(1,5)",800,0.8,Stitched bridge-efficient,1.6325276929361876,0.01882187900703446,40
"Beta(1,5)",900,0.9,Stitched bridge-efficient,1.6767079067396717,0.016758881039099772,40
"Beta(1,5)",950,0.95,Stitched bridge-efficient,1.7125682467012076,0.022340889816985187,40
"Beta(1,5)",10,0.01,Hedged-WoR,3.100864312809367,0.01585159417403688,40
"Beta(1,5)",20,0.02,Hedged-WoR,2.7982918440505946,0.017214246933794343,40
"Beta(1,5)",40,0.04,Hedged-WoR,2.35860014099978,0.017012367677755158,40
"Beta(1,5)",75,0.075,Hedged-WoR,2.001058427504107,0.02061891708594424,40
"Beta(1,5)",125,0.125,Hedged-WoR,1.7749606031615954,0.02003124620702306,40
"Beta(1,5)",200,0.2,Hedged-WoR,1.6252971300974557,0.02865426722949167,40
"Beta(1,5)",350,0.35,Hedged-WoR,1.6154282706109329,0.03268568899374099,40
"Beta(1,5)",500,0.5,Hedged-WoR,1.6971704637420935,0.036234327102105536,40
"Beta(1,5)",650,0.65,Hedged-WoR,1.8238469195668934,0.040955608305023594,40
"Beta(1,5)",800,0.8,Hedged-WoR,2.0934446636104367,0.048778432154889535,40
"Beta(1,5)",900,0.9,Hedged-WoR,2.5166625819819126,0.06038675970647797,40
"Beta(1,5)",950,0.95,Hedged-WoR,2.969901909986091,0.06861512358156101,40
Bernoulli(0.5),10,0.01,Stitched bridge-efficient,1.4522911331364845,0.02307381099325491,40
Bernoulli(0.5),20,0.02,Stitched bridge-efficient,1.549650858482672,0.013372876496512578,40
Bernoulli(0.5),40,0.04,Stitched bridge-efficient,1.5334271062289766,0.01419840571826857,40
Bernoulli(0.5),75,0.075,Stitched bridge-efficient,1.5479094830098084,0.014030518142341828,40
Bernoulli(0.5),125,0.125,Stitched bridge-efficient,1.5547868473122386,0.019030916997922667,40
Bernoulli(0.5),200,0.2,Stitched bridge-efficient,1.5515829566113561,0.021155661445896885,40
Bernoulli(0.5),350,0.35,Stitched bridge-efficient,1.5423450546234077,0.0269335620939582,40
Bernoulli(0.5),500,0.5,Stitched bridge-efficient,1.5255246880125244,0.03351643644507719,40
Bernoulli(0.5),650,0.65,Stitched bridge-efficient,1.5546209501700168,0.03853976982545857,40
Bernoulli(0.5),800,0.8,Stitched bridge-efficient,1.5571509702803905,0.04295224850744774,40
Bernoulli(0.5),900,0.9,Stitched bridge-efficient,1.5677873118476142,0.04151730774084307,40
Bernoulli(0.5),950,0.95,Stitched bridge-efficient,1.561391246708845,0.04493482091055961,40
Bernoulli(0.5),10,0.01,Hedged-WoR,1.205284817705352,0.01682006358172925,40
Bernoulli(0.5),20,0.02,Hedged-WoR,1.311607188105923,0.01122860631619664,40
Bernoulli(0.5),40,0.04,Hedged-WoR,1.3934886786138212,0.011086524427713266,40
Bernoulli(0.5),75,0.075,Hedged-WoR,1.492904494633454,0.013055785004597226,40
Bernoulli(0.5),125,0.125,Hedged-WoR,1.588937075127005,0.017968744063750496,40
Bernoulli(0.5),200,0.2,Hedged-WoR,1.699881913427268,0.022025497064403574,40
Bernoulli(0.5),350,0.35,Hedged-WoR,1.876705000858717,0.029460502497958466,40
Bernoulli(0.5),500,0.5,Hedged-WoR,2.058263955781446,0.04081975833323245,40
Bernoulli(0.5),650,0.65,Hedged-WoR,2.301282959630863,0.055749377782066095,40
Bernoulli(0.5),800,0.8,Hedged-WoR,2.7078849451593676,0.06967815012082025,40
Bernoulli(0.5),900,0.9,Hedged-WoR,3.29044422419732,0.08521236571376516,40
Bernoulli(0.5),950,0.95,Hedged-WoR,3.203779142562122,0.0946822822659462,40
"Beta(50,50)",10,0.01,Stitched bridge-efficient,7.662652570365745,0.006570360188196623,40
"Beta(50,50)",20,0.02,Stitched bridge-efficient,5.984339155273809,0.0068073660226405505,40
"Beta(50,50)",40,0.04,Stitched bridge-efficient,4.532454722991295,0.007118483569023358,40
"Beta(50,50)",75,0.075,Stitched bridge-efficient,3.5122255590887663,0.006540000073627404,40
"Beta(50,50)",125,0.125,Stitched bridge-efficient,2.8839463488144497,0.006689060024109421,40
"Beta(50,50)",200,0.2,Stitched bridge-efficient,2.458926683077654,0.005015785955006593,40
"Beta(50,50)",350,0.35,Stitched bridge-efficient,2.098732187635698,0.004891738323883918,40
"Beta(50,50)",500,0.5,Stitched bridge-efficient,1.95734438090927,0.007983217195277316,40
"Beta(50,50)",650,0.65,Stitched bridge-efficient,1.906394094330608,0.005788583515690225,40
"Beta(50,50)",800,0.8,Stitched bridge-efficient,1.9156280791743747,0.007592328647578378,40
"Beta(50,50)",900,0.9,Stitched bridge-efficient,2.0236284997332845,0.0070825055855500835,40
"Beta(50,50)",950,0.95,Stitched bridge-efficient,2.2345967988823277,0.009281454604160237,40
"Beta(50,50)",10,0.01,Hedged-WoR,7.675680155158102,0.0018573818910178708,40
"Beta(50,50)",20,0.02,Hedged-WoR,6.661786557264497,0.0023814522979005988,40
"Beta(50,50)",40,0.04,Hedged-WoR,5.328393724264992,0.0025428316467143463,40
"Beta(50,50)",75,0.075,Hedged-WoR,4.169021110935016,0.0026205970858440325,40
"Beta(50,50)",125,0.125,Hedged-WoR,3.365052193223208,0.004063417597610425,40
"Beta(50,50)",200,0.2,Hedged-WoR,2.763127456464212,0.0036865320935764506,40
"Beta(50,50)",350,0.35,Hedged-WoR,2.2035948499958997,0.0047980749727417026,40
"Beta(50,50)",500,0.5,Hedged-WoR,1.9913240308883506,0.0066071501322106235,40
