distribution,population_mean,population_variance,replication,n,sampling_fraction,method,lower,upper,width,normalized_width
"Uniform(0,1)",0.5,0.08333325,0,500,0.5,Hedged-WoR,0.4732571384334565,0.5417036554241181,0.06844651699066162,1.9118193410835973
"Uniform(0,1)",0.5,0.08333325,0,650,0.65,Hedged-WoR,0.4796712668161395,0.5334198684911727,0.05374860167503326,2.0459043411632525
"Uniform(0,1)",0.5,0.08333325,0,800,0.8,Hedged-WoR,0.4830052999229434,0.5267574933738712,0.043752193450927845,2.4441357524657414
"Uniform(0,1)",0.5,0.08333325,0,900,0.9,Hedged-WoR,0.4857258160934448,0.5210499008522034,0.03532408475875859,2.9599724609983338
"Uniform(0,1)",0.5,0.08333325,0,950,0.95,Hedged-WoR,0.4889128533258437,0.5187717613830567,0.029858908057212974,3.6353499151455013
"Uniform(0,1)",0.5,0.08333325,1,10,0.01,Stitched bridge-efficient,0.14113550753116605,0.9064987430047989,0.7653632354736328,2.148550160081465
"Uniform(0,1)",0.5,0.08333325,1,20,0.02,Stitched bridge-efficient,0.266139186592102,0.7226734673690797,0.45653428077697766,1.8216748037766604
"Uniform(0,1)",0.5,0.08333325,1,40,0.04,Stitched bridge-efficient,0.2975476194763184,0.6131217695617674,0.31557415008544903,1.7992491159708177
"Uniform(0,1)",0.5,0.08333325,1,75,0.075,Stitched bridge-efficient,0.37220507170534134,0.5836436649737358,0.21143859326839443,1.6816651479293376
"Uniform(0,1)",0.5,0.08333325,1,125,0.125,Stitched bridge-efficient,0.42395508454418174,0.5739526765165328,0.14999759197235107,1.5835462955075044
"Uniform(0,1)",0.5,0.08333325,1,200,0.2,Stitched bridge-efficient,0.42920121774291986,0.5486105404815673,0.11940932273864746,1.6676455045081826
"Uniform(0,1)",0.5,0.08333325,1,350,0.35,Stitched bridge-efficient,0.44582192957878103,0.526560095553398,0.08073816597461697,1.6548236588354726
"Uniform(0,1)",0.5,0.08333325,1,500,0.5,Stitched bridge-efficient,0.46908874512863163,0.5179713785762787,0.048882633447647095,1.3653691696403196
"Uniform(0,1)",0.5,0.08333325,1,650,0.65,Stitched bridge-efficient,0.4813885700330732,0.5179148357734679,0.03652626574039464,1.39034771725919
"Uniform(0,1)",0.5,0.08333325,1,800,0.8,Stitched bridge-efficient,0.4890231685066219,0.5172302321815485,0.02820706367492659,1.575735691452602
"Uniform(0,1)",0.5,0.08333325,1,900,0.9,Stitched bridge-efficient,0.4914694738979335,0.5116998088951108,0.0202303349971773,1.695195639954071
"Uniform(0,1)",0.5,0.08333325,1,950,0.95,Stitched bridge-efficient,0.4925146507253641,0.5063566761245722,0.013842025399208147,1.6852795073427789
"Uniform(0,1)",0.5,0.08333325,1,10,0.01,Hedged-WoR,0.20850125760555271,0.7767894056510927,0.56828814804554,1.5953151848220808
"Uniform(0,1)",0.5,0.08333325,1,20,0.02,Hedged-WoR,0.30730157730102536,0.681057503194809,0.3737559258937836,1.4913704876754506
"Uniform(0,1)",0.5,0.08333325,1,40,0.04,Hedged-WoR,0.33061715377807616,0.5941171957397461,0.26350004196166993,1.5023480770824664
"Uniform(0,1)",0.5,0.08333325,1,75,0.075,Hedged-WoR,0.38496766890859613,0.5704326605377197,0.18546499162912355,1.475085544992246
"Uniform(0,1)",0.5,0.08333325,1,125,0.125,Hedged-WoR,0.4167937578377723,0.5578463019547462,0.14105254411697388,1.4891121302101646
"Uniform(0,1)",0.5,0.08333325,1,200,0.2,Hedged-WoR,0.4258510552368163,0.5418138943634032,0.11596283912658689,1.6195126387469927
"Uniform(0,1)",0.5,0.08333325,1,350,0.35,Hedged-WoR,0.4430566078472137,0.5271198159503938,0.08406320810318013,1.7229743074729564
"Uniform(0,1)",0.5,0.08333325,1,500,0.5,Hedged-WoR,0.45750097633552556,0.5203986287231446,0.06289765238761902,1.7568307874571454
"Uniform(0,1)",0.5,0.08333325,1,650,0.65,Hedged-WoR,0.4667728525028226,0.5203986417875286,0.053625789284706016,2.0412295701982646
