distribution,replication,method,simultaneously_covered
"Beta(2,2)",8,Hedged-WoR,1
"Beta(2,2)",9,Stitched bridge-efficient,1
"Beta(2,2)",9,Hedged-WoR,0
"Beta(2,2)",10,Stitched bridge-efficient,1
"Beta(2,2)",10,Hedged-WoR,1
"Beta(2,2)",11,Stitched bridge-efficient,1
"Beta(2,2)",11,Hedged-WoR,1
"Beta(2,2)",12,Stitched bridge-efficient,1
"Beta(2,2)",12,Hedged-WoR,1
"Beta(2,2)",13,Stitched bridge-efficient,1
"Beta(2,2)",13,Hedged-WoR,1
"Beta(2,2)",14,Stitched bridge-efficient,1
"Beta(2,2)",14,Hedged-WoR,1
"Beta(2,2)",15,Stitched bridge-efficient,1
"Beta(2,2)",15,Hedged-WoR,1
"Beta(2,2)",16,Stitched bridge-efficient,1
"Beta(2,2)",16,Hedged-WoR,1
"Beta(2,2)",17,Stitched bridge-efficient,0
"Beta(2,2)",17,Hedged-WoR,0
"Beta(2,2)",18,Stitched bridge-efficient,1
"Beta(2,2)",18,Hedged-WoR,1
"Beta(2,2)",19,Stitched bridge-efficient,1
"Beta(2,2)",19,Hedged-WoR,1
"Beta(2,2)",20,Stitched bridge-efficient,1
"Beta(2,2)",20,Hedged-WoR,1
"Beta(2,2)",21,Stitched bridge-efficient,1
"Beta(2,2)",21,Hedged-WoR,1
"Beta(2,2)",22,Stitched bridge-efficient,1
"Beta(2,2)",22,Hedged-WoR,1
"Beta(2,2)",23,Stitched bridge-efficient,1
"Beta(2,2)",23,Hedged-WoR,1
"Beta(2,2)",24,Stitched bridge-efficient,1
"Beta(2,2)",24,Hedged-WoR,1
"Beta(2,2)",25,Stitched bridge-efficient,0
"Beta(2,2)",25,Hedged-WoR,1
"Beta(2,2)",26,Stitched bridge-efficient,1
"Beta(2,2)",26,Hedged-WoR,1
"Beta(2,2)",27,Stitched bridge-efficient,1
"Beta(2,2)",27,Hedged-WoR,1
"Beta(2,2)",28,Stitched bridge-efficient,1
"Beta(2,2)",28,Hedged-WoR,1
